plane,N,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
XY,10,2.8777777777777778,0.5777777777777777,0.16666666666666666,0.1111111111111111,2.3555555555555556,1.1444444444444444,0.2,0.16666666666666666,2.4
XY,25,5.111111111111111,0.7222222222222222,2.2,2.033333333333333,4.133333333333334,0.7333333333333333,0.5666666666666667,4.133333333333334,5.366666666666666
XY,50,7.9222222222222225,1.6222222222222222,18.444444444444443,0.3333333333333333,8.8,1.9,3.033333333333333,0.6111111111111112,7.333333333333333
XY,100,12.655555555555555,3.2111111111111112,2.6444444444444444,38.233333333333334,16.31111111111111,4.355555555555555,10.411111111111111,1.4777777777777779,10.7
XY,250,33.855555555555554,9.666666666666666,124.53333333333333,0.4,25.355555555555554,14.988888888888889,10.433333333333334,2.5444444444444443,28.22222222222222
XY,500,38.166666666666664,1.5666666666666667,48.25555555555555,30.166666666666668,114.53333333333333,141.9,18.266666666666666,5.611111111111111,101.53333333333333
XZ,10,2.6142857142857143,0.6142857142857143,0.17142857142857143,0.07142857142857142,2.6714285714285713,0.5285714285714286,0.22857142857142856,0.12857142857142856,2.9714285714285715
XZ,25,5.214285714285714,1.3428571428571427,2.8,2.1,3.914285714285714,0.5285714285714286,0.5571428571428572,3.5142857142857142,5.0285714285714285
XZ,50,7.128571428571429,2.6714285714285713,18.428571428571427,0.7,8.014285714285714,1.6857142857142857,3.5,0.8142857142857143,7.057142857142857
XZ,100,12.6,5.1,3.1857142857142855,37.24285714285714,15.914285714285715,3.5714285714285716,8.557142857142857,0.7428571428571429,13.085714285714285
XZ,250,35.542857142857144,9.028571428571428,124.57142857142857,0.2857142857142857,24.928571428571427,13.157142857142857,10.142857142857142,1.3285714285714285,31.014285714285716
XZ,500,35.72857142857143,5.571428571428571,52.27142857142857,42.72857142857143,96.94285714285714,148.35714285714286,23.32857142857143,3.442857142857143,91.62857142857143
YZ,10,2.8444444444444446,0.4,0.23333333333333334,0.06666666666666667,2.7222222222222223,0.8222222222222222,0.28888888888888886,0.13333333333333333,2.488888888888889
YZ,25,4.933333333333334,0.8222222222222222,3.566666666666667,1.2333333333333334,4.8,0.3333333333333333,0.8888888888888888,3.2333333333333334,5.188888888888889
YZ,50,7.911111111111111,1.5222222222222221,18.044444444444444,0.5444444444444444,8.78888888888889,1.0222222222222221,4.122222222222222,0.8,7.2444444444444445
YZ,100,11.855555555555556,3.3666666666666667,2.811111111111111,39.06666666666667,16.88888888888889,3.7666666666666666,11.233333333333333,0.5777777777777777,10.433333333333334
YZ,250,34.855555555555554,9.344444444444445,124.58888888888889,0.2111111111111111,22.022222222222222,15.2,14.1,1.6444444444444444,28.033333333333335
YZ,500,36.86666666666667,4.2,43.81111111111111,34.888888888888886,104.12222222222222,140.0,27.38888888888889,3.6444444444444444,105.07777777777778
