N,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
10,2.792,0.524,0.192,0.084,2.576,0.856,0.24,0.144,2.592
25,5.076,0.932,2.86,1.764,4.312,0.532,0.68,3.636,5.208
50,7.696,1.88,18.296,0.512,8.576,1.524,3.556,0.736,7.224
100,12.352,3.796,2.856,38.256,16.408,3.924,10.188,0.948,11.272
250,34.688,9.372,124.564,0.3,24.036,14.552,11.672,1.88,28.936
500,37.016,3.636,47.78,35.384,105.86,143.024,22.968,4.296,100.036
