target_id,seed,N,method,plane,alpha1,alpha2,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
0,0,10,Z_only,XY,0.8311653333498784,3.9366481318026545,0.24999999999999994,0.75,,,,,,,,,
0,0,10,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.5071792375591739,0.49282076244082607,,,,,,,,,
0,0,10,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.9729811821455939,0.027018817854406074,,,,,,,,,
0,0,10,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.9900883774443324,0.009911622555667576,,,,,,,,,
0,0,10,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.8956545110009618,0.10434548899903817,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0
0,0,25,Z_only,XY,0.8311653333498784,3.9366481318026545,0.24999999999999994,0.75,,,,,,,,,
0,0,25,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.7069928591868945,0.2930071408131055,,,,,,,,,
0,0,25,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.7878250303709478,0.21217496962905225,,,,,,,,,
0,0,25,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.9777884536623351,0.022211546337664867,,,,,,,,,
0,0,25,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.30958248951420836,0.6904175104857917,3.0,1.0,3.0,6.0,2.0,0.0,0.0,4.0,6.0
0,0,50,Z_only,XY,0.8311653333498784,3.9366481318026545,0.25,0.75,,,,,,,,,
0,0,50,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.693344975350624,0.306655024649376,,,,,,,,,
0,0,50,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.8845812039815669,0.11541879601843308,,,,,,,,,
0,0,50,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.996553075000067,0.003446924999933043,,,,,,,,,
0,0,50,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.9856146178648942,0.014385382135105762,8.0,3.0,18.0,0.0,8.0,3.0,2.0,0.0,8.0
0,0,100,Z_only,XY,0.8311653333498784,3.9366481318026545,0.25,0.75,,,,,,,,,
0,0,100,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.6977341283040213,0.30226587169597874,,,,,,,,,
0,0,100,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.9901256949619089,0.009874305038091058,,,,,,,,,
0,0,100,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.989382702405479,0.010617297594521014,,,,,,,,,
0,0,100,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.9686401063937304,0.03135989360626956,8.0,6.0,2.0,40.0,12.0,8.0,17.0,0.0,7.0
0,0,250,Z_only,XY,0.8311653333498784,3.9366481318026545,0.24999999999999983,0.7500000000000002,,,,,,,,,
0,0,250,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.7075790738307641,0.2924209261692359,,,,,,,,,
0,0,250,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.9938249568392726,0.006175043160727367,,,,,,,,,
0,0,250,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.9961284689618911,0.0038715310381088885,,,,,,,,,
0,0,250,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.9940426748585963,0.00595732514140368,36.0,11.0,121.0,2.0,24.0,15.0,11.0,4.0,26.0
0,0,500,Z_only,XY,0.8311653333498784,3.9366481318026545,0.25,0.75,,,,,,,,,
0,0,500,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.7114573197985696,0.28854268020143037,,,,,,,,,
0,0,500,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.9923952649086297,0.007604735091370274,,,,,,,,,
0,0,500,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.9985770160123267,0.0014229839876732653,,,,,,,,,
0,0,500,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.9960355580870596,0.003964441912940431,66.0,0.0,31.0,26.0,120.0,139.0,0.0,0.0,118.0
0,1,10,Z_only,XY,0.8311653333498784,3.9366481318026545,0.24999999999999983,0.7500000000000002,,,,,,,,,
0,1,10,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.7003490979311219,0.2996509020688781,,,,,,,,,
0,1,10,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.8391193133125976,0.1608806866874024,,,,,,,,,
0,1,10,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.9789923417180594,0.021007658281940622,,,,,,,,,
0,1,10,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.6497993839996756,0.35020061600032437,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0
0,1,25,Z_only,XY,0.8311653333498784,3.9366481318026545,0.24999999999999994,0.75,,,,,,,,,
0,1,25,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.6713941127582306,0.3286058872417694,,,,,,,,,
0,1,25,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.9666333965206464,0.03336660347935361,,,,,,,,,
0,1,25,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.9940110319334968,0.005988968066503175,,,,,,,,,
0,1,25,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.9652739289816114,0.03472607101838865,5.0,2.0,1.0,5.0,4.0,0.0,0.0,3.0,5.0
