plane,method,N,fidelity_mean,fidelity_std,fidelity_count,infidelity_mean,fidelity_ci95
XY,ORACLE_plane,10,0.9255345807066919,0.08306708486419218,90,0.07446541929330802,0.017161837535074595
XY,ORACLE_plane,25,0.973355133473295,0.030236297628991233,90,0.026644866526704853,0.006246883809866259
XY,ORACLE_plane,50,0.9877181742527911,0.015624581073550588,90,0.012281825747208854,0.0032280718936540747
XY,ORACLE_plane,100,0.9939041468065554,0.007148391157669181,90,0.0060958531934446536,0.001476872914050772
XY,ORACLE_plane,250,0.9978252407623952,0.0021499298831920664,90,0.002174759237604857,0.0004441801157157167
XY,ORACLE_plane,500,0.9986631286763644,0.0013448916372871184,90,0.0013368713236356108,0.0002778574909561015
XY,RL_adaptive,10,0.7995821642765091,0.16726826614663912,90,0.2004178357234909,0.03455798181765356
XY,RL_adaptive,25,0.9002561130197765,0.08558402695434288,90,0.09974388698022348,0.017681843158324502
XY,RL_adaptive,50,0.9541040695632944,0.03996346288118346,90,0.04589593043670561,0.008256536971619467
XY,RL_adaptive,100,0.9688515734216868,0.021642168721676756,90,0.031148426578313154,0.004471318382188679
XY,RL_adaptive,250,0.987617430055312,0.008859236539739449,90,0.01238256994468791,0.0018303372319900108
XY,RL_adaptive,500,0.9920867677641451,0.006459208574240469,90,0.007913232235855027,0.0013344863171436607
XY,XYZ_split,10,0.8057146883525669,0.12755346031740245,90,0.19428531164743312,0.02635281792520785
XY,XYZ_split,25,0.9162209114610119,0.06429723044448021,90,0.08377908853898797,0.01328394543575816
XY,XYZ_split,50,0.954476397837681,0.03085877183046723,90,0.04552360216231904,0.006375488312275027
XY,XYZ_split,100,0.9753025914586203,0.016161510129000113,90,0.02469740854137962,0.00333900258578744
XY,XYZ_split,250,0.9901046058617936,0.007806479094876742,90,0.009895394138206426,0.0016128352904916125
XY,XYZ_split,500,0.9953983264402546,0.003577349997324999,90,0.004601673559745431,0.0007390881666374247
XY,ZX_split,10,0.567204814339648,0.14464592370766413,90,0.432795185660352,0.029884157447444177
XY,ZX_split,25,0.6365000557085888,0.10488515493162977,90,0.3634999442914112,0.02166949751180802
XY,ZX_split,50,0.6579737911632922,0.10201936592293105,90,0.34202620883670776,0.021077419368491702
XY,ZX_split,100,0.6724122314828082,0.0962758132301856,90,0.32758776851719185,0.0198907890883008
XY,ZX_split,250,0.6807688796957977,0.09524571149650443,90,0.31923112030420236,0.01967796786522625
XY,ZX_split,500,0.6825411616330915,0.09470129148248442,90,0.3174588383669084,0.019565489525018093
XY,Z_only,10,0.25000000000000006,9.596791272807988e-17,90,0.75,1.9827176185515718e-17
XY,Z_only,25,0.25,8.627887244274297e-17,90,0.75,1.782539972351995e-17
XY,Z_only,50,0.25000000000000006,1.0020380883763555e-16,90,0.75,2.0702321388534465e-17
XY,Z_only,100,0.25000000000000006,1.0072077086972945e-16,90,0.75,2.0809126850903855e-17
XY,Z_only,250,0.25,1.0447509589537324e-16,90,0.75,2.158477843720068e-17
XY,Z_only,500,0.25000000000000006,9.396266395205175e-17,90,0.75,1.9412887496224818e-17
XZ,ORACLE_plane,10,0.9468241458667791,0.07360461949026097,70,0.05317585413322101,0.017242972010810636
XZ,ORACLE_plane,25,0.9717436759550245,0.030496489556864757,70,0.028256324044975502,0.007144254253315935
XZ,ORACLE_plane,50,0.984803692320632,0.014607700183228153,70,0.01519630767936792,0.003422070070412416
XZ,ORACLE_plane,100,0.9942640948697203,0.006340515681623529,70,0.005735905130279636,0.001485359685159522
XZ,ORACLE_plane,250,0.9974064883197373,0.002982785745749797,70,0.00259351168026259,0.0006987617283316564
XZ,ORACLE_plane,500,0.9988968661413158,0.001120642332039704,70,0.0011031338586843036,0.00026252706011267317
XZ,RL_adaptive,10,0.7975081971663658,0.13841604520260822,70,0.20249180283363427,0.03242600817454768
XZ,RL_adaptive,25,0.9194770858430861,0.06354785936149941,70,0.0805229141569138,0.014887027035881222
XZ,RL_adaptive,50,0.9473854310915241,0.04295710727721943,70,0.052614568908475885,0.01006333846402795
XZ,RL_adaptive,100,0.9669164232273408,0.02449594921170616,70,0.03308357677265915,0.005738538824884163
XZ,RL_adaptive,250,0.9872400751438088,0.009321385840851883,70,0.012759924856191105,0.002183672658983618
XZ,RL_adaptive,500,0.9939802455441111,0.0036402492744469776,70,0.006019754455888836,0.0008527822952738481
XZ,XYZ_split,10,0.8039014461212513,0.1270951159935723,70,0.19609855387874875,0.029773912873469408
XZ,XYZ_split,25,0.9258233775340305,0.046095435301678936,70,0.07417662246596952,0.01079853827432869
XZ,XYZ_split,50,0.9546862409691437,0.03182621430138655,70,0.045313759030856396,0.0074557619645256295
XZ,XYZ_split,100,0.9742119502670984,0.015835972969259784,70,0.0257880497329016,0.003709811158103062
XZ,XYZ_split,250,0.9883559458408753,0.008033578043495151,70,0.01164405415912468,0.0018819846133295815
XZ,XYZ_split,500,0.9941693119079963,0.004188992271921997,70,0.00583068809200363,0.0009813334679056426
XZ,ZX_split,10,0.902851022431819,0.1058942787641261,70,0.09714897756818093,0.02480730282256815
XZ,ZX_split,25,0.9779738153076298,0.024376662099771424,70,0.022026184692370044,0.005710594052577947
XZ,ZX_split,50,0.9877865486967764,0.012006596946578149,70,0.012213451303223603,0.002812723121574247
XZ,ZX_split,100,0.9942110786902345,0.006163793026635616,70,0.005788921309765565,0.0014439597864203413
XZ,ZX_split,250,0.9975911532760244,0.0031737125283844174,70,0.002408846723975568,0.0007434891542986976
XZ,ZX_split,500,0.9987357769006747,0.001408579468355896,70,0.0012642230993253566,0.00032998059790359947
XZ,Z_only,10,0.6891766751990805,0.11528440689688937,70,0.3108233248009194,0.027007079381328656
XZ,Z_only,25,0.7043691434504001,0.07232333124282608,70,0.2956308565495999,0.01694281126626357
XZ,Z_only,50,0.7043691434504001,0.07232333124282608,70,0.2956308565495999,0.01694281126626357
XZ,Z_only,100,0.7043691434504001,0.07232333124282608,70,0.2956308565495999,0.01694281126626357
XZ,Z_only,250,0.7043691434504001,0.07232333124282608,70,0.2956308565495999,0.01694281126626357
XZ,Z_only,500,0.7043691434504001,0.07232333124282608,70,0.2956308565495999,0.01694281126626357
YZ,ORACLE_plane,10,0.9289807981257774,0.07688135453569675,90,0.07101920187422263,0.01588385240887229
YZ,ORACLE_plane,25,0.9786084524342258,0.02146335431578557,90,0.021391547565774185,0.004434374943185702
YZ,ORACLE_plane,50,0.987748422485747,0.012715206274239443,90,0.01225157751425305,0.0026269888327034
YZ,ORACLE_plane,100,0.9924882625448649,0.008534848510841915,90,0.007511737455135028,0.001763317970878774
YZ,ORACLE_plane,250,0.9976702285386388,0.002354532727464735,90,0.002329771461361216,0.00048645150128754093
YZ,ORACLE_plane,500,0.9986307418179998,0.0013081354913007561,90,0.00136925818200014,0.0002702635925200995
YZ,RL_adaptive,10,0.8031943403893488,0.14821358856887676,90,0.19680565961065113,0.030621244644230102
YZ,RL_adaptive,25,0.9092975554068419,0.07116077250026402,90,0.09070244459315817,0.01470196791565007
YZ,RL_adaptive,50,0.9442560852651543,0.0425397907785696,90,0.055743914734845725,0.008788811829757421
YZ,RL_adaptive,100,0.9755307128622309,0.01849191985606136,90,0.02446928713776912,0.0038204702235571978
YZ,RL_adaptive,250,0.9829548006805314,0.012323140343386076,90,0.01704519931946865,0.0025459871721859526
YZ,RL_adaptive,500,0.9946209751336752,0.004038106724857455,90,0.005379024866324749,0.000834281492778972
YZ,XYZ_split,10,0.8044088559319099,0.1358221294017268,90,0.19559114406809014,0.028061142656820522
YZ,XYZ_split,25,0.9047226328964555,0.0715944934102866,90,0.09527736710354447,0.014791575584024875
YZ,XYZ_split,50,0.94328157326189,0.044522132184801756,90,0.05671842673811005,0.009198367807416062
YZ,XYZ_split,100,0.9738150896074846,0.017383327609096697,90,0.02618491039251531,0.0035914326924321328
YZ,XYZ_split,250,0.9902282862401445,0.008072844748102331,90,0.009771713759855553,0.0016678670045941998
YZ,XYZ_split,500,0.9948897484489717,0.0029226084988050022,90,0.005110251551028242,0.0006038171715923677
YZ,ZX_split,10,0.5776901761863186,0.14192134363175013,90,0.42230982381368143,0.029321253371893872
YZ,ZX_split,25,0.6190626190512466,0.1320041092858096,90,0.38093738094875346,0.027272331528536146
YZ,ZX_split,50,0.6455580839704442,0.1318655988867078,90,0.3544419160295557,0.027243714983605144
YZ,ZX_split,100,0.6668034279598836,0.11691565174834627,90,0.3331965720401164,0.024155023904991007
YZ,ZX_split,250,0.6722296876939915,0.11620934761800185,90,0.3277703123060085,0.024009099959843048
YZ,ZX_split,500,0.6752878767949271,0.11509033848787972,90,0.3247121232050729,0.023777910278360685
YZ,Z_only,10,0.6567410819862349,0.15839395415434376,90,0.3432589180137651,0.032724529964897026
YZ,Z_only,25,0.6676385279344766,0.1362100633026226,90,0.33236147206552336,0.028141290631104276
YZ,Z_only,50,0.6776852970681964,0.11427965873098138,90,0.32231470293180364,0.02361042210535438
YZ,Z_only,100,0.6776852970681964,0.11427965873098138,90,0.32231470293180364,0.02361042210535438
YZ,Z_only,250,0.6776852970681964,0.11427965873098138,90,0.32231470293180364,0.02361042210535438
YZ,Z_only,500,0.6776852970681964,0.11427965873098138,90,0.32231470293180364,0.02361042210535438
