N,delta_mean,delta_std,count,rl_win_rate,delta_ci95
10,-0.004435043970070708,0.194904742941334,250,0.512,0.02416064224699825
25,-0.005877317008570118,0.09369299815371604,250,0.472,0.011614304379047183
50,-0.001827440623337468,0.053397639117529164,250,0.484,0.006619239922454149
100,-0.0037474896927195576,0.02935061799344343,250,0.488,0.003638340300837847
250,-0.0038262818869726485,0.013242691326389599,250,0.412,0.0016415810241243375
500,-0.001341858098794055,0.006508966471406131,250,0.432,0.0008068598431218544
