N,n_pairs,mean_fidelity_difference_RL_minus_XYZ,ci95_low,ci95_high,rl_win_rate,tie_rate,rl_loss_rate
10,2000,0.000986745904770791,-0.005416779128097289,0.007261779101356809,0.475,0.0405,0.4845
25,2000,-0.0012432449109885085,-0.004385469267392301,0.001811194263019622,0.49,0.001,0.509
50,2000,-0.0003962826824480459,-0.001944140715826402,0.0010973830642478383,0.4995,0.0,0.5005
100,2000,9.591018940857615e-05,-0.0006432838874238952,0.0008409203751374461,0.496,0.0,0.504
250,2000,-2.1714557033770732e-05,-0.00031232951125840944,0.00027630490397985116,0.498,0.0,0.502
500,2000,-0.0001173284521917698,-0.0002695088250330379,3.197421065972904e-05,0.5125,0.0,0.4875
