trial_id,N,method,true_theta,true_phi,fidelity,infidelity,z_shots,x_shots,y_shots,z_counts_0,z_counts_1,x_counts_0,x_counts_1,y_counts_0,y_counts_1,reward,x_fraction,y_fraction,z_fraction
0,10,Z_only,1.897402202237179,4.666653993610709,0.6604150912549656,0.33958490874503444,10,0,0,3,7,0,0,0,0,,0.0,0.0,1.0
0,10,ZX_split,1.897402202237179,4.666653993610709,0.6590297946885691,0.34097020531143085,5,5,0,1,4,2,3,0,0,,0.5,0.0,0.5
0,10,XYZ_split,1.897402202237179,4.666653993610709,0.9310294248701311,0.06897057512986893,3,3,4,0,3,2,1,0,4,,0.3,0.4,0.3
0,10,RL_adaptive,1.897402202237179,4.666653993610709,0.9409636277779614,0.05903637222203861,2,3,5,0,2,1,2,0,5,0.9409636277779614,0.3,0.5,0.2
0,25,Z_only,1.897402202237179,4.666653993610709,0.6604150912549656,0.33958490874503444,25,0,0,7,18,0,0,0,0,,0.0,0.0,1.0
0,25,ZX_split,1.897402202237179,4.666653993610709,0.5216510932799293,0.4783489067200707,12,13,0,6,6,5,8,0,0,,0.52,0.0,0.48
0,25,XYZ_split,1.897402202237179,4.666653993610709,0.9747075945440173,0.02529240545598266,8,8,9,1,7,4,4,0,9,,0.32,0.36,0.32
0,25,RL_adaptive,1.897402202237179,4.666653993610709,0.9730731747387973,0.026926825261202714,8,10,7,4,4,5,5,1,6,0.9730731747387973,0.4,0.28,0.32
0,50,Z_only,1.897402202237179,4.666653993610709,0.6604150912549656,0.33958490874503444,50,0,0,18,32,0,0,0,0,,0.0,0.0,1.0
0,50,ZX_split,1.897402202237179,4.666653993610709,0.6179506866907784,0.38204931330922165,25,25,0,9,16,15,10,0,0,,0.5,0.0,0.5
0,50,XYZ_split,1.897402202237179,4.666653993610709,0.9736404673711162,0.026359532628883797,16,16,18,3,13,9,7,1,17,,0.32,0.36,0.32
0,50,RL_adaptive,1.897402202237179,4.666653993610709,0.9324996661074303,0.06750033389256971,17,18,15,10,7,7,11,0,15,0.9324996661074303,0.36,0.3,0.34
0,100,Z_only,1.897402202237179,4.666653993610709,0.6604150912549656,0.33958490874503444,100,0,0,39,61,0,0,0,0,,0.0,0.0,1.0
0,100,ZX_split,1.897402202237179,4.666653993610709,0.6453364409691006,0.3546635590308994,50,50,0,22,28,26,24,0,0,,0.5,0.0,0.5
0,100,XYZ_split,1.897402202237179,4.666653993610709,0.9785748617968126,0.021425138203187366,33,33,34,6,27,19,14,0,34,,0.33,0.34,0.33
0,100,RL_adaptive,1.897402202237179,4.666653993610709,0.97835260874724,0.02164739125276005,30,39,31,12,18,24,15,0,31,0.97835260874724,0.39,0.31,0.3
0,250,Z_only,1.897402202237179,4.666653993610709,0.6604150912549656,0.33958490874503444,250,0,0,86,164,0,0,0,0,,0.0,0.0,1.0
0,250,ZX_split,1.897402202237179,4.666653993610709,0.6617164974784517,0.33828350252154826,125,125,0,46,79,61,64,0,0,,0.5,0.0,0.5
0,250,XYZ_split,1.897402202237179,4.666653993610709,0.9950823336261645,0.004917666373835505,83,83,84,33,50,43,40,2,82,,0.332,0.336,0.332
0,250,RL_adaptive,1.897402202237179,4.666653993610709,0.9996546231853409,0.0003453768146590708,88,87,75,30,58,40,47,2,73,0.9996546231853409,0.348,0.3,0.352
0,500,Z_only,1.897402202237179,4.666653993610709,0.6604150912549656,0.33958490874503444,500,0,0,173,327,0,0,0,0,,0.0,0.0,1.0
0,500,ZX_split,1.897402202237179,4.666653993610709,0.6375237590268517,0.36247624097314834,250,250,0,96,154,138,112,0,0,,0.5,0.0,0.5
0,500,XYZ_split,1.897402202237179,4.666653993610709,0.999142867551929,0.0008571324480709519,166,166,168,60,106,76,90,5,163,,0.332,0.336,0.332
0,500,RL_adaptive,1.897402202237179,4.666653993610709,0.9952139877134295,0.004786012286570496,137,193,170,39,98,85,108,8,162,0.9952139877134295,0.386,0.34,0.274
1,10,Z_only,1.095947596929562,1.7412196463006238,0.7286019592585765,0.2713980407414235,10,0,0,6,4,0,0,0,0,,0.0,0.0,1.0
1,10,ZX_split,1.095947596929562,1.7412196463006238,0.7407200279420582,0.25927997205794184,5,5,0,4,1,2,3,0,0,,0.5,0.0,0.5
1,10,XYZ_split,1.095947596929562,1.7412196463006238,0.9425887776664479,0.057411222333552114,3,3,4,2,1,2,1,4,0,,0.3,0.4,0.3
1,10,RL_adaptive,1.095947596929562,1.7412196463006238,0.988067355261273,0.011932644738727016,3,3,4,2,1,1,2,4,0,0.988067355261273,0.3,0.4,0.3
1,25,Z_only,1.095947596929562,1.7412196463006238,0.7286019592585765,0.2713980407414235,25,0,0,21,4,0,0,0,0,,0.0,0.0,1.0
1,25,ZX_split,1.095947596929562,1.7412196463006238,0.7397061207516296,0.26029387924837044,12,13,0,8,4,6,7,0,0,,0.52,0.0,0.48
1,25,XYZ_split,1.095947596929562,1.7412196463006238,0.9930710859566003,0.006928914043399681,8,8,9,7,1,3,5,9,0,,0.32,0.36,0.32
1,25,RL_adaptive,1.095947596929562,1.7412196463006238,0.9825841051852512,0.01741589481474881,7,11,7,6,1,6,5,7,0,0.9825841051852512,0.44,0.28,0.28
1,50,Z_only,1.095947596929562,1.7412196463006238,0.7286019592585765,0.2713980407414235,50,0,0,36,14,0,0,0,0,,0.0,0.0,1.0
1,50,ZX_split,1.095947596929562,1.7412196463006238,0.6930216933584132,0.30697830664158676,25,25,0,17,8,14,11,0,0,,0.5,0.0,0.5
1,50,XYZ_split,1.095947596929562,1.7412196463006238,0.994413558547803,0.005586441452197,16,16,18,13,3,6,10,17,1,,0.32,0.36,0.32
1,50,RL_adaptive,1.095947596929562,1.7412196463006238,0.9647439645649667,0.035256035435033306,18,16,16,11,7,9,7,16,0,0.9647439645649667,0.32,0.32,0.36
1,100,Z_only,1.095947596929562,1.7412196463006238,0.7286019592585765,0.2713980407414235,100,0,0,79,21,0,0,0,0,,0.0,0.0,1.0
1,100,ZX_split,1.095947596929562,1.7412196463006238,0.7361910797767569,0.2638089202232431,50,50,0,33,17,24,26,0,0,,0.5,0.0,0.5
1,100,XYZ_split,1.095947596929562,1.7412196463006238,0.9961128170990184,0.003887182900981556,33,33,34,25,8,16,17,33,1,,0.33,0.34,0.33
1,100,RL_adaptive,1.095947596929562,1.7412196463006238,0.9989944664980677,0.001005533501932332,32,39,29,22,10,16,23,26,3,0.9989944664980677,0.39,0.29,0.32
1,250,Z_only,1.095947596929562,1.7412196463006238,0.7286019592585765,0.2713980407414235,250,0,0,185,65,0,0,0,0,,0.0,0.0,1.0
1,250,ZX_split,1.095947596929562,1.7412196463006238,0.7407165870184413,0.25928341298155866,125,125,0,95,30,52,73,0,0,,0.5,0.0,0.5
1,250,XYZ_split,1.095947596929562,1.7412196463006238,0.9910860859201021,0.008913914079897944,83,83,84,56,27,42,41,78,6,,0.332,0.336,0.332
1,250,RL_adaptive,1.095947596929562,1.7412196463006238,0.9987863948059928,0.0012136051940071502,83,82,85,58,25,33,49,79,6,0.9987863948059928,0.328,0.34,0.332
1,500,Z_only,1.095947596929562,1.7412196463006238,0.7286019592585765,0.2713980407414235,500,0,0,356,144,0,0,0,0,,0.0,0.0,1.0
1,500,ZX_split,1.095947596929562,1.7412196463006238,0.7400679526192284,0.2599320473807716,250,250,0,185,65,110,140,0,0,,0.5,0.0,0.5
1,500,XYZ_split,1.095947596929562,1.7412196463006238,0.9947758502374198,0.0052241497625802324,166,166,168,118,48,82,84,159,9,,0.332,0.336,0.332
1,500,RL_adaptive,1.095947596929562,1.7412196463006238,0.9936559239925633,0.006344076007436694,142,151,207,103,39,76,75,198,9,0.9936559239925633,0.302,0.414,0.284
2,10,Z_only,0.5368340314210598,3.3043926036986333,0.9296660592414411,0.07033394075855892,10,0,0,10,0,0,0,0,0,,0.0,0.0,1.0
2,10,ZX_split,0.5368340314210598,3.3043926036986333,0.9822424934482334,0.017757506551766555,5,5,0,5,0,0,5,0,0,,0.5,0.0,0.5
2,10,XYZ_split,0.5368340314210598,3.3043926036986333,0.95814132433835,0.041858675661650024,3,3,4,3,0,1,2,1,3,,0.3,0.4,0.3
