method,N,n_trials,fidelity_mean,fidelity_ci95_low,fidelity_ci95_high,infidelity_mean,infidelity_ci95_low,infidelity_ci95_high,x_fraction_mean,x_fraction_ci95_low,x_fraction_ci95_high,y_fraction_mean,y_fraction_ci95_low,y_fraction_ci95_high,z_fraction_mean,z_fraction_ci95_low,z_fraction_ci95_high
Z_only,10,2000,0.7327728384151557,0.7248939035877741,0.740413530401361,0.2672271615848443,0.2596238049078111,0.27513690621751175,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Z_only,25,2000,0.7458249560733159,0.7387657017970419,0.7527144781545718,0.254175043926684,0.24723599034730587,0.26121768690655855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Z_only,50,2000,0.7492381518483991,0.7423737251548723,0.7558853398036531,0.25076184815160074,0.2440811114368008,0.2575261674510953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Z_only,100,2000,0.7513715921293028,0.7448175032856071,0.7577750307177723,0.24862840787069715,0.24214236565365493,0.25519219655602077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Z_only,250,2000,0.7530695558415278,0.7466762316568385,0.7594820051138412,0.24693044415847215,0.2406245959183528,0.2531519128483859,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Z_only,500,2000,0.7533678336750079,0.7468567814884374,0.7597503914950575,0.24663216632499205,0.2401601467259131,0.25312778752216064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ZX_split,10,2000,0.8366250185622413,0.8295373109520432,0.843399614035568,0.16337498143775867,0.15667484886799032,0.17025506687075279,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
ZX_split,25,2000,0.8677294873647331,0.8618995733524435,0.87347928501482,0.13227051263526682,0.12667162687571543,0.13813647803822263,0.5199999999999998,0.5199999999999998,0.5199999999999998,0.0,0.0,0.0,0.4800000000000002,0.4800000000000002,0.4800000000000002
ZX_split,50,2000,0.8785779417074111,0.8732082852181982,0.8838606619034105,0.12142205829258887,0.11612076277008533,0.12686266493445988,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
ZX_split,100,2000,0.8857218405078943,0.8805326768079238,0.8906620748858096,0.11427815949210585,0.10932544562893005,0.11946621487617212,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
ZX_split,250,2000,0.889522099931734,0.8844972467408543,0.8944557507226369,0.11047790006826594,0.10556987744771448,0.11546030139955084,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
ZX_split,500,2000,0.8907280584856929,0.8856407304170061,0.8956257837458723,0.1092719415143071,0.10427555656580001,0.11429741012950498,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
XYZ_split,10,2000,0.8996672896737249,0.8949938370780635,0.9041557754135104,0.10033271032627512,0.09578921535260503,0.10512916902012508,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.2999999999999999,0.2999999999999999,0.2999999999999999
XYZ_split,25,2000,0.9556915571177846,0.9535877214702482,0.957739017074735,0.04430844288221526,0.04216287910055243,0.04639132621861647,0.32,0.32,0.32,0.36,0.36,0.36,0.32,0.32,0.32
XYZ_split,50,2000,0.976739814324798,0.9756812237109628,0.9777811134525043,0.023260185675202015,0.022221046436909905,0.024366608481332565,0.32,0.32,0.32,0.36,0.36,0.36,0.32,0.32,0.32
XYZ_split,100,2000,0.9881444206611132,0.9876185938272294,0.9886647447305837,0.011855579338886804,0.01132107232657231,0.012394304845168501,0.33,0.33,0.33,0.3399999999999999,0.3399999999999999,0.3399999999999999,0.33,0.33,0.33
XYZ_split,250,2000,0.9952476782584107,0.9950312376901457,0.9954597370154772,0.0047523217415893606,0.0045413870969742785,0.004964375753353039,0.33199999999999996,0.33199999999999996,0.33199999999999996,0.336,0.336,0.336,0.33199999999999996,0.33199999999999996,0.33199999999999996
XYZ_split,500,2000,0.9976464733663469,0.9975462994777158,0.9977439129670361,0.002353526633652931,0.0022566410186840398,0.002451612212134695,0.33199999999999996,0.33199999999999996,0.33199999999999996,0.336,0.336,0.336,0.33199999999999996,0.33199999999999996,0.33199999999999996
RL_adaptive,10,2000,0.9006540355784958,0.8960047074278156,0.9051719568001914,0.09934596442150434,0.09480609342429225,0.10400664877265514,0.3147499999999999,0.3131999999999999,0.31629999999999997,0.4220500000000001,0.41935000000000006,0.42475000000000007,0.26320000000000005,0.2607,0.2657
RL_adaptive,25,2000,0.9544483122067964,0.9521776634911784,0.9566245202977725,0.04555168779320377,0.04338638179119309,0.047734880341647634,0.3960200000000001,0.39458000000000004,0.3975200000000001,0.29062,0.2896600000000001,0.29158000000000006,0.31336,0.31148000000000003,0.31526000000000004
RL_adaptive,50,2000,0.97634353164235,0.9752576912960036,0.977384731397671,0.02365646835765006,0.022589001875564094,0.02474741196472969,0.34514,0.3445599999999999,0.34571999999999997,0.30228999999999995,0.3020099999999999,0.30256999999999995,0.35257,0.35213,0.35301
RL_adaptive,100,2000,0.9882403308505218,0.9876994254158468,0.988752156754486,0.011759669149478227,0.011252457544170329,0.012291220703738828,0.39076,0.39009000000000005,0.39141,0.303,0.30246999999999996,0.30351999999999996,0.30624,0.30521499999999996,0.30727
RL_adaptive,250,2000,0.995225963701377,0.9950139451825321,0.9954332828302369,0.004774036298623131,0.004567695490417602,0.004989297035579759,0.324022,0.32149395000000003,0.3265921,0.32345799999999997,0.322286,0.32462604999999994,0.35252,0.35035795,0.35471010000000003
RL_adaptive,500,2000,0.9975291449141552,0.9974148501495984,0.9976415883376232,0.0024708550858447004,0.002357631363600934,0.002586801206946351,0.342895,0.34176497499999997,0.344034,0.377635,0.376548,0.378717025,0.27947000000000005,0.278997,0.27995
