N,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
10,3.572,0.144,0.788,0.072,2.144,0.052,0.064,0.5,2.664
25,7.68,0.44,0.312,2.076,2.672,2.224,0.04,6.528,3.028
50,10.792,0.844,0.132,0.184,7.484,1.772,0.368,18.088,10.336
100,10.88,2.208,5.408,39.184,15.364,4.196,11.012,1.124,10.624
250,17.284,7.3,141.124,12.124,22.788,3.784,5.304,6.208,34.084
500,76.648,83.312,143.944,6.24,34.0,47.624,14.976,7.492,85.764
