plane,N,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
XY,10,3.3263157894736843,0.11578947368421053,0.8,0.010526315789473684,2.1789473684210527,0.12631578947368421,0.06315789473684211,0.6947368421052632,2.6842105263157894
XY,25,6.8,0.4105263157894737,0.29473684210526313,2.357894736842105,2.3789473684210525,2.0842105263157893,0.05263157894736842,7.621052631578947,3.0
XY,50,10.2,0.9894736842105263,0.16842105263157894,0.2736842105263158,7.421052631578948,1.7052631578947368,0.29473684210526313,18.16842105263158,10.778947368421052
XY,100,12.126315789473685,1.894736842105263,5.3052631578947365,38.126315789473686,15.08421052631579,4.421052631578948,10.08421052631579,1.4736842105263157,11.48421052631579
XY,250,16.273684210526316,8.368421052631579,139.7263157894737,10.578947368421053,25.042105263157893,2.9157894736842107,4.894736842105263,5.168421052631579,37.03157894736842
XY,500,70.85263157894737,89.0,140.83157894736843,2.473684210526316,39.71578947368421,48.05263157894737,15.91578947368421,7.968421052631579,85.18947368421053
XZ,10,3.84,0.16,0.67,0.15,2.12,0.01,0.06,0.41,2.58
XZ,25,8.75,0.33,0.39,1.34,2.87,2.46,0.04,5.6,3.22
XZ,50,11.21,0.88,0.06,0.13,7.4,1.86,0.2,17.99,10.27
XZ,100,10.69,2.27,5.46,39.0,16.71,3.42,10.82,0.86,10.77
XZ,250,17.79,6.25,142.25,14.18,22.55,4.37,3.62,6.2,32.79
XZ,500,81.14,77.54,148.19,11.15,31.84,46.6,10.36,6.51,86.67
YZ,10,3.5090909090909093,0.16363636363636364,0.9818181818181818,0.03636363636363636,2.1272727272727274,0.0,0.07272727272727272,0.32727272727272727,2.7818181818181817
YZ,25,7.254545454545455,0.6909090909090909,0.2,2.9272727272727272,2.8181818181818183,2.036363636363636,0.01818181818181818,6.327272727272727,2.727272727272727
YZ,50,11.054545454545455,0.5272727272727272,0.2,0.12727272727272726,7.745454545454545,1.7272727272727273,0.8,18.12727272727273,9.690909090909091
YZ,100,9.072727272727272,2.6363636363636362,5.490909090909091,41.345454545454544,13.4,5.218181818181818,12.963636363636363,1.0,8.872727272727273
YZ,250,18.10909090909091,7.363636363636363,141.4909090909091,11.054545454545455,19.327272727272728,4.218181818181818,9.072727272727272,8.018181818181818,31.345454545454544
YZ,500,78.49090909090908,83.98181818181818,141.6,3.8181818181818183,28.054545454545455,48.74545454545454,21.745454545454546,8.454545454545455,85.10909090909091
