N,delta_mean,delta_std,count,rl_win_rate,delta_ci95
1,-0.04039216755612555,0.3621084370321116,500,0.41,0.03174020395285614
2,0.061417137907639696,0.39862257614395,500,0.524,0.03494080936285916
5,0.01050879330159559,0.2683799827447661,500,0.498,0.02352454270052669
10,-0.006223468127123048,0.1917879892087164,500,0.506,0.016810958460636488
25,-0.010739494376308929,0.09184914560935913,500,0.45,0.008050932583705891
50,-0.005783987459147033,0.05036314329231664,500,0.45,0.004414524148917557
100,-0.007818427110117246,0.03146321545743474,500,0.414,0.0027578724312990115
250,-0.001582554312342509,0.011477921479824505,500,0.464,0.001006084176636269
500,-0.0008471117115038061,0.005749376168692094,500,0.446,0.0005039550409033825
