target_id,seed,N,drift_level,final_fidelity_RL_adaptive,final_fidelity_XYZ_interleaved,tracking_fidelity_RL_adaptive,tracking_fidelity_XYZ_interleaved,delta_final_fidelity,delta_tracking_fidelity
0,0,10,0.0,0.8254038228575988,0.9397040027812781,0.5411109855264536,0.7951490762695854,-0.11430017992367925,-0.2540380907431318
0,0,10,0.0025,0.9291868993712755,0.9616799322255969,0.712083941484154,0.8802604995921032,-0.03249303285432137,-0.16817655810794918
0,0,10,0.005,0.7853776847777442,0.867175896425374,0.7829664906659457,0.7153960486344335,-0.08179821164762979,0.06757044203151219
0,0,10,0.01,0.8998314286814997,0.8604171392089789,0.7875449596154948,0.8713716125608103,0.03941428947252079,-0.08382665294531555
0,0,25,0.0,0.702815432683821,0.7795260994701733,0.738861518535182,0.7840658974119558,-0.0767106667863523,-0.045204378876773754
0,0,25,0.0025,0.9534255982160945,0.9276702045428951,0.8238349397262397,0.8204650228121823,0.025755393673199456,0.0033699169140574137
0,0,25,0.005,0.8074827166411731,0.8318965824761682,0.7597371325246174,0.8649162997531553,-0.024413865834995052,-0.10517916722853793
0,0,25,0.01,0.7812154559552272,0.9169546281192852,0.8969322270627778,0.8478975275791728,-0.13573917216405795,0.04903469948360495
0,0,50,0.0,0.9054283106616218,0.811281552108686,0.885197320849644,0.7787179117776859,0.09414675855293575,0.10647940907195808
0,0,50,0.0025,0.7795531001427327,0.9015492557251155,0.5957488887001191,0.8791044861298299,-0.12199615558238275,-0.28335559742971084
0,0,50,0.005,0.9214098395365588,0.9620077325210549,0.7499951988586995,0.9346608739521927,-0.04059789298449612,-0.1846656750934932
0,0,50,0.01,0.9470703950427404,0.9389652904063065,0.8718850263319428,0.7768612775289302,0.00810510463643388,0.09502374880301256
1,0,10,0.0,0.9475951841120639,0.5711358755259882,0.6226374276331865,0.35417894283520923,0.3764593085860757,0.2684584847979773
1,0,10,0.0025,0.7260962371566246,0.8514243064261366,0.6823519349617231,0.7419030822070221,-0.125328069269512,-0.059551147245298974
1,0,10,0.005,0.8780091603852906,0.7774086569252482,0.735621764707123,0.6481625572407093,0.10060050346004246,0.08745920746641378
1,0,10,0.01,0.6986627809120762,0.883832545035999,0.6039688646742709,0.7901652947034925,-0.18516976412392272,-0.1861964300292216
1,0,25,0.0,0.9227246715625058,0.804042374518629,0.7024932114618568,0.7783827227087917,0.11868229704387678,-0.07588951124693488
1,0,25,0.0025,0.9958665318402529,0.9173208047925036,0.8125764955064754,0.771891599337468,0.07854572704774931,0.04068489616900739
1,0,25,0.005,0.856812083923244,0.9733111658501398,0.748476805145917,0.8865053956254877,-0.11649908192689573,-0.13802859047957072
1,0,25,0.01,0.8873794172812162,0.9019545738124721,0.7265522732726325,0.8150518502507732,-0.014575156531255962,-0.0884995769781407
1,0,50,0.0,0.9928008358098326,0.9243814931997297,0.8793708093425358,0.8963852409251102,0.06841934261010285,-0.01701443158257443
1,0,50,0.0025,0.926312167220763,0.8350177933004121,0.6568762941463178,0.8247983305729882,0.09129437392035089,-0.16792203642667047
1,0,50,0.005,0.9896102625659224,0.9662526407742107,0.8378494663292987,0.8122627494379862,0.023357621791711747,0.025586716891312533
1,0,50,0.01,0.9563031286771495,0.935095948947329,0.9115661102016895,0.8358794821685069,0.021207179729820558,0.0756866280331826
2,0,10,0.0,0.8532292019238398,0.8919559882635187,0.42619058358041484,0.8379652791604382,-0.038726786339678965,-0.41177469558002333
2,0,10,0.0025,0.9346402563587765,0.9306866793811917,0.897522242668306,0.6992488696019867,0.003953576977584805,0.19827337306631931
2,0,10,0.005,0.7648190362181947,0.896343186920836,0.7492255069946909,0.7466948852327346,-0.13152415070264134,0.0025306217619562865
2,0,10,0.01,0.8803042018424867,0.9600953550074055,0.4936440592891794,0.8065266286987699,-0.0797911531649188,-0.31288256940959047
2,0,25,0.0,0.4929313353727155,0.8934810381929112,0.7455779120586365,0.7811725387683355,-0.40054970282019575,-0.03559462670969893
2,0,25,0.0025,0.9704025571051187,0.7599171058292176,0.8947288743768427,0.8760995266934698,0.21048545127590113,0.018629347683372877
2,0,25,0.005,0.9321799199894875,0.8507919458606455,0.8858587937997562,0.7661641539859264,0.08138797412884191,0.11969463981382977
2,0,25,0.01,0.8653326125584277,0.8071819594133228,0.7428890372310609,0.8038314928261258,0.058150653145104925,-0.06094245559506484
2,0,50,0.0,0.968797722299253,0.9836769717183917,0.9015436111844906,0.8716425004854749,-0.014879249419138763,0.029901110699015687
2,0,50,0.0025,0.9222397750115287,0.9010756183698998,0.8586737205185454,0.8584161552475897,0.02116415664162885,0.00025756527095566195
2,0,50,0.005,0.7929000855432493,0.7891115175394914,0.8715083364789088,0.8678336678688764,0.0037885680037579306,0.0036746686100324055
2,0,50,0.01,0.989126462355577,0.9882065116673394,0.8254489493094787,0.7795840245834147,0.0009199506882375807,0.04586492472606396
3,0,10,0.0,0.5547659663795197,0.7216882220760309,0.3156777360145432,0.771689115605899,-0.1669222556965112,-0.45601137959135585
3,0,10,0.0025,0.8531238041341297,0.8182876263858175,0.7090275771318769,0.7051997891385909,0.03483617774831216,0.0038277879932859804
3,0,10,0.005,0.8686925595330036,0.8839114402638866,0.7947205448488768,0.700089722501389,-0.015218880730882955,0.09463082234748776
3,0,10,0.01,0.9415189238110893,0.8840250691621387,0.8495113360178038,0.713193969846031,0.057493854648950515,0.1363173661717728
3,0,25,0.0,0.9247499440708122,0.9721394866541004,0.7046574865888919,0.8541281218224728,-0.0473895425832882,-0.14947063523358084
3,0,25,0.0025,0.9018394877424462,0.9065182454120705,0.8072900251304544,0.7463213898697328,-0.004678757669624334,0.060968635260721604
3,0,25,0.005,0.9418214792563929,0.8156125422893586,0.7838864404517755,0.55266393839662,0.12620893696703428,0.2312225020551555
3,0,25,0.01,0.9019488174577505,0.7925008960582403,0.7111564901423393,0.7488067938736664,0.1094479213995102,-0.03765030373132716
3,0,50,0.0,0.9002793088837018,0.8968948661631758,0.8645529273038545,0.6986621452434341,0.0033844427205259597,0.1658907820604204
3,0,50,0.0025,0.9589801483288786,0.9133901773626872,0.8212735523712112,0.8362764685530679,0.04558997096619133,-0.015002916181856674
3,0,50,0.005,0.8718444711040889,0.906064519951204,0.8649702887915383,0.6890694282339017,-0.03422004884711505,0.17590086055763654
3,0,50,0.01,0.8217780520936416,0.9557440835740573,0.8057076260216012,0.8715958412078777,-0.13396603148041564,-0.06588821518627652
4,0,10,0.0,0.9248457607885007,0.6745632093424074,0.7022714850331349,0.4530147447212397,0.25028255144609324,0.24925674031189515
4,0,10,0.0025,0.8621019487401765,0.33792479019287347,0.6844493851445272,0.5834064926356266,0.5241771585473031,0.10104289250890064
4,0,10,0.005,0.8730794182038071,0.5899493425660872,0.818713484051006,0.7000958162829043,0.28313007563771986,0.11861766776810168
4,0,10,0.01,0.7902815031060149,0.8267640803827849,0.7347450016718509,0.654966124460229,-0.03648257727677007,0.07977887721162191
4,0,25,0.0,0.9142490582220772,0.8880296470550737,0.8494334798798,0.6752826315727285,0.026219411167003548,0.1741508483070715
4,0,25,0.0025,0.8021250254012213,0.9915708894637983,0.7513890639442998,0.8447394291469523,-0.18944586406257702,-0.0933503652026525
4,0,25,0.005,0.9539974748551536,0.9581703788467769,0.6087382119977476,0.8857839215038515,-0.004172903991623289,-0.27704570950610397
4,0,25,0.01,0.9270353034565214,0.9427836577278585,0.7994188373851174,0.8409783838435945,-0.01574835427133714,-0.04155954645847704
4,0,50,0.0,0.9951726537562695,0.9472184349672527,0.9049559400869075,0.8595554136508422,0.047954218789016845,0.04540052643606529
4,0,50,0.0025,0.7636288475879291,0.9500475023962801,0.7926342111923743,0.8565023709574426,-0.18641865480835096,-0.06386815976506832
4,0,50,0.005,0.9742014060972694,0.7968730129825227,0.9140439735490719,0.825651704187917,0.17732839311474669,0.08839226936115485
4,0,50,0.01,0.9436358462751754,0.9674613953963963,0.8679194826904143,0.8319584431540201,-0.023825549121220924,0.03596103953639418
5,0,10,0.0,0.4966949733683469,0.9021675503015505,0.4173288619152391,0.4441341888991345,-0.4054725769332036,-0.026805326983895372
5,0,10,0.0025,0.7688817895072789,0.7356600863872854,0.8142644959919678,0.49931994553068104,0.033221703119993506,0.3149445504612868
5,0,10,0.005,0.6726821147408988,0.7518657077917332,0.7156633861907451,0.7190105352373356,-0.07918359305083444,-0.003347149046590503
5,0,10,0.01,0.9579711523022132,0.9651553935292642,0.8054654666745144,0.6960968634864012,-0.007184241227050969,0.10936860318811314
5,0,25,0.0,0.8872073933503284,0.9357934367092062,0.8276252130542044,0.8778943696146623,-0.04858604335887784,-0.05026915656045783
5,0,25,0.0025,0.9317689123425229,0.9268219243504673,0.8902341751242955,0.8045838644825406,0.004946987992055618,0.08565031064175488
5,0,25,0.005,0.9760731342403899,0.8896126337531923,0.9016505305042554,0.7132283992826551,0.08646050048719756,0.18842213122160023
5,0,25,0.01,0.930351059128091,0.9055021444786574,0.8360999659243601,0.8674256538038547,0.024848914649433618,-0.031325687879494635
5,0,50,0.0,0.919469086104682,0.9294591363959097,0.7780117398845828,0.7719109105949685,-0.009990050291227681,0.006100829289614307
5,0,50,0.0025,0.9731458494853943,0.9495708833095546,0.8802094520945924,0.8238035085829962,0.02357496617583965,0.056405943511596224
5,0,50,0.005,0.9566852690390361,0.9763709249014643,0.8074166268930817,0.823276650934727,-0.01968565586242821,-0.015860024041645326
5,0,50,0.01,0.9927645546473343,0.895798721713714,0.8695223363987199,0.8176013127239051,0.09696583293362027,0.05192102367481477
6,0,10,0.0,0.7798783482327191,0.892951571256023,0.6945981695538982,0.8186460058415836,-0.11307322302330391,-0.12404783628768545
6,0,10,0.0025,0.9206374185258309,0.7458668756609838,0.6090934037929668,0.5363733356883906,0.17477054286484717,0.07272006810457621
6,0,10,0.005,0.9526005546213954,0.8519930433164595,0.8670603344692287,0.7378260309969626,0.10060751130493584,0.12923430347226605
6,0,10,0.01,0.9511471183957205,0.5299824363455287,0.7771373842908866,0.44416466779922575,0.42116468205019186,0.3329727164916609
6,0,25,0.0,0.8714683788216927,0.7979348433337075,0.8553509329929564,0.6963311822505327,0.07353353548798525,0.1590197507424237
6,0,25,0.0025,0.8491434494494778,0.867653162789073,0.7953998688051709,0.7294242697589675,-0.01850971333959517,0.06597559904620343
6,0,25,0.005,0.9665601242193936,0.890112658233988,0.9477635588992662,0.8723823206916922,0.07644746598540564,0.07538123820757403
