method,N,drift_level,n_trials,final_fidelity_mean,final_fidelity_ci95_low,final_fidelity_ci95_high,tracking_fidelity_mean,tracking_fidelity_ci95_low,tracking_fidelity_ci95_high,final_infidelity_mean,final_infidelity_ci95_low,final_infidelity_ci95_high,tracking_infidelity_mean,tracking_infidelity_ci95_low,tracking_infidelity_ci95_high
RL_adaptive,10,0.0,2000,0.7865408693859527,0.7795132384536851,0.7933562877482706,0.6665558424463196,0.6600217973366298,0.6729296513953149,0.2134591306140473,0.20682747812735305,0.2203397223878613,0.3334441575536804,0.3271197354187074,0.3399122830511871
RL_adaptive,10,0.0025,2000,0.7824198266319256,0.7755992898279513,0.7891465073409238,0.6641720894608777,0.6578243479313857,0.6704427621510334,0.2175801733680745,0.2110949043983803,0.2243041121879183,0.3358279105391224,0.32957310546723567,0.34216325980327883
RL_adaptive,10,0.005,2000,0.7864721803413731,0.779726139326283,0.7928827974558245,0.668551755651923,0.6622702077787223,0.6749085875362199,0.21352781965862677,0.20688026416630778,0.2201649259094945,0.33144824434807685,0.32513205294951747,0.33769197797925804
RL_adaptive,10,0.01,2000,0.7806569628084007,0.7738666678674075,0.7872872397769833,0.6597196519198317,0.6531761159112593,0.6661952995161451,0.21934303719159937,0.2126160342677258,0.2261376867758941,0.3402803480801682,0.3338813729398168,0.3467329745207012
RL_adaptive,25,0.0,2000,0.8878713371893759,0.8842911536133606,0.8912719260062909,0.7815926319111793,0.7779511898434357,0.7851386313848631,0.11212866281062396,0.10872898235789827,0.11566109251617239,0.21840736808882064,0.21484783053813422,0.22190110784339764
RL_adaptive,25,0.0025,2000,0.8834030625621623,0.8796599899871032,0.8871588942495727,0.7791682472646043,0.7755474062218375,0.7828323615141229,0.1165969374378376,0.11298089910345148,0.12028092994000569,0.22083175273539563,0.21723822768892256,0.22451242080866118
RL_adaptive,25,0.005,2000,0.8856425752231653,0.8819071104048064,0.8893126318306722,0.7802045988277846,0.776496946497961,0.7838922165589184,0.11435742477683476,0.11065398787859497,0.118160255278509,0.2197954011722153,0.21615198792936013,0.22336600158362704
RL_adaptive,25,0.01,2000,0.8804191164515505,0.8764322330111991,0.8842563562224344,0.7822991292814914,0.7787842512102712,0.7858757526865783,0.11958088354844948,0.11572034126695646,0.12355156912144746,0.2177008707185086,0.21414379198186603,0.2213143530438286
RL_adaptive,50,0.0,2000,0.9095977862659989,0.906411219879469,0.912744596655207,0.8360283160714179,0.8334374961768907,0.8386273930747908,0.09040221373400117,0.08723652400677215,0.09369711370997666,0.16397168392858208,0.1613673209490961,0.16657493190973793
RL_adaptive,50,0.0025,2000,0.9096869705204113,0.906546238803577,0.9127571233860995,0.8352845382829115,0.832758071789076,0.8378080195972184,0.09031302947958868,0.08719497830266594,0.09351028369954688,0.16471546171708845,0.16214272327761348,0.16728267392730048
RL_adaptive,50,0.005,2000,0.9075157906680561,0.9041503203076988,0.91080582975478,0.833854341865367,0.831300865231564,0.8363583818028072,0.0924842093319439,0.08919215888497509,0.095748538171347,0.16614565813463297,0.1636448276428115,0.16868067389405952
RL_adaptive,50,0.01,2000,0.9000527650137257,0.8965390853406089,0.903390250768192,0.8322170219981101,0.8297661353376933,0.8346601922412575,0.0999472349862744,0.096658216825802,0.10336838072827906,0.16778297800188993,0.1652264817096526,0.17032405580591695
XYZ_interleaved,10,0.0,2000,0.7946678564340476,0.7885006098009879,0.8007878711030787,0.671404696065958,0.6657168009174524,0.677025833357544,0.20533214356595236,0.19905159545496567,0.2116115893794359,0.3285953039340421,0.3229797011901587,0.33437461110552413
XYZ_interleaved,10,0.0025,2000,0.7903329783777467,0.7839740474371376,0.7965153274366609,0.6711712223606102,0.6654688483300676,0.6769386729878923,0.2096670216222533,0.20337406658471557,0.21592831853712688,0.3288287776393897,0.32326136035841335,0.3345925502638368
XYZ_interleaved,10,0.005,2000,0.7980846233754672,0.7922658066080275,0.8038790607387815,0.6781539576088721,0.6726020614997669,0.6836463752577202,0.20191537662453288,0.19608550464529992,0.20783223166232148,0.3218460423911278,0.3163563397669424,0.32749365200770447
XYZ_interleaved,10,0.01,2000,0.7962873099577766,0.7902009301693896,0.8024409676945461,0.6768274974712328,0.6712422211774982,0.6822537539248588,0.2037126900422234,0.19765275277322863,0.20994890309683611,0.3231725025287671,0.31788029777350435,0.3287217827065353
XYZ_interleaved,25,0.0,2000,0.8685577562937999,0.8642570350261286,0.8727346502466762,0.776853902618021,0.7733598569403471,0.7803609226704165,0.13144224370620008,0.12728966099861924,0.13569652832486276,0.2231460973819789,0.21965054749839852,0.22669394309898483
XYZ_interleaved,25,0.0025,2000,0.8674032815013131,0.862804781044235,0.8719411649602675,0.7780504433238057,0.774333796242507,0.7816685657543242,0.13259671849868707,0.12811971814518883,0.1371953045331619,0.22194955667619445,0.2182901088355328,0.22554749368742194
XYZ_interleaved,25,0.005,2000,0.8681453514372484,0.8638320517297745,0.8724008935767075,0.7751798609703026,0.7717042749763056,0.7786903312571523,0.1318546485627517,0.12754937273099634,0.13624064349210604,0.22482013902969744,0.22140628994399464,0.22836538627115188
XYZ_interleaved,25,0.01,2000,0.8710673070335142,0.8670981528936715,0.8749486899139259,0.777198823103357,0.7737368503734565,0.7806806887870874,0.12893269296648588,0.12505669560123245,0.1329297903383868,0.22280117689664303,0.21933019784981672,0.2263166994107739
XYZ_interleaved,50,0.0,2000,0.886604280258047,0.882890051757508,0.8902630632076756,0.8311278170760715,0.8290570629628772,0.8332487774330473,0.11339571974195288,0.10978094857695965,0.1171517113041744,0.16887218292392844,0.16676301595038903,0.1710185387726434
XYZ_interleaved,50,0.0025,2000,0.8821448393953859,0.8781639053852252,0.8858856902768145,0.8295510974144079,0.8273189875815238,0.8317826388138256,0.11785516060461403,0.11400676955359627,0.12158051870857209,0.17044890258559214,0.16818744691452867,0.1727004998048586
XYZ_interleaved,50,0.005,2000,0.8826531431083485,0.8790474467271887,0.886225020611347,0.8278448465187832,0.8255962231415952,0.8300608695721329,0.11734685689165139,0.11381700450829431,0.12094458978847235,0.17215515348121668,0.16992469669144356,0.1743975672143588
XYZ_interleaved,50,0.01,2000,0.8816713356477591,0.8780249798553096,0.8853048355093466,0.8266793274078945,0.8243492324852445,0.8289787052056296,0.11832866435224085,0.11475973140567702,0.12193449620119283,0.17332067259210535,0.17098762841609202,0.175634269445434
ZX_interleaved,10,0.0,2000,0.6960084325759591,0.6876365603161978,0.7043041364951625,0.617068567093369,0.6096231848661591,0.6244431777108655,0.30399156742404093,0.29568372195962483,0.31219363960371377,0.382931432906631,0.37548605658805384,0.39035478076918834
ZX_interleaved,10,0.0025,2000,0.690251594119123,0.6819487507185736,0.6985797373283776,0.6136726476212293,0.6063421721279528,0.6212065766253091,0.30974840588087704,0.30130810867342356,0.3178924081462094,0.3863273523787707,0.3791174972075696,0.3937106946772674
ZX_interleaved,10,0.005,2000,0.6897049289534541,0.6816698342742075,0.6978882513291594,0.6157663775830753,0.6084544034316078,0.6229668947211108,0.3102950710465459,0.3020382194942417,0.3184401535428887,0.3842336224169247,0.37691468321511584,0.39146396456765076
ZX_interleaved,10,0.01,2000,0.6880409170233399,0.6797749262688488,0.6964773677899434,0.6123984051877025,0.6049480165290558,0.6198163155880579,0.31195908297666014,0.3038276228750761,0.3201644255396805,0.38760159481229756,0.38034670153093125,0.3950780591991919
ZX_interleaved,25,0.0,2000,0.731253318295366,0.7236682401302745,0.7387613811969921,0.6785748532412706,0.671693911436314,0.6853937020763587,0.26874668170463406,0.26119363036883175,0.2765092501292328,0.32142514675872935,0.3147567840514466,0.3281801047534309
ZX_interleaved,25,0.0025,2000,0.7334052297605244,0.7257336519924775,0.7408459785181254,0.6816867984801204,0.6749796477701588,0.6884502303243699,0.26659477023947575,0.2589891598995994,0.27408445196547365,0.31831320151987963,0.311531806466366,0.32528057980857805
ZX_interleaved,25,0.005,2000,0.7304187288357081,0.7227791774472796,0.7379437153696602,0.6735377102439436,0.6665525576090774,0.6806575647870154,0.2695812711642918,0.26220501535373636,0.27709687758193324,0.3264622897560564,0.31962691475334537,0.33323900492289965
ZX_interleaved,25,0.01,2000,0.7298339217678089,0.7221194106536027,0.737542164938507,0.6778760423912593,0.6709992320310614,0.6847510811356192,0.2701660782321911,0.2625506737789543,0.27793163473803395,0.32212395760874074,0.3151859971594323,0.32900281299721434
ZX_interleaved,50,0.0,2000,0.7422885129326037,0.734964488462177,0.749476357750297,0.7086755950848849,0.7021899092074015,0.7152869401101639,0.2577114870673963,0.25053201496274213,0.2651159224142568,0.29132440491511513,0.2846960715671378,0.298113095388637
ZX_interleaved,50,0.0025,2000,0.7399738977776473,0.7327414474632686,0.747265925023879,0.7063228698618245,0.6993923636104213,0.7132293504777835,0.2600261022223526,0.2527359181169303,0.26761174599683774,0.2936771301381756,0.2869082741398843,0.3005442494812767
ZX_interleaved,50,0.005,2000,0.7376225155238678,0.7299691911780725,0.7450370604022181,0.7057459251239011,0.6990033663683545,0.7124183994975875,0.2623774844761323,0.25505197596912327,0.2700173324598784,0.29425407487609884,0.2874995125428949,0.30095568508425863
ZX_interleaved,50,0.01,2000,0.7413705259879555,0.7336283508295931,0.7489827874532474,0.7073580078891865,0.7006756573021092,0.7140364260770009,0.2586294740120445,0.251001578951722,0.2662849282396114,0.2926419921108136,0.28598901570062535,0.29932215700472625
Z_only,10,0.0,2000,0.5329384091495921,0.5246421449153518,0.5411403220898343,0.5032290396620659,0.495730988494207,0.5108483274749495,0.4670615908504079,0.45913558953686606,0.4755002657711591,0.49677096033793416,0.48913048552787713,0.5043831314621902
Z_only,10,0.0025,2000,0.5242382604952793,0.5159445116161884,0.5324473018571262,0.4972463676290194,0.489702777171469,0.5046538630441875,0.47576173950472084,0.46756456986685024,0.4839651310767697,0.5027536323709807,0.49519118668739415,0.5104308978330664
Z_only,10,0.005,2000,0.5285455311674893,0.5203993453759957,0.536638966294989,0.5009897026246058,0.49334581197588934,0.5084211496352673,0.47145446883251074,0.46342776497668775,0.4798641615885711,0.4990102973753942,0.49142697343429786,0.506595884340003
Z_only,10,0.01,2000,0.5314995306236127,0.5232032294580535,0.5396787808844513,0.5010031693301489,0.49323875763658653,0.5088310053654966,0.4685004693763873,0.4603184165606251,0.4767176969323236,0.49899683066985107,0.4910806709751576,0.5068375370402503
Z_only,25,0.0,2000,0.540777429664826,0.5330508487466644,0.5483317378873925,0.5201999601903969,0.5128944468895759,0.5276759168244507,0.45922257033517383,0.4514525392585425,0.46705077390025307,0.479800039809603,0.4724544156275796,0.487172550644827
Z_only,25,0.0025,2000,0.5437212346623626,0.536021186671095,0.5514404149688763,0.5229533695288084,0.5153934247381916,0.530273145801133,0.4562787653376375,0.4486630966187419,0.46417052705203776,0.47704663047119156,0.46966751206519836,0.4844563338580273
Z_only,25,0.005,2000,0.542466915165807,0.5347570672060251,0.5498771755247884,0.5207212883135646,0.5134554111288504,0.5279281397104073,0.457533084834193,0.4499875322594518,0.4652219908302209,0.4792787116864355,0.4721285379298437,0.48655472052308896
Z_only,25,0.01,2000,0.5495279455998279,0.5418305763570914,0.5572488231438311,0.5284138056385083,0.5211644640634122,0.535836260278267,0.4504720544001722,0.4428960803478931,0.4580306591859032,0.4715861943614917,0.4642715147329506,0.47913174644391127
Z_only,50,0.0,2000,0.5492378096148225,0.5415686876905259,0.5568663078688814,0.537160476955572,0.5299144448783215,0.5443919171854765,0.4507621903851775,0.4430147137399014,0.45827596511831103,0.46283952304442805,0.45541908835051775,0.47013198423808894
Z_only,50,0.0025,2000,0.5455110858455327,0.537954325865052,0.5531471313578595,0.5323733673673862,0.5250213634981952,0.539562436962081,0.4544889141544674,0.4468198318056657,0.4623297896420285,0.4676266326326138,0.46038256935305516,0.474793331037456
Z_only,50,0.005,2000,0.5573216731047762,0.5495966562393874,0.5652781727246162,0.5427071687944005,0.535196108428332,0.5500839327473567,0.4426783268952238,0.4348750327000836,0.4505268654132095,0.4572928312055995,0.4499110394216671,0.4648287283476374
Z_only,50,0.01,2000,0.5598645353634847,0.5518525196171827,0.5679077913623554,0.5354447730840071,0.5281982940015901,0.542515991171631,0.4401354646365153,0.43184172569645957,0.44826506067595856,0.464555226915993,0.45725448980540273,0.471860406481581
Balanced_random,10,0.0,2000,0.7633057067182475,0.755923510759445,0.770585662255488,0.6406559067779178,0.6342985357864587,0.6470032636608529,0.23669429328175243,0.22941552872287216,0.24399627381019373,0.3593440932220821,0.35305647092863235,0.365718656117061
Balanced_random,10,0.0025,2000,0.761502709186866,0.7537698494152656,0.7689985730780672,0.6402714247152987,0.6338876447341374,0.6465817937487933,0.23849729081313395,0.2308731532635149,0.246023983786191,0.3597285752847013,0.3531537662829216,0.3661056518052653
Balanced_random,10,0.005,2000,0.7675522504364903,0.7601811781585048,0.7749085323838654,0.6438381796305621,0.6375230324002803,0.6499573696758497,0.2324477495635096,0.22514385035453682,0.23978172948635007,0.35616182036943794,0.34995963314282297,0.3624761681163917
Balanced_random,10,0.01,2000,0.7679067253762956,0.7603336162987302,0.7752344099832593,0.6433118833960825,0.6370620993174515,0.6496373902330631,0.23209327462370444,0.2247481530747098,0.23964219349580745,0.35668811660391747,0.35028900091748266,0.36309077945535584
Balanced_random,25,0.0,2000,0.8605493826180085,0.8559129549843542,0.8650888965815094,0.7532837823258595,0.7492396056716284,0.7573444387941437,0.1394506173819915,0.13487576626694117,0.14400855355711906,0.24671621767414062,0.24275187644729507,0.2508361445932494
Balanced_random,25,0.0025,2000,0.8633295194040427,0.8584081221106266,0.8681036489560544,0.7533345550130702,0.7493003339321712,0.7572500030824941,0.13667048059595735,0.13194543896372096,0.14152433742528184,0.24666544498692974,0.2426297669942776,0.25064785261495787
Balanced_random,25,0.005,2000,0.8612651803675058,0.8566831810783019,0.8657094857293685,0.7507694176573095,0.7467023578218542,0.7549381727968593,0.13873481963249432,0.1341863631171391,0.14335260705229774,0.2492305823426905,0.24511631524790814,0.25338315374487597
Balanced_random,25,0.01,2000,0.8616989722027947,0.8571534601546348,0.8661741988148868,0.7546783469454453,0.7508730735465862,0.758536721993573,0.1383010277972053,0.13375926017988266,0.14290545879690647,0.2453216530545546,0.24145446828912664,0.2492544632043551
Balanced_random,50,0.0,2000,0.8832097075690708,0.8793002774979484,0.887047509964204,0.8167121208342774,0.8143120506859939,0.8190882820779469,0.11679029243092921,0.11297712861671332,0.1207729957097291,0.1832878791657226,0.18088512106367527,0.1857125087814029
Balanced_random,50,0.0025,2000,0.8834218217110326,0.8796374997296454,0.8871175092932537,0.8166643303326705,0.814248616620931,0.8191376919979533,0.1165781782889675,0.11288799983428979,0.12030992015428671,0.18333566966732956,0.18086457021741695,0.1858423887935899
Balanced_random,50,0.005,2000,0.8787064081334627,0.8743469808925309,0.8828304293152758,0.8149521844964296,0.8125798640103262,0.8173871911931785,0.12129359186653732,0.11720615767982145,0.12556623993894145,0.18504781550357038,0.18264247489617055,0.18749275458552292
Balanced_random,50,0.01,2000,0.878713695966495,0.8746493668039711,0.882758423921251,0.8143612127885865,0.8119662742028155,0.8167450297362391,0.121286304033505,0.11726330263255617,0.12531997761121874,0.18563878721141358,0.1832597475489732,0.188011777753004
