target_id,seed,N,drift_level,method,final_fidelity,final_infidelity,tracking_fidelity,tracking_infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
0,0,10,0.0,RL_adaptive,0.8254038228575988,0.17459617714240117,0.5411109855264536,0.45888901447354635,1,1,0,0,1,3,2,1,1
0,0,10,0.0,XYZ_interleaved,0.9397040027812781,0.06029599721872192,0.7951490762695854,0.20485092373041458,3,0,0,0,4,0,0,0,3
0,0,10,0.0,ZX_interleaved,0.9512369931615945,0.04876300683840551,0.6107766849526819,0.3892233150473181,5,0,0,0,5,0,0,0,0
0,0,10,0.0,Z_only,0.8537297076145678,0.1462702923854322,0.8537297076145677,0.14627029238543232,10,0,0,0,0,0,0,0,0
0,0,10,0.0,Balanced_random,0.6450887332581385,0.35491126674186146,0.4716335389571338,0.5283664610428662,2,2,0,0,2,1,1,1,1
0,0,10,0.0025,RL_adaptive,0.9291868993712755,0.07081310062872448,0.712083941484154,0.287916058515846,1,2,0,0,1,3,2,0,1
0,0,10,0.0025,XYZ_interleaved,0.9616799322255969,0.03832006777440311,0.8802604995921032,0.11973950040789683,3,0,0,0,4,0,0,0,3
0,0,10,0.0025,ZX_interleaved,0.3737103554436328,0.6262896445563673,0.457011508236077,0.5429884917639229,5,0,0,0,5,0,0,0,0
0,0,10,0.0025,Z_only,0.4381766763672076,0.5618233236327924,0.404119749840803,0.595880250159197,10,0,0,0,0,0,0,0,0
0,0,10,0.0025,Balanced_random,0.7854114069035475,0.2145885930964525,0.7650769582016458,0.23492304179835422,0,1,4,0,0,2,1,2,0
0,0,10,0.005,RL_adaptive,0.7853776847777442,0.21462231522225583,0.7829664906659457,0.2170335093340543,1,2,0,0,1,3,2,0,1
0,0,10,0.005,XYZ_interleaved,0.867175896425374,0.13282410357462604,0.7153960486344335,0.2846039513655665,3,0,0,0,4,0,0,0,3
0,0,10,0.005,ZX_interleaved,0.9627183836422981,0.037281616357701886,0.8644964155293465,0.13550358447065347,5,0,0,0,5,0,0,0,0
0,0,10,0.005,Z_only,0.829580207753016,0.170419792246984,0.6950678612862189,0.3049321387137811,10,0,0,0,0,0,0,0,0
0,0,10,0.005,Balanced_random,0.6672931638152296,0.33270683618477037,0.36089977130382384,0.6391002286961762,1,0,0,0,4,1,1,2,1
0,0,10,0.01,RL_adaptive,0.8998314286814997,0.10016857131850032,0.7875449596154948,0.21245504038450524,1,2,0,0,1,2,3,0,1
0,0,10,0.01,XYZ_interleaved,0.8604171392089789,0.1395828607910211,0.8713716125608103,0.1286283874391897,3,0,0,0,4,0,0,0,3
0,0,10,0.01,ZX_interleaved,0.3747803370218568,0.6252196629781432,0.45921695709616916,0.5407830429038308,5,0,0,0,5,0,0,0,0
0,0,10,0.01,Z_only,0.14731531946577844,0.8526846805342215,0.2637589163190659,0.7362410836809341,10,0,0,0,0,0,0,0,0
0,0,10,0.01,Balanced_random,0.8055584315008644,0.19444156849913563,0.7012629863383077,0.29873701366169225,0,4,0,1,1,3,0,0,1
0,0,25,0.0,RL_adaptive,0.702815432683821,0.29718456731617904,0.738861518535182,0.261138481464818,3,6,0,8,1,0,0,1,6
0,0,25,0.0,XYZ_interleaved,0.7795260994701733,0.22047390052982674,0.7840658974119558,0.21593410258804424,8,0,0,0,9,0,0,0,8
0,0,25,0.0,ZX_interleaved,0.73681415391981,0.26318584608019,0.7146841925394452,0.28531580746055485,13,0,0,0,12,0,0,0,0
0,0,25,0.0,Z_only,0.7937578063651198,0.20624219363488017,0.7937578063651199,0.20624219363488006,25,0,0,0,0,0,0,0,0
0,0,25,0.0,Balanced_random,0.7367163122410729,0.2632836877589271,0.5519600790036174,0.44803992099638257,5,3,1,5,1,3,2,3,2
0,0,25,0.0025,RL_adaptive,0.9534255982160945,0.046574401783905484,0.8238349397262397,0.17616506027376033,4,6,0,6,2,0,0,0,7
0,0,25,0.0025,XYZ_interleaved,0.9276702045428951,0.07232979545710494,0.8204650228121823,0.17953497718781775,8,0,0,0,9,0,0,0,8
0,0,25,0.0025,ZX_interleaved,0.6664136565006957,0.33358634349930427,0.6774090582105494,0.3225909417894506,13,0,0,0,12,0,0,0,0
0,0,25,0.0025,Z_only,0.3588309953448948,0.6411690046551052,0.357036896297937,0.642963103702063,25,0,0,0,0,0,0,0,0
0,0,25,0.0025,Balanced_random,0.9087490885133802,0.09125091148661979,0.7686627653203396,0.2313372346796604,3,3,3,2,4,3,2,1,4
0,0,25,0.005,RL_adaptive,0.8074827166411731,0.1925172833588269,0.7597371325246174,0.2402628674753826,2,6,0,5,1,0,1,0,10
0,0,25,0.005,XYZ_interleaved,0.8318965824761682,0.16810341752383184,0.8649162997531553,0.13508370024684468,8,0,0,0,9,0,0,0,8
0,0,25,0.005,ZX_interleaved,0.89796670799984,0.10203329200015998,0.8295699425254113,0.17043005747458873,13,0,0,0,12,0,0,0,0
0,0,25,0.005,Z_only,0.5404819988966774,0.45951800110332264,0.5553792479489664,0.4446207520510336,25,0,0,0,0,0,0,0,0
0,0,25,0.005,Balanced_random,0.9394050802551107,0.060594919744889286,0.8182803144733459,0.18171968552665407,4,7,2,1,3,1,2,2,3
0,0,25,0.01,RL_adaptive,0.7812154559552272,0.21878454404477277,0.8969322270627778,0.10306777293722225,1,4,2,6,2,0,2,0,8
0,0,25,0.01,XYZ_interleaved,0.9169546281192852,0.08304537188071481,0.8478975275791728,0.1521024724208272,8,0,0,0,9,0,0,0,8
0,0,25,0.01,ZX_interleaved,0.9463155592039775,0.053684440796022526,0.9131762327444691,0.08682376725553087,13,0,0,0,12,0,0,0,0
0,0,25,0.01,Z_only,0.8653044119730651,0.13469558802693493,0.8596811483763838,0.14031885162361624,25,0,0,0,0,0,0,0,0
0,0,25,0.01,Balanced_random,0.967757231185835,0.03224276881416499,0.8053460174696037,0.19465398253039634,4,0,1,2,2,3,4,4,5
0,0,50,0.0,RL_adaptive,0.9054283106616218,0.09457168933837823,0.885197320849644,0.11480267915035602,6,1,6,1,10,5,17,3,1
0,0,50,0.0,XYZ_interleaved,0.811281552108686,0.18871844789131398,0.7787179117776859,0.2212820882223141,16,0,0,0,17,0,0,0,17
0,0,50,0.0,ZX_interleaved,0.9286260352094686,0.07137396479053137,0.956385274300939,0.043614725699061,25,0,0,0,25,0,0,0,0
0,0,50,0.0,Z_only,0.8409860633351004,0.1590139366648996,0.8269582270180321,0.17304177298196788,50,0,0,0,0,0,0,0,0
0,0,50,0.0,Balanced_random,0.9255330445535004,0.07446695544649962,0.7819411809879662,0.21805881901203383,3,7,3,8,2,3,9,8,7
0,0,50,0.0025,RL_adaptive,0.7795531001427327,0.2204468998572673,0.5957488887001191,0.4042511112998809,5,0,5,1,10,8,20,0,1
0,0,50,0.0025,XYZ_interleaved,0.9015492557251155,0.09845074427488454,0.8791044861298299,0.12089551387017006,16,0,0,0,17,0,0,0,17
0,0,50,0.0025,ZX_interleaved,0.8394277201419048,0.1605722798580952,0.7782829924423743,0.2217170075576257,25,0,0,0,25,0,0,0,0
0,0,50,0.0025,Z_only,0.5276897285239445,0.47231027147605553,0.5010344865298862,0.49896551347011375,50,0,0,0,0,0,0,0,0
0,0,50,0.0025,Balanced_random,0.9243866914220726,0.07561330857792736,0.755346472952573,0.24465352704742704,4,4,8,6,8,4,7,4,5
0,0,50,0.005,RL_adaptive,0.9214098395365588,0.07859016046344125,0.7499951988586995,0.2500048011413005,1,7,9,0,8,0,18,4,3
0,0,50,0.005,XYZ_interleaved,0.9620077325210549,0.03799226747894513,0.9346608739521927,0.06533912604780734,16,0,0,0,17,0,0,0,17
0,0,50,0.005,ZX_interleaved,0.7174329025216649,0.2825670974783351,0.7156085416240795,0.2843914583759205,25,0,0,0,25,0,0,0,0
0,0,50,0.005,Z_only,0.33057903798081895,0.6694209620191811,0.3114384659534332,0.6885615340465667,50,0,0,0,0,0,0,0,0
0,0,50,0.005,Balanced_random,0.9916383907142549,0.008361609285745142,0.8732002066444761,0.12679979335552394,3,7,4,5,12,4,8,3,4
0,0,50,0.01,RL_adaptive,0.9470703950427404,0.052929604957259624,0.8718850263319428,0.12811497366805724,6,0,14,6,6,4,8,5,1
0,0,50,0.01,XYZ_interleaved,0.9389652904063065,0.061034709593693504,0.7768612775289302,0.2231387224710698,16,0,0,0,17,0,0,0,17
0,0,50,0.01,ZX_interleaved,0.715566769075014,0.28443323092498596,0.460872971921424,0.539127028078576,25,0,0,0,25,0,0,0,0
0,0,50,0.01,Z_only,0.6713781959021344,0.32862180409786557,0.5878502762611226,0.41214972373887737,50,0,0,0,0,0,0,0,0
0,0,50,0.01,Balanced_random,0.9321960961841412,0.06780390381585877,0.8771510880921615,0.12284891190783853,8,4,4,7,4,9,6,3,5
1,0,10,0.0,RL_adaptive,0.9475951841120639,0.05240481588793611,0.6226374276331865,0.3773625723668135,1,2,0,0,1,3,2,0,1
1,0,10,0.0,XYZ_interleaved,0.5711358755259882,0.4288641244740118,0.35417894283520923,0.6458210571647908,3,0,0,0,4,0,0,0,3
1,0,10,0.0,ZX_interleaved,0.8850944806935951,0.11490551930640491,0.6873490257016581,0.3126509742983419,5,0,0,0,5,0,0,0,0
1,0,10,0.0,Z_only,0.7632857578886058,0.23671424211139425,0.6992324221817826,0.3007675778182174,10,0,0,0,0,0,0,0,0
1,0,10,0.0,Balanced_random,0.5484421617561579,0.4515578382438421,0.6252769825201085,0.37472301747989145,2,0,1,2,1,1,2,0,1
1,0,10,0.0025,RL_adaptive,0.7260962371566246,0.27390376284337536,0.6823519349617231,0.3176480650382769,1,0,0,0,1,3,2,1,2
1,0,10,0.0025,XYZ_interleaved,0.8514243064261366,0.14857569357386335,0.7419030822070221,0.25809691779297794,3,0,0,0,4,0,0,0,3
1,0,10,0.0025,ZX_interleaved,0.45720865577482145,0.5427913442251786,0.5135927236888244,0.48640727631117564,5,0,0,0,5,0,0,0,0
1,0,10,0.0025,Z_only,0.33419773351460375,0.6658022664853962,0.30275143970476626,0.6972485602952337,10,0,0,0,0,0,0,0,0
