method,N,fidelity_mean,fidelity_std,infidelity_mean,infidelity_std
ORACLE_plane,10,0.9299117868700613,0.0810586060725654,0.07008821312993867,0.0810586060725654
ORACLE_plane,25,0.9749878436284823,0.02652601340905375,0.025012156371517685,0.026526013409053764
ORACLE_plane,50,0.9872346658572364,0.012769168980877812,0.012765334142763603,0.01276916898087782
ORACLE_plane,100,0.9927295267662375,0.0071537997461137365,0.007270473233762463,0.007153799746113762
ORACLE_plane,250,0.9977752171013672,0.0022192110807997987,0.002224782898632837,0.002219211080799794
ORACLE_plane,500,0.9987274532674874,0.0012975847892781505,0.0012725467325126437,0.001297584789278168
XYZ_split,10,0.8201126488501328,0.1309797998753145,0.1798873511498672,0.13097979987531452
XYZ_split,25,0.9156993091139917,0.0599008453113383,0.08430069088600829,0.05990084531133831
XYZ_split,50,0.9528130626496994,0.033055000314006794,0.0471869373503006,0.033055000314006724
XYZ_split,100,0.9746943552711806,0.016805010615018295,0.02530564472881941,0.016805010615018278
XYZ_split,250,0.9904282259212026,0.006725630144062613,0.009571774078797423,0.006725630144062607
XYZ_split,500,0.9950658025844822,0.0034708007774566564,0.004934197415517842,0.0034708007774566486
ZX_split,10,0.6397227499307521,0.21355863246375048,0.3602772500692478,0.21355863246375043
ZX_split,25,0.680884569402041,0.18763512325134568,0.31911543059795894,0.18763512325134563
ZX_split,50,0.7093657645355396,0.17308080798540104,0.2906342354644604,0.17308080798540104
ZX_split,100,0.7214799446036089,0.16593342896017554,0.27852005539639124,0.16593342896017554
ZX_split,250,0.7299423239148733,0.16277989214877236,0.27005767608512665,0.1627798921487723
ZX_split,500,0.7322732232846513,0.16184947478558445,0.2677267767153488,0.16184947478558442
Z_only,10,0.519750787571059,0.23491505435764934,0.48024921242894103,0.23491505435764937
Z_only,25,0.5214443385854334,0.2349576344267442,0.4785556614145666,0.23495763442674417
Z_only,50,0.5257143308912167,0.23295890643122658,0.4742856691087833,0.2329589064312265
Z_only,100,0.5257143308912167,0.2329589064312266,0.4742856691087833,0.2329589064312265
Z_only,250,0.5257143308912167,0.2329589064312266,0.4742856691087833,0.23295890643122655
Z_only,500,0.5257143308912167,0.2329589064312266,0.4742856691087833,0.23295890643122658
