target_id,seed,N,method,true_theta,theta_hat,theta_error,fidelity,infidelity,z_counts_0,z_counts_1,x_counts_0,x_counts_1,reward
0,0,10,Z_only,5.789849863098693,0.9272952180016121,1.4206306620825053,0.5748009674492238,0.4251990325507762,8,2,0,0,
0,0,10,ZX_split,5.789849863098693,6.085789747329706,0.2959398842310126,0.9782642289748743,0.021735771025125694,5,0,2,3,
0,0,10,RL_adaptive,5.789849863098693,5.373432149235376,0.41641771386331694,0.9572718965402491,0.042728103459750866,8,1,0,1,0.9572718965402491
0,0,25,Z_only,5.789849863098693,0.40271584158066176,0.8960512856615548,0.8123491241299916,0.1876508758700084,24,1,0,0,
0,0,25,ZX_split,5.789849863098693,5.916011473361367,0.12616161026267392,0.9960260872034848,0.0039739127965151555,12,0,4,9,
0,0,25,RL_adaptive,5.789849863098693,5.755110858753227,0.034739004345466284,0.999698330733935,0.00030166926606500777,1,0,5,19,0.999698330733935
0,0,50,Z_only,5.789849863098693,0.4949341263408958,0.9882695704217888,0.7750678612232823,0.2249321387767177,47,3,0,0,
0,0,50,ZX_split,5.789849863098693,6.069124623615765,0.27927476051707156,0.9806278047883042,0.019372195211695753,24,1,10,15,
0,0,50,RL_adaptive,5.789849863098693,5.497787143782138,0.29206271931655525,0.9788259990900396,0.021174000909960355,49,0,0,1,0.9788259990900396
0,0,100,Z_only,5.789849863098693,0.6435011087932843,1.1368365528741773,0.7102334118352197,0.2897665881647803,90,10,0,0,
0,0,100,ZX_split,5.789849863098693,5.625296701997376,0.1645531611013169,0.993245825598991,0.0067541744010090055,47,3,8,42,
0,0,100,RL_adaptive,5.789849863098693,5.455706736340248,0.3341431267584456,0.9723458381972426,0.02765416180275737,95,4,0,1,0.9723458381972426
0,0,250,Z_only,5.789849863098693,0.4949341263408958,0.9882695704217888,0.7750678612232823,0.2249321387767177,235,15,0,0,
0,0,250,ZX_split,5.789849863098693,5.631810345362201,0.15803951773649239,0.9937688632475162,0.006231136752483768,113,12,24,101,
0,0,250,RL_adaptive,5.789849863098693,5.80518461690496,0.015334753806266477,0.9999412124834521,5.878751654786463e-05,1,0,60,189,0.9999412124834521
0,0,500,Z_only,5.789849863098693,0.5433142473551479,1.0366496914360406,0.7545533655233108,0.24544663447668924,464,36,0,0,
0,0,500,ZX_split,5.789849863098693,5.750681208877736,0.0391686542209575,0.9996165031649333,0.00038349683506666565,237,13,59,191,
0,0,500,RL_adaptive,5.789849863098693,5.415543577720805,0.37430628537788824,0.9653807433011578,0.03461925669884225,461,38,0,1,0.9653807433011578
0,1,10,Z_only,5.789849863098693,0.0,0.493335444080893,0.9403791035665776,0.05962089643342239,10,0,0,0,
0,1,10,ZX_split,5.789849863098693,5.497787143782138,0.29206271931655525,0.9788259990900396,0.021174000909960355,5,0,0,5,
0,1,10,RL_adaptive,5.789849863098693,5.373432149235376,0.41641771386331694,0.9572718965402491,0.042728103459750866,8,1,0,1,0.9572718965402491
0,1,25,Z_only,5.789849863098693,0.0,0.493335444080893,0.9403791035665776,0.05962089643342239,25,0,0,0,
0,1,25,ZX_split,5.789849863098693,5.916011473361367,0.12616161026267392,0.9960260872034848,0.0039739127965151555,12,0,4,9,
0,1,25,RL_adaptive,5.789849863098693,6.038206644052722,0.2483567809540288,0.9846588261561597,0.015341173843840261,1,0,9,15,0.9846588261561597
0,1,50,Z_only,5.789849863098693,0.40271584158066176,0.8960512856615548,0.8123491241299916,0.1876508758700084,48,2,0,0,
0,1,50,ZX_split,5.789849863098693,5.878293520894503,0.08844365779580965,0.9980457042681276,0.0019542957318724463,23,2,8,17,
0,1,50,RL_adaptive,5.789849863098693,5.476956823745921,0.31289303935277246,0.97572351955871,0.02427648044129005,48,1,0,1,0.97572351955871
0,1,100,Z_only,5.789849863098693,0.45102681179626264,0.9443622558771558,0.793129824761669,0.20687017523833096,95,5,0,0,
0,1,100,ZX_split,5.789849863098693,5.783838585499456,0.006011277599236919,0.99999096616261,9.033837390037824e-06,47,3,13,37,
0,1,100,RL_adaptive,5.789849863098693,5.433360304356585,0.3564895587421084,0.9685638462628496,0.03143615373715036,93,6,0,1,0.9685638462628496
