target_id,seed,N,method,theta1,phi1,theta2,phi2,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
0,0,10,Z_only,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.6596858639780729,0.34031413602192706,,,,,,,,,
0,0,10,ZX_split,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.7577660101505285,0.24223398984947153,,,,,,,,,
0,0,10,XYZ_split,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.8499204932284246,0.15007950677157544,,,,,,,,,
0,0,10,RL_adaptive,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.7495320159641315,0.25046798403586845,1.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,1.0
0,0,25,Z_only,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.6596858639780729,0.34031413602192706,,,,,,,,,
0,0,25,ZX_split,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.8351851475611297,0.16481485243887029,,,,,,,,,
0,0,25,XYZ_split,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.9139602791001072,0.08603972089989276,,,,,,,,,
0,0,25,RL_adaptive,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.9695126863520368,0.0304873136479632,7.0,4.0,0.0,0.0,1.0,5.0,0.0,4.0,4.0
0,0,50,Z_only,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.6596858639780729,0.34031413602192706,,,,,,,,,
0,0,50,ZX_split,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.7991513765703491,0.20084862342965093,,,,,,,,,
0,0,50,XYZ_split,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.9830928162992105,0.016907183700789474,,,,,,,,,
0,0,50,RL_adaptive,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.9311909078961347,0.06880909210386532,6.0,0.0,11.0,3.0,15.0,0.0,4.0,0.0,11.0
0,0,100,Z_only,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.6596858639780729,0.34031413602192706,,,,,,,,,
0,0,100,ZX_split,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.8445541645689147,0.15544583543108526,,,,,,,,,
0,0,100,XYZ_split,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.9809035678580249,0.019096432141975095,,,,,,,,,
0,0,100,RL_adaptive,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.9549132839121186,0.045086716087881396,6.0,5.0,41.0,0.0,5.0,8.0,28.0,2.0,5.0
0,0,250,Z_only,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.6596858639780729,0.34031413602192706,,,,,,,,,
0,0,250,ZX_split,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.8498305445195381,0.1501694554804619,,,,,,,,,
0,0,250,XYZ_split,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.9964066344484214,0.003593365551578631,,,,,,,,,
0,0,250,RL_adaptive,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.9876513478247296,0.01234865217527037,1.0,7.0,84.0,17.0,19.0,17.0,11.0,93.0,1.0
0,0,500,Z_only,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.6596858639780729,0.34031413602192706,,,,,,,,,
0,0,500,ZX_split,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.8515182006321652,0.1484817993678348,,,,,,,,,
0,0,500,XYZ_split,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.9993626304143667,0.0006373695856333184,,,,,,,,,
0,0,500,RL_adaptive,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.9983020585099615,0.0016979414900385459,2.0,67.0,28.0,69.0,14.0,155.0,39.0,108.0,18.0
0,1,10,Z_only,0.3714478407277071,2.401593154371927,1.1961443591771446,3.9634020991909984,0.6596858639780729,0.34031413602192706,,,,,,,,,
