N,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
10,1.0,0.852,1.028,0.16,1.164,0.592,3.188,0.988,1.028
25,5.012,0.968,1.732,0.284,4.036,4.044,2.192,4.108,2.624
50,2.332,0.268,15.976,2.18,14.144,2.82,6.9,2.12,3.26
100,10.012,6.06,30.68,1.268,3.576,9.02,28.212,4.876,6.296
250,10.528,9.804,94.196,12.364,11.988,19.088,16.216,69.296,6.52
500,52.4,48.696,27.532,56.716,16.528,72.008,46.78,111.46,67.88
