target_id,seed,N,method,true_theta,theta_hat,theta_error,fidelity,infidelity,z_counts_0,z_counts_1,x_counts_0,x_counts_1,z_shots,x_shots,reward
0,0,10,Z_only,1.5662760408597347,1.7721542475852272,0.2058782067254925,0.9894409164723212,0.010559083527678759,4,6,0,0,10,0,
0,0,10,ZX_split,1.5662760408597347,2.111215827065481,0.5449397862057463,0.9275792525752667,0.07242074742473326,1,4,5,0,5,5,
0,0,10,RL_adaptive,1.5662760408597347,1.373400766945016,0.19287527391471881,0.9907285778006205,0.009271422199379487,3,2,5,0,5,5,0.9907285778006205
0,0,25,Z_only,1.5662760408597347,1.4505064444001083,0.11576959645962637,0.9966530907472576,0.0033469092527423916,14,11,0,0,25,0,
0,0,25,ZX_split,1.5662760408597347,1.4056476493802699,0.16062839147946484,0.9935634871312778,0.006436512868722155,7,5,13,0,12,13,
0,0,25,RL_adaptive,1.5662760408597347,1.6373644905707203,0.0710884497109856,0.998737140042853,0.0012628599571470334,7,8,10,0,15,10,0.998737140042853
0,0,50,Z_only,1.5662760408597347,1.4907107467612375,0.07556529409849722,0.9985731507318013,0.0014268492681986933,27,23,0,0,50,0,
0,0,50,ZX_split,1.5662760408597347,1.5308176396716064,0.035458401188128263,0.9996857083782236,0.0003142916217764302,13,12,25,0,25,25,
0,0,50,RL_adaptive,1.5662760408597347,1.4288992721907328,0.13737676866900195,0.9952893213286801,0.004710678671319912,16,12,22,0,28,22,0.9952893213286801
0,0,100,Z_only,1.5662760408597347,1.792610797291691,0.22633475643195622,0.9872477230856772,0.012752276914322791,39,61,0,0,100,0,
0,0,100,ZX_split,1.5662760408597347,1.5308176396716064,0.035458401188128263,0.9996857083782236,0.0003142916217764302,26,24,50,0,50,50,
0,0,100,RL_adaptive,1.5662760408597347,1.7454685258031364,0.17919248494340168,0.9919939705379343,0.008006029462065745,28,40,32,0,68,32,0.9919939705379343
0,0,250,Z_only,1.5662760408597347,1.538790862943446,0.027485177916288794,0.9998111531376372,0.00018884686236275705,129,121,0,0,250,0,
0,0,250,ZX_split,1.5662760408597347,1.5787961561347832,0.012520115275048482,0.9999608121902803,3.918780971967628e-05,62,63,125,0,125,125,
0,0,250,RL_adaptive,1.5662760408597347,1.460139105621001,0.1061369352387338,0.9971863805296863,0.0028136194703136663,70,56,124,0,126,124,0.9971863805296863
0,0,500,Z_only,1.5662760408597347,1.5827966148135606,0.01652057395382589,0.9999317692109291,6.823078907092217e-05,247,253,0,0,500,0,
0,0,500,ZX_split,1.5662760408597347,1.5388072427555815,0.027468798104153258,0.9998113781432731,0.00018862185672685605,129,121,250,0,250,250,
0,0,500,RL_adaptive,1.5662760408597347,1.5245659450465545,0.04171009581318019,0.9995651300287355,0.00043486997126451765,147,134,219,0,281,219,0.9995651300287355
0,1,10,Z_only,1.5662760408597347,1.5707963267948966,0.00452028593516185,0.9999948917624643,5.108237535744742e-06,5,5,0,0,10,0,
0,1,10,ZX_split,1.5662760408597347,1.373400766945016,0.19287527391471881,0.9907285778006205,0.009271422199379487,3,2,5,0,5,5,
0,1,10,RL_adaptive,1.5662760408597347,2.111215827065481,0.5449397862057463,0.9275792525752667,0.07242074742473326,1,4,5,0,5,5,0.9275792525752667
0,1,25,Z_only,1.5662760408597347,1.2870022175865687,0.27927382327316597,0.9806279339677554,0.019372066032244617,16,9,0,0,25,0,
0,1,25,ZX_split,1.5662760408597347,2.0344439357957027,0.468167894935968,0.946198263332692,0.05380173666730803,3,9,13,0,12,13,
0,1,25,RL_adaptive,1.5662760408597347,1.7681918866447774,0.20191584578504274,0.9898420798122709,0.010157920187729097,6,9,10,0,15,10,0.9898420798122709
0,1,50,Z_only,1.5662760408597347,1.6910862091896848,0.12481016832995007,0.9961106582822948,0.0038893417177051637,22,28,0,0,50,0,
0,1,50,ZX_split,1.5662760408597347,1.451367400776558,0.1149086400831767,0.9967026317081787,0.0032973682918212566,14,11,25,0,25,25,
0,1,50,RL_adaptive,1.5662760408597347,1.1659045405098132,0.4003715003499215,0.960458130698405,0.03954186930159498,20,8,22,0,28,22,0.960458130698405
0,1,100,Z_only,1.5662760408597347,1.590797660368287,0.02452161950855225,0.9998496800767995,0.00015031992320047038,49,51,0,0,100,0,
0,1,100,ZX_split,1.5662760408597347,1.6107750139181867,0.04449897305845196,0.9995050420318793,0.0004949579681207128,24,26,50,0,50,50,
0,1,100,RL_adaptive,1.5662760408597347,1.716808584506172,0.1505325436464373,0.9943456777013661,0.00565432229863394,29,39,32,0,68,32,0.9943456777013661
0,1,250,Z_only,1.5662760408597347,1.5307856524409076,0.035490388418827123,0.9996851411333892,0.00031485886661075657,130,120,0,0,250,0,
0,1,250,ZX_split,1.5662760408597347,1.690225252813235,0.1239492119535004,0.9961640630772736,0.003835936922726435,55,70,125,0,125,125,
0,1,250,RL_adaptive,1.5662760408597347,1.4758446204521403,0.09043142040759444,0.9979569324438659,0.0020430675561341483,69,57,124,0,126,124,0.9979569324438659
0,1,500,Z_only,1.5662760408597347,1.5427926668368497,0.02348337402288503,0.9998621391217986,0.00013786087820144566,257,243,0,0,500,0,
0,1,500,ZX_split,1.5662760408597347,1.6107750139181867,0.04449897305845196,0.9995050420318793,0.0004949579681207128,120,130,250,0,250,250,
0,1,500,RL_adaptive,1.5662760408597347,1.5174661603547097,0.048809880505024994,0.999404517128775,0.0005954828712250171,148,133,219,0,281,219,0.999404517128775
0,2,10,Z_only,1.5662760408597347,1.7721542475852272,0.2058782067254925,0.9894409164723212,0.010559083527678759,4,6,0,0,10,0,
0,2,10,ZX_split,1.5662760408597347,2.111215827065481,0.5449397862057463,0.9275792525752667,0.07242074742473326,1,4,5,0,5,5,
