target_id,seed,strategy,N,true_theta,theta_hat,theta_error,fidelity,infidelity
0,0,Z_only,10,4.287343201487349,1.9823131728623844,2.305030028624965,0.16499075237194616,0.8350092476280538
0,0,ZX_split,10,4.287343201487349,4.514993420534809,0.22765021904745986,0.9870997018604494,0.012900298139550626
0,0,Z_only,25,4.287343201487349,2.4341094418104503,1.853233759676899,0.3606513332767976,0.6393486667232025
0,0,ZX_split,25,4.287343201487349,4.547240302970063,0.2598971014827134,0.9832082131129802,0.016791786887019766
0,0,Z_only,50,4.287343201487349,2.2142974355881813,2.073045765899168,0.25930080373452996,0.7406991962654701
0,0,ZX_split,50,4.287343201487349,4.229875685362213,0.05746751612513634,0.9991745983435906,0.0008254016564094302
0,0,Z_only,100,4.287343201487349,2.0943951023931957,2.1929480990941537,0.2086074524140188,0.7913925475859812
0,0,ZX_split,100,4.287343201487349,4.083592693969257,0.20375050751809276,0.9896572879094392,0.010342712090560813
0,0,Z_only,250,4.287343201487349,2.0533017256702917,2.2340414758170577,0.1921613691850872,0.8078386308149128
0,0,ZX_split,250,4.287343201487349,4.311854464998904,0.024511263511554304,0.9998498070101806,0.00015019298981944207
0,0,Z_only,500,4.287343201487349,1.9866817090492803,2.300661492438069,0.16661542308460434,0.8333845769153957
0,0,ZX_split,500,4.287343201487349,4.2308861262443305,0.056457075243018906,0.9992033612980842,0.0007966387019158194
0,0,Z_only,1000,4.287343201487349,1.9932503889816524,2.294092812505697,0.16907029918853192,0.8309297008114681
0,0,ZX_split,1000,4.287343201487349,4.263000654426502,0.024342547060847153,0.9998518674156464,0.00014813258435364407
0,1,Z_only,10,4.287343201487349,2.2142974355881813,2.073045765899168,0.25930080373452996,0.7406991962654701
0,1,ZX_split,10,4.287343201487349,3.9269908169872414,0.360352384500108,0.9678863147967469,0.032113685203253084
0,1,Z_only,25,4.287343201487349,2.02639500019072,2.2609482012966295,0.18167284625769065,0.8183271537423094
0,1,ZX_split,25,4.287343201487349,4.3371181575287325,0.049774956041383156,0.9993807413071139,0.0006192586928861488
0,1,Z_only,50,4.287343201487349,1.9390642202315367,2.3482789812558127,0.14925621114137344,0.8507437888586266
0,1,ZX_split,50,4.287343201487349,4.2328696883920935,0.05447351309525583,0.9992583425172654,0.0007416574827345812
0,1,Z_only,100,4.287343201487349,1.8545904360032244,2.432752765484125,0.12044121719623847,0.8795587828037615
0,1,ZX_split,100,4.287343201487349,4.339401258584629,0.05205805709727951,0.9993226426657409,0.0006773573342591099
0,1,Z_only,250,4.287343201487349,2.0533017256702917,2.2340414758170577,0.1921613691850872,0.8078386308149128
0,1,ZX_split,250,4.287343201487349,4.237589417358269,0.049753784129080714,0.9993812678931427,0.000618732106857256
0,1,Z_only,500,4.287343201487349,2.062354336982436,2.224988864504913,0.19574065574078917,0.8042593442592109
0,1,ZX_split,500,4.287343201487349,4.299058575845361,0.011715374358011843,0.9999656878933605,3.431210663951134e-05
0,1,Z_only,1000,4.287343201487349,1.9498053474908474,2.337537853996502,0.1531038726383805,0.8468961273616196
0,1,ZX_split,1000,4.287343201487349,4.2974393014008,0.010096099913450729,0.9999745174080917,2.548259190826574e-05
