target_id,N,plane,inactive_fraction_q1,inactive_fraction_q2,inactive_fraction_mean
23,100,XZ,0.15,0.66,0.405
23,250,XZ,0.096,0.132,0.114
23,500,XZ,0.104,0.124,0.114
24,10,YZ,0.4,0.3,0.35
24,25,YZ,0.28,0.24,0.26
24,50,YZ,0.68,0.24,0.46
24,100,YZ,0.14,0.18,0.16
24,250,YZ,0.656,0.108,0.382
24,500,YZ,0.628,0.104,0.366
25,10,YZ,0.4,0.3,0.35
25,25,YZ,0.2,0.2,0.2
25,50,YZ,0.74,0.16,0.45
25,100,YZ,0.18,0.16,0.17
25,250,YZ,0.712,0.104,0.408
25,500,YZ,0.65,0.074,0.362
26,10,YZ,0.5,0.4,0.45
26,25,YZ,0.24,0.2,0.22
26,50,YZ,0.64,0.2,0.42
26,100,YZ,0.19,0.18,0.185
26,250,YZ,0.692,0.16,0.426
26,500,YZ,0.66,0.074,0.367
27,10,XY,0.3,0.4,0.35
27,25,XY,0.52,0.2,0.36
27,50,XY,0.18,0.16,0.17
27,100,XY,0.71,0.17,0.44
27,250,XY,0.108,0.608,0.358
27,500,XY,0.118,0.656,0.387
28,10,XY,0.3,0.3,0.3
28,25,XY,0.52,0.2,0.36
28,50,XY,0.2,0.18,0.19
28,100,XY,0.7,0.18,0.44
28,250,XY,0.136,0.588,0.362
28,500,XY,0.1,0.624,0.362
29,10,YZ,0.4,0.3,0.35
29,25,YZ,0.2,0.2,0.2
29,50,YZ,0.68,0.16,0.42
29,100,YZ,0.18,0.16,0.17
29,250,YZ,0.652,0.128,0.39
29,500,YZ,0.684,0.094,0.389
30,10,XY,0.3,0.4,0.35
30,25,XY,0.48,0.2,0.34
30,50,XY,0.14,0.16,0.15
30,100,XY,0.68,0.2,0.44
30,250,XY,0.104,0.636,0.37
30,500,XY,0.108,0.692,0.4
31,10,XZ,0.4,0.3,0.35
31,25,XZ,0.28,0.56,0.42
31,50,XZ,0.16,0.6,0.38
31,100,XZ,0.16,0.66,0.41
31,250,XZ,0.008,0.068,0.038
31,500,XZ,0.106,0.144,0.125
32,10,XY,0.4,0.3,0.35
32,25,XY,0.44,0.16,0.3
32,50,XY,0.18,0.16,0.17
32,100,XY,0.63,0.21,0.42
32,250,XY,0.16,0.624,0.392
32,500,XY,0.092,0.64,0.366
33,10,XZ,0.3,0.3,0.3
33,25,XZ,0.24,0.56,0.4
33,50,XZ,0.16,0.6,0.38
33,100,XZ,0.15,0.68,0.415
33,250,XZ,0.008,0.084,0.046
33,500,XZ,0.1,0.166,0.133
34,10,YZ,0.3,0.3,0.3
34,25,YZ,0.24,0.24,0.24
34,50,YZ,0.68,0.2,0.44
34,100,YZ,0.17,0.15,0.16
34,250,YZ,0.616,0.156,0.386
34,500,YZ,0.678,0.086,0.382
35,10,XZ,0.3,0.3,0.3
35,25,XZ,0.24,0.56,0.4
35,50,XZ,0.14,0.62,0.38
35,100,XZ,0.18,0.61,0.395
35,250,XZ,0.12,0.112,0.116
35,500,XZ,0.004,0.09,0.047
36,10,YZ,0.4,0.3,0.35
36,25,YZ,0.24,0.24,0.24
36,50,YZ,0.68,0.2,0.44
36,100,YZ,0.15,0.17,0.16
36,250,YZ,0.64,0.12,0.38
36,500,YZ,0.678,0.094,0.386
37,10,XZ,0.3,0.4,0.35
37,25,XZ,0.24,0.56,0.4
37,50,XZ,0.14,0.54,0.34
37,100,XZ,0.14,0.66,0.4
37,250,XZ,0.084,0.12,0.102
37,500,XZ,0.106,0.118,0.112
38,10,XZ,0.3,0.3,0.3
38,25,XZ,0.2,0.64,0.42
38,50,XZ,0.16,0.54,0.35
38,100,XZ,0.14,0.66,0.4
38,250,XZ,0.088,0.112,0.1
38,500,XZ,0.1,0.138,0.119
39,10,XZ,0.3,0.3,0.3
39,25,XZ,0.24,0.56,0.4
39,50,XZ,0.16,0.6,0.38
39,100,XZ,0.15,0.67,0.41
39,250,XZ,0.112,0.124,0.118
39,500,XZ,0.104,0.144,0.124
40,10,XY,0.4,0.3,0.35
40,25,XY,0.48,0.2,0.34
40,50,XY,0.18,0.18,0.18
40,100,XY,0.68,0.18,0.43
40,250,XY,0.136,0.576,0.356
40,500,XY,0.106,0.648,0.377
41,10,XY,0.4,0.3,0.35
41,25,XY,0.48,0.16,0.32
41,50,XY,0.18,0.18,0.18
41,100,XY,0.65,0.19,0.42
41,250,XY,0.164,0.592,0.378
41,500,XY,0.088,0.64,0.364
42,10,YZ,0.4,0.3,0.35
42,25,YZ,0.28,0.28,0.28
42,50,YZ,0.68,0.2,0.44
42,100,YZ,0.17,0.16,0.165
42,250,YZ,0.612,0.136,0.374
42,500,YZ,0.712,0.004,0.358
43,10,YZ,0.4,0.3,0.35
43,25,YZ,0.16,0.2,0.18
43,50,YZ,0.68,0.2,0.44
43,100,YZ,0.17,0.17,0.17
43,250,YZ,0.656,0.112,0.384
43,500,YZ,0.644,0.102,0.373
44,10,YZ,0.3,0.4,0.35
44,25,YZ,0.2,0.24,0.22
44,50,YZ,0.68,0.2,0.44
44,100,YZ,0.16,0.15,0.155
44,250,YZ,0.652,0.108,0.38
44,500,YZ,0.642,0.098,0.37
45,10,XZ,0.4,0.3,0.35
45,25,XZ,0.28,0.56,0.42
45,50,XZ,0.14,0.6,0.37
45,100,XZ,0.16,0.65,0.405
45,250,XZ,0.1,0.12,0.11
45,500,XZ,0.088,0.136,0.112
46,10,YZ,0.4,0.4,0.4
46,25,YZ,0.24,0.24,0.24
46,50,YZ,0.68,0.2,0.44
46,100,YZ,0.15,0.18,0.165
46,250,YZ,0.696,0.124,0.41
46,500,YZ,0.698,0.004,0.351
47,10,XZ,0.3,0.3,0.3
47,25,XZ,0.28,0.52,0.4
47,50,XZ,0.16,0.56,0.36
47,100,XZ,0.14,0.69,0.415
47,250,XZ,0.008,0.06,0.034
47,500,XZ,0.122,0.142,0.132
48,10,XY,0.3,0.3,0.3
48,25,XY,0.48,0.24,0.36
48,50,XY,0.16,0.18,0.17
48,100,XY,0.72,0.17,0.445
48,250,XY,0.144,0.568,0.356
48,500,XY,0.096,0.566,0.331
49,10,YZ,0.3,0.4,0.35
49,25,YZ,0.2,0.2,0.2
49,50,YZ,0.74,0.18,0.46
49,100,YZ,0.19,0.17,0.18
49,250,YZ,0.724,0.096,0.41
49,500,YZ,0.674,0.078,0.376
50,10,YZ,0.4,0.3,0.35
50,25,YZ,0.2,0.16,0.18
50,50,YZ,0.68,0.2,0.44
50,100,YZ,0.17,0.15,0.16
50,250,YZ,0.668,0.176,0.422
50,500,YZ,0.698,0.004,0.351
51,10,XY,0.3,0.3,0.3
51,25,XY,0.48,0.24,0.36
51,50,XY,0.14,0.12,0.13
51,100,XY,0.68,0.19,0.435
51,250,XY,0.144,0.584,0.364
51,500,XY,0.098,0.618,0.358
52,10,XZ,0.2,0.4,0.3
52,25,XZ,0.28,0.64,0.46
52,50,XZ,0.18,0.56,0.37
52,100,XZ,0.16,0.66,0.41
52,250,XZ,0.116,0.128,0.122
52,500,XZ,0.098,0.156,0.127
53,10,YZ,0.3,0.4,0.35
53,25,YZ,0.24,0.24,0.24
53,50,YZ,0.68,0.22,0.45
53,100,YZ,0.13,0.16,0.145
53,250,YZ,0.712,0.136,0.424
53,500,YZ,0.66,0.078,0.369
54,10,YZ,0.4,0.4,0.4
54,25,YZ,0.24,0.2,0.22
54,50,YZ,0.66,0.22,0.44
54,100,YZ,0.14,0.18,0.16
54,250,YZ,0.692,0.128,0.41
54,500,YZ,0.672,0.084,0.378
55,10,YZ,0.4,0.4,0.4
55,25,YZ,0.2,0.2,0.2
55,50,YZ,0.7,0.18,0.44
55,100,YZ,0.17,0.16,0.165
55,250,YZ,0.728,0.1,0.414
55,500,YZ,0.636,0.084,0.36
56,10,XY,0.3,0.3,0.3
56,25,XY,0.52,0.16,0.34
56,50,XY,0.18,0.18,0.18
56,100,XY,0.66,0.19,0.425
56,250,XY,0.148,0.624,0.386
56,500,XY,0.084,0.646,0.365
57,10,XY,0.4,0.3,0.35
57,25,XY,0.52,0.24,0.38
57,50,XY,0.18,0.18,0.18
57,100,XY,0.69,0.18,0.435
57,250,XY,0.148,0.6,0.374
57,500,XY,0.1,0.644,0.372
58,10,XZ,0.3,0.3,0.3
58,25,XZ,0.28,0.6,0.44
58,50,XZ,0.16,0.56,0.36
58,100,XZ,0.17,0.64,0.405
58,250,XZ,0.12,0.108,0.114
58,500,XZ,0.078,0.144,0.111
59,10,XY,0.3,0.3,0.3
59,25,XY,0.52,0.2,0.36
59,50,XY,0.18,0.18,0.18
59,100,XY,0.72,0.17,0.445
59,250,XY,0.14,0.608,0.374
59,500,XY,0.094,0.63,0.362
60,10,XY,0.4,0.3,0.35
60,25,XY,0.52,0.28,0.4
60,50,XY,0.14,0.14,0.14
60,100,XY,0.68,0.18,0.43
60,250,XY,0.148,0.628,0.388
60,500,XY,0.082,0.56,0.321
61,10,YZ,0.3,0.4,0.35
61,25,YZ,0.16,0.16,0.16
61,50,YZ,0.66,0.2,0.43
61,100,YZ,0.18,0.16,0.17
61,250,YZ,0.712,0.148,0.43
61,500,YZ,0.67,0.082,0.376
62,10,YZ,0.3,0.3,0.3
62,25,YZ,0.2,0.2,0.2
62,50,YZ,0.7,0.18,0.44
62,100,YZ,0.19,0.17,0.18
62,250,YZ,0.684,0.156,0.42
62,500,YZ,0.69,0.004,0.347
63,10,XZ,0.3,0.5,0.4
63,25,XZ,0.2,0.6,0.4
63,50,XZ,0.16,0.58,0.37
63,100,XZ,0.14,0.66,0.4
63,250,XZ,0.12,0.136,0.128
63,500,XZ,0.104,0.134,0.119
64,10,XZ,0.4,0.3,0.35
64,25,XZ,0.2,0.64,0.42
64,50,XZ,0.16,0.6,0.38
64,100,XZ,0.15,0.65,0.4
64,250,XZ,0.108,0.132,0.12
64,500,XZ,0.096,0.132,0.114
65,10,XY,0.4,0.3,0.35
65,25,XY,0.52,0.16,0.34
65,50,XY,0.16,0.18,0.17
65,100,XY,0.69,0.17,0.43
65,250,XY,0.14,0.588,0.364
65,500,XY,0.098,0.654,0.376
66,10,YZ,0.4,0.3,0.35
66,25,YZ,0.24,0.24,0.24
66,50,YZ,0.68,0.2,0.44
66,100,YZ,0.13,0.18,0.155
66,250,YZ,0.712,0.128,0.42
66,500,YZ,0.67,0.08,0.375
67,10,XY,0.3,0.3,0.3
67,25,XY,0.56,0.2,0.38
67,50,XY,0.18,0.16,0.17
67,100,XY,0.72,0.16,0.44
67,250,XY,0.104,0.608,0.356
67,500,XY,0.104,0.662,0.383
68,10,YZ,0.4,0.3,0.35
68,25,YZ,0.2,0.28,0.24
68,50,YZ,0.72,0.16,0.44
68,100,YZ,0.18,0.17,0.175
68,250,YZ,0.708,0.088,0.398
68,500,YZ,0.666,0.004,0.335
69,10,XY,0.3,0.3,0.3
69,25,XY,0.48,0.16,0.32
69,50,XY,0.18,0.18,0.18
69,100,XY,0.69,0.19,0.44
69,250,XY,0.164,0.6,0.382
69,500,XY,0.09,0.65,0.37
70,10,YZ,0.3,0.4,0.35
70,25,YZ,0.24,0.2,0.22
70,50,YZ,0.68,0.18,0.43
70,100,YZ,0.18,0.16,0.17
70,250,YZ,0.664,0.18,0.422
70,500,YZ,0.692,0.004,0.348
71,10,XZ,0.3,0.4,0.35
71,25,XZ,0.2,0.56,0.38
71,50,XZ,0.16,0.56,0.36
71,100,XZ,0.15,0.67,0.41
71,250,XZ,0.008,0.052,0.03
71,500,XZ,0.112,0.136,0.124
72,10,YZ,0.5,0.4,0.45
72,25,YZ,0.16,0.2,0.18
72,50,YZ,0.66,0.2,0.43
72,100,YZ,0.16,0.17,0.165
72,250,YZ,0.672,0.148,0.41
72,500,YZ,0.646,0.086,0.366
73,10,XY,0.3,0.3,0.3
73,25,XY,0.44,0.2,0.32
73,50,XY,0.16,0.14,0.15
73,100,XY,0.67,0.2,0.435
73,250,XY,0.144,0.656,0.4
73,500,XY,0.096,0.628,0.362
74,10,XZ,0.3,0.4,0.35
74,25,XZ,0.32,0.52,0.42
74,50,XZ,0.18,0.6,0.39
74,100,XZ,0.16,0.66,0.41
74,250,XZ,0.12,0.124,0.122
74,500,XZ,0.092,0.17,0.131
75,10,YZ,0.4,0.3,0.35
75,25,YZ,0.2,0.16,0.18
75,50,YZ,0.66,0.2,0.43
