target_id,N,plane,inactive_fraction_q1,inactive_fraction_q2,inactive_fraction_mean
360,10,XY,0.3,0.4,0.35
360,25,XY,0.48,0.2,0.34
360,50,XY,0.18,0.18,0.18
360,100,XY,0.69,0.18,0.435
360,250,XY,0.108,0.588,0.348
360,500,XY,0.126,0.636,0.381
361,10,YZ,0.4,0.3,0.35
361,25,YZ,0.24,0.24,0.24
361,50,YZ,0.66,0.22,0.44
361,100,YZ,0.13,0.16,0.145
361,250,YZ,0.688,0.156,0.422
361,500,YZ,0.676,0.086,0.381
362,10,XZ,0.3,0.3,0.3
362,25,XZ,0.24,0.56,0.4
362,50,XZ,0.14,0.56,0.35
362,100,XZ,0.16,0.63,0.395
362,250,XZ,0.1,0.108,0.104
362,500,XZ,0.086,0.13,0.108
363,10,XZ,0.3,0.3,0.3
363,25,XZ,0.24,0.52,0.38
363,50,XZ,0.16,0.56,0.36
363,100,XZ,0.17,0.62,0.395
363,250,XZ,0.116,0.108,0.112
363,500,XZ,0.008,0.1,0.054
364,10,XZ,0.3,0.3,0.3
364,25,XZ,0.28,0.6,0.44
364,50,XZ,0.14,0.54,0.34
364,100,XZ,0.16,0.65,0.405
364,250,XZ,0.12,0.128,0.124
364,500,XZ,0.094,0.162,0.128
365,10,XY,0.3,0.3,0.3
365,25,XY,0.52,0.2,0.36
365,50,XY,0.18,0.2,0.19
365,100,XY,0.7,0.18,0.44
365,250,XY,0.132,0.576,0.354
365,500,XY,0.102,0.586,0.344
366,10,XZ,0.3,0.4,0.35
366,25,XZ,0.24,0.6,0.42
366,50,XZ,0.18,0.6,0.39
366,100,XZ,0.16,0.64,0.4
366,250,XZ,0.112,0.112,0.112
366,500,XZ,0.082,0.15,0.116
367,10,XZ,0.3,0.3,0.3
367,25,XZ,0.24,0.56,0.4
367,50,XZ,0.16,0.58,0.37
367,100,XZ,0.13,0.66,0.395
367,250,XZ,0.116,0.12,0.118
367,500,XZ,0.132,0.004,0.068
368,10,XZ,0.3,0.3,0.3
368,25,XZ,0.32,0.52,0.42
368,50,XZ,0.14,0.56,0.35
368,100,XZ,0.13,0.68,0.405
368,250,XZ,0.008,0.096,0.052
368,500,XZ,0.004,0.106,0.055
369,10,XZ,0.3,0.3,0.3
369,25,XZ,0.2,0.64,0.42
369,50,XZ,0.16,0.56,0.36
369,100,XZ,0.14,0.69,0.415
369,250,XZ,0.008,0.104,0.056
369,500,XZ,0.094,0.156,0.125
370,10,XY,0.3,0.4,0.35
370,25,XY,0.52,0.24,0.38
370,50,XY,0.18,0.18,0.18
370,100,XY,0.7,0.19,0.445
370,250,XY,0.108,0.588,0.348
370,500,XY,0.11,0.632,0.371
371,10,YZ,0.4,0.3,0.35
371,25,YZ,0.2,0.2,0.2
371,50,YZ,0.68,0.22,0.45
371,100,YZ,0.17,0.17,0.17
371,250,YZ,0.648,0.136,0.392
371,500,YZ,0.682,0.086,0.384
372,10,XY,0.3,0.3,0.3
372,25,XY,0.44,0.16,0.3
372,50,XY,0.16,0.18,0.17
372,100,XY,0.66,0.2,0.43
372,250,XY,0.124,0.664,0.394
372,500,XY,0.1,0.664,0.382
373,10,YZ,0.4,0.3,0.35
373,25,YZ,0.2,0.2,0.2
373,50,YZ,0.68,0.18,0.43
373,100,YZ,0.18,0.17,0.175
373,250,YZ,0.652,0.14,0.396
373,500,YZ,0.7,0.088,0.394
374,10,YZ,0.3,0.4,0.35
374,25,YZ,0.28,0.28,0.28
374,50,YZ,0.68,0.18,0.43
374,100,YZ,0.16,0.14,0.15
374,250,YZ,0.7,0.14,0.42
374,500,YZ,0.662,0.076,0.369
375,10,XZ,0.4,0.2,0.3
375,25,XZ,0.28,0.6,0.44
375,50,XZ,0.16,0.56,0.36
375,100,XZ,0.16,0.64,0.4
375,250,XZ,0.1,0.104,0.102
375,500,XZ,0.098,0.134,0.116
376,10,XY,0.3,0.3,0.3
376,25,XY,0.52,0.16,0.34
376,50,XY,0.16,0.16,0.16
376,100,XY,0.67,0.2,0.435
376,250,XY,0.1,0.62,0.36
376,500,XY,0.124,0.66,0.392
377,10,XZ,0.3,0.3,0.3
377,25,XZ,0.28,0.56,0.42
377,50,XZ,0.16,0.58,0.37
377,100,XZ,0.14,0.7,0.42
377,250,XZ,0.108,0.12,0.114
377,500,XZ,0.096,0.158,0.127
378,10,XZ,0.3,0.3,0.3
378,25,XZ,0.24,0.52,0.38
378,50,XZ,0.16,0.6,0.38
378,100,XZ,0.19,0.62,0.405
378,250,XZ,0.12,0.12,0.12
378,500,XZ,0.088,0.156,0.122
379,10,XY,0.3,0.4,0.35
379,25,XY,0.52,0.24,0.38
379,50,XY,0.16,0.16,0.16
379,100,XY,0.69,0.2,0.445
379,250,XY,0.108,0.604,0.356
379,500,XY,0.112,0.686,0.399
380,10,XY,0.3,0.3,0.3
380,25,XY,0.48,0.16,0.32
380,50,XY,0.14,0.14,0.14
380,100,XY,0.67,0.2,0.435
380,250,XY,0.12,0.692,0.406
380,500,XY,0.1,0.622,0.361
381,10,XZ,0.3,0.3,0.3
381,25,XZ,0.32,0.52,0.42
381,50,XZ,0.12,0.58,0.35
381,100,XZ,0.14,0.67,0.405
381,250,XZ,0.008,0.104,0.056
381,500,XZ,0.1,0.154,0.127
382,10,XY,0.4,0.3,0.35
382,25,XY,0.48,0.24,0.36
382,50,XY,0.16,0.2,0.18
382,100,XY,0.66,0.2,0.43
382,250,XY,0.152,0.636,0.394
382,500,XY,0.092,0.634,0.363
383,10,XY,0.3,0.3,0.3
383,25,XY,0.52,0.32,0.42
383,50,XY,0.16,0.2,0.18
383,100,XY,0.7,0.18,0.44
383,250,XY,0.12,0.636,0.378
383,500,XY,0.092,0.622,0.357
384,10,XZ,0.3,0.3,0.3
384,25,XZ,0.28,0.56,0.42
384,50,XZ,0.16,0.54,0.35
384,100,XZ,0.16,0.64,0.4
384,250,XZ,0.12,0.148,0.134
384,500,XZ,0.124,0.134,0.129
385,10,XY,0.3,0.3,0.3
385,25,XY,0.56,0.24,0.4
385,50,XY,0.2,0.2,0.2
385,100,XY,0.67,0.2,0.435
385,250,XY,0.132,0.604,0.368
385,500,XY,0.094,0.646,0.37
386,10,XY,0.4,0.3,0.35
386,25,XY,0.52,0.16,0.34
386,50,XY,0.16,0.16,0.16
386,100,XY,0.67,0.18,0.425
386,250,XY,0.124,0.592,0.358
386,500,XY,0.102,0.666,0.384
387,10,YZ,0.4,0.3,0.35
387,25,YZ,0.2,0.2,0.2
387,50,YZ,0.68,0.22,0.45
387,100,YZ,0.17,0.18,0.175
387,250,YZ,0.676,0.16,0.418
387,500,YZ,0.64,0.102,0.371
388,10,XY,0.2,0.2,0.2
388,25,XY,0.52,0.2,0.36
388,50,XY,0.18,0.16,0.17
388,100,XY,0.65,0.21,0.43
388,250,XY,0.1,0.62,0.36
388,500,XY,0.122,0.656,0.389
389,10,XZ,0.3,0.3,0.3
389,25,XZ,0.28,0.56,0.42
389,50,XZ,0.16,0.58,0.37
389,100,XZ,0.16,0.62,0.39
389,250,XZ,0.128,0.12,0.124
389,500,XZ,0.004,0.108,0.056
390,10,YZ,0.4,0.4,0.4
390,25,YZ,0.28,0.24,0.26
390,50,YZ,0.7,0.2,0.45
390,100,YZ,0.16,0.15,0.155
390,250,YZ,0.692,0.124,0.408
390,500,YZ,0.614,0.108,0.361
391,10,YZ,0.3,0.4,0.35
391,25,YZ,0.2,0.2,0.2
391,50,YZ,0.68,0.2,0.44
391,100,YZ,0.2,0.17,0.185
391,250,YZ,0.724,0.096,0.41
391,500,YZ,0.692,0.086,0.389
392,10,YZ,0.4,0.4,0.4
392,25,YZ,0.2,0.2,0.2
392,50,YZ,0.68,0.2,0.44
392,100,YZ,0.17,0.18,0.175
392,250,YZ,0.664,0.18,0.422
392,500,YZ,0.728,0.006,0.367
393,10,XY,0.3,0.3,0.3
393,25,XY,0.48,0.12,0.3
393,50,XY,0.18,0.18,0.18
393,100,XY,0.66,0.2,0.43
393,250,XY,0.148,0.624,0.386
393,500,XY,0.092,0.634,0.363
394,10,XZ,0.4,0.3,0.35
394,25,XZ,0.28,0.48,0.38
394,50,XZ,0.14,0.58,0.36
394,100,XZ,0.15,0.66,0.405
394,250,XZ,0.008,0.076,0.042
394,500,XZ,0.106,0.14,0.123
395,10,YZ,0.4,0.3,0.35
395,25,YZ,0.24,0.24,0.24
395,50,YZ,0.66,0.2,0.43
395,100,YZ,0.17,0.16,0.165
395,250,YZ,0.628,0.152,0.39
395,500,YZ,0.656,0.096,0.376
396,10,XY,0.3,0.3,0.3
396,25,XY,0.48,0.2,0.34
396,50,XY,0.18,0.18,0.18
396,100,XY,0.71,0.17,0.44
396,250,XY,0.148,0.564,0.356
396,500,XY,0.094,0.62,0.357
397,10,YZ,0.3,0.3,0.3
397,25,YZ,0.2,0.2,0.2
397,50,YZ,0.7,0.18,0.44
397,100,YZ,0.19,0.15,0.17
397,250,YZ,0.668,0.12,0.394
397,500,YZ,0.668,0.08,0.374
398,10,XY,0.3,0.3,0.3
398,25,XY,0.52,0.2,0.36
398,50,XY,0.18,0.16,0.17
398,100,XY,0.7,0.18,0.44
398,250,XY,0.164,0.6,0.382
398,500,XY,0.094,0.576,0.335
399,10,XY,0.2,0.2,0.2
399,25,XY,0.52,0.16,0.34
399,50,XY,0.16,0.16,0.16
399,100,XY,0.65,0.2,0.425
399,250,XY,0.124,0.608,0.366
399,500,XY,0.108,0.654,0.381
400,10,XY,0.3,0.3,0.3
400,25,XY,0.52,0.2,0.36
400,50,XY,0.18,0.18,0.18
400,100,XY,0.7,0.18,0.44
400,250,XY,0.108,0.616,0.362
400,500,XY,0.122,0.66,0.391
401,10,YZ,0.3,0.4,0.35
401,25,YZ,0.2,0.2,0.2
401,50,YZ,0.66,0.2,0.43
401,100,YZ,0.16,0.16,0.16
401,250,YZ,0.676,0.128,0.402
401,500,YZ,0.692,0.078,0.385
402,10,XY,0.3,0.3,0.3
402,25,XY,0.48,0.16,0.32
402,50,XY,0.16,0.14,0.15
402,100,XY,0.71,0.18,0.445
402,250,XY,0.132,0.6,0.366
402,500,XY,0.096,0.63,0.363
403,10,YZ,0.4,0.3,0.35
403,25,YZ,0.2,0.2,0.2
403,50,YZ,0.68,0.18,0.43
403,100,YZ,0.18,0.17,0.175
403,250,YZ,0.704,0.128,0.416
403,500,YZ,0.704,0.062,0.383
404,10,XY,0.3,0.3,0.3
404,25,XY,0.52,0.2,0.36
404,50,XY,0.16,0.14,0.15
404,100,XY,0.66,0.2,0.43
404,250,XY,0.14,0.664,0.402
404,500,XY,0.09,0.618,0.354
405,10,XY,0.3,0.3,0.3
405,25,XY,0.52,0.16,0.34
405,50,XY,0.18,0.16,0.17
405,100,XY,0.7,0.17,0.435
405,250,XY,0.128,0.64,0.384
405,500,XY,0.092,0.622,0.357
406,10,XY,0.3,0.3,0.3
406,25,XY,0.48,0.16,0.32
406,50,XY,0.18,0.18,0.18
406,100,XY,0.68,0.18,0.43
406,250,XY,0.144,0.576,0.36
406,500,XY,0.096,0.666,0.381
407,10,XZ,0.4,0.3,0.35
407,25,XZ,0.28,0.52,0.4
407,50,XZ,0.14,0.58,0.36
407,100,XZ,0.12,0.68,0.4
407,250,XZ,0.008,0.06,0.034
407,500,XZ,0.136,0.094,0.115
408,10,YZ,0.4,0.3,0.35
408,25,YZ,0.2,0.24,0.22
408,50,YZ,0.68,0.22,0.45
408,100,YZ,0.15,0.17,0.16
408,250,YZ,0.664,0.112,0.388
408,500,YZ,0.634,0.11,0.372
409,10,XZ,0.3,0.4,0.35
409,25,XZ,0.24,0.6,0.42
409,50,XZ,0.14,0.56,0.35
409,100,XZ,0.14,0.66,0.4
409,250,XZ,0.008,0.072,0.04
409,500,XZ,0.112,0.114,0.113
410,10,XZ,0.3,0.3,0.3
410,25,XZ,0.28,0.52,0.4
410,50,XZ,0.12,0.62,0.37
410,100,XZ,0.14,0.66,0.4
410,250,XZ,0.096,0.12,0.108
410,500,XZ,0.004,0.096,0.05
411,10,YZ,0.3,0.3,0.3
411,25,YZ,0.24,0.24,0.24
411,50,YZ,0.68,0.22,0.45
411,100,YZ,0.16,0.17,0.165
411,250,YZ,0.68,0.104,0.392
411,500,YZ,0.624,0.096,0.36
412,10,XZ,0.3,0.3,0.3
412,25,XZ,0.24,0.6,0.42
412,50,XZ,0.2,0.56,0.38
412,100,XZ,0.15,0.66,0.405
412,250,XZ,0.008,0.084,0.046
412,500,XZ,0.102,0.146,0.124
413,10,YZ,0.3,0.4,0.35
413,25,YZ,0.2,0.16,0.18
413,50,YZ,0.64,0.22,0.43
413,100,YZ,0.19,0.17,0.18
413,250,YZ,0.64,0.128,0.384
413,500,YZ,0.678,0.088,0.383
414,10,YZ,0.3,0.4,0.35
414,25,YZ,0.2,0.24,0.22
414,50,YZ,0.64,0.22,0.43
414,100,YZ,0.16,0.16,0.16
414,250,YZ,0.716,0.092,0.404
414,500,YZ,0.66,0.08,0.37
415,10,XZ,0.3,0.4,0.35
415,25,XZ,0.28,0.56,0.42
415,50,XZ,0.16,0.54,0.35
415,100,XZ,0.12,0.68,0.4
415,250,XZ,0.008,0.076,0.042
415,500,XZ,0.114,0.116,0.115
416,10,XZ,0.4,0.3,0.35
416,25,XZ,0.24,0.56,0.4
416,50,XZ,0.16,0.56,0.36
416,100,XZ,0.13,0.66,0.395
416,250,XZ,0.096,0.124,0.11
416,500,XZ,0.104,0.116,0.11
417,10,XZ,0.3,0.3,0.3
417,25,XZ,0.2,0.6,0.4
417,50,XZ,0.14,0.6,0.37
417,100,XZ,0.17,0.64,0.405
417,250,XZ,0.108,0.128,0.118
417,500,XZ,0.092,0.152,0.122
418,10,XY,0.4,0.3,0.35
418,25,XY,0.44,0.16,0.3
418,50,XY,0.18,0.18,0.18
418,100,XY,0.64,0.21,0.425
418,250,XY,0.156,0.624,0.39
418,500,XY,0.094,0.644,0.369
419,10,XY,0.3,0.3,0.3
419,25,XY,0.44,0.2,0.32
419,50,XY,0.16,0.16,0.16
419,100,XY,0.69,0.18,0.435
419,250,XY,0.156,0.62,0.388
419,500,XY,0.09,0.61,0.35
420,10,XZ,0.4,0.3,0.35
420,25,XZ,0.28,0.52,0.4
420,50,XZ,0.14,0.6,0.37
420,100,XZ,0.13,0.68,0.405
420,250,XZ,0.104,0.144,0.124
420,500,XZ,0.134,0.004,0.069
421,10,XY,0.3,0.4,0.35
421,25,XY,0.52,0.2,0.36
421,50,XY,0.18,0.18,0.18
421,100,XY,0.69,0.18,0.435
421,250,XY,0.14,0.584,0.362
421,500,XY,0.098,0.658,0.378
422,10,XY,0.3,0.3,0.3
422,25,XY,0.48,0.2,0.34
422,50,XY,0.18,0.16,0.17
422,100,XY,0.63,0.22,0.425
422,250,XY,0.14,0.68,0.41
422,500,XY,0.088,0.63,0.359
423,10,XZ,0.3,0.3,0.3
423,25,XZ,0.28,0.6,0.44
423,50,XZ,0.12,0.64,0.38
423,100,XZ,0.13,0.67,0.4
423,250,XZ,0.104,0.128,0.116
423,500,XZ,0.108,0.124,0.116
424,10,XY,0.3,0.3,0.3
424,25,XY,0.48,0.24,0.36
424,50,XY,0.14,0.16,0.15
424,100,XY,0.66,0.21,0.435
424,250,XY,0.124,0.604,0.364
424,500,XY,0.116,0.648,0.382
425,10,XZ,0.4,0.3,0.35
425,25,XZ,0.24,0.52,0.38
425,50,XZ,0.16,0.56,0.36
425,100,XZ,0.13,0.67,0.4
425,250,XZ,0.092,0.148,0.12
425,500,XZ,0.128,0.138,0.133
426,10,YZ,0.3,0.4,0.35
426,25,YZ,0.24,0.24,0.24
426,50,YZ,0.68,0.22,0.45
426,100,YZ,0.16,0.17,0.165
426,250,YZ,0.724,0.092,0.408
426,500,YZ,0.64,0.094,0.367
427,10,YZ,0.3,0.3,0.3
427,25,YZ,0.24,0.24,0.24
427,50,YZ,0.72,0.18,0.45
427,100,YZ,0.15,0.15,0.15
427,250,YZ,0.62,0.124,0.372
427,500,YZ,0.642,0.082,0.362
428,10,YZ,0.3,0.3,0.3
428,25,YZ,0.12,0.16,0.14
428,50,YZ,0.66,0.2,0.43
428,100,YZ,0.16,0.16,0.16
428,250,YZ,0.68,0.172,0.426
428,500,YZ,0.642,0.084,0.363
429,10,YZ,0.4,0.4,0.4
429,25,YZ,0.2,0.2,0.2
429,50,YZ,0.7,0.2,0.45
429,100,YZ,0.14,0.15,0.145
429,250,YZ,0.708,0.116,0.412
429,500,YZ,0.652,0.072,0.362
430,10,YZ,0.3,0.3,0.3
430,25,YZ,0.2,0.2,0.2
430,50,YZ,0.68,0.2,0.44
430,100,YZ,0.14,0.15,0.145
430,250,YZ,0.676,0.1,0.388
430,500,YZ,0.65,0.094,0.372
431,10,XZ,0.3,0.3,0.3
431,25,XZ,0.24,0.56,0.4
431,50,XZ,0.14,0.58,0.36
431,100,XZ,0.17,0.62,0.395
431,250,XZ,0.104,0.104,0.104
431,500,XZ,0.004,0.104,0.054
432,10,XZ,0.3,0.3,0.3
432,25,XZ,0.24,0.64,0.44
432,50,XZ,0.14,0.56,0.35
432,100,XZ,0.14,0.65,0.395
432,250,XZ,0.008,0.072,0.04
432,500,XZ,0.092,0.126,0.109
433,10,YZ,0.3,0.4,0.35
433,25,YZ,0.16,0.16,0.16
433,50,YZ,0.68,0.2,0.44
433,100,YZ,0.15,0.16,0.155
433,250,YZ,0.708,0.1,0.404
433,500,YZ,0.68,0.082,0.381
434,10,XY,0.3,0.4,0.35
434,25,XY,0.44,0.16,0.3
434,50,XY,0.18,0.14,0.16
434,100,XY,0.67,0.19,0.43
434,250,XY,0.156,0.632,0.394
434,500,XY,0.092,0.624,0.358
435,10,XZ,0.3,0.4,0.35
435,25,XZ,0.28,0.56,0.42
435,50,XZ,0.16,0.64,0.4
435,100,XZ,0.17,0.62,0.395
435,250,XZ,0.128,0.12,0.124
435,500,XZ,0.078,0.142,0.11
436,10,XZ,0.3,0.4,0.35
436,25,XZ,0.24,0.52,0.38
436,50,XZ,0.12,0.62,0.37
436,100,XZ,0.15,0.67,0.41
436,250,XZ,0.096,0.132,0.114
436,500,XZ,0.1,0.136,0.118
437,10,YZ,0.4,0.4,0.4
437,25,YZ,0.2,0.2,0.2
437,50,YZ,0.7,0.2,0.45
437,100,YZ,0.12,0.18,0.15
437,250,YZ,0.696,0.128,0.412
437,500,YZ,0.624,0.1,0.362
438,10,XY,0.4,0.3,0.35
438,25,XY,0.52,0.24,0.38
438,50,XY,0.16,0.16,0.16
438,100,XY,0.7,0.18,0.44
438,250,XY,0.124,0.608,0.366
438,500,XY,0.106,0.606,0.356
439,10,XY,0.4,0.3,0.35
439,25,XY,0.48,0.2,0.34
439,50,XY,0.18,0.16,0.17
439,100,XY,0.73,0.16,0.445
439,250,XY,0.104,0.612,0.358
439,500,XY,0.114,0.638,0.376
440,10,XY,0.4,0.3,0.35
440,25,XY,0.52,0.2,0.36
440,50,XY,0.18,0.18,0.18
440,100,XY,0.66,0.2,0.43
440,250,XY,0.148,0.636,0.392
440,500,XY,0.098,0.628,0.363
441,10,XZ,0.3,0.3,0.3
441,25,XZ,0.28,0.48,0.38
441,50,XZ,0.14,0.6,0.37
441,100,XZ,0.17,0.62,0.395
441,250,XZ,0.124,0.12,0.122
441,500,XZ,0.084,0.134,0.109
442,10,XY,0.4,0.3,0.35
442,25,XY,0.44,0.16,0.3
442,50,XY,0.16,0.14,0.15
442,100,XY,0.7,0.17,0.435
442,250,XY,0.156,0.62,0.388
442,500,XY,0.086,0.66,0.373
443,10,XY,0.3,0.4,0.35
443,25,XY,0.56,0.24,0.4
443,50,XY,0.16,0.14,0.15
443,100,XY,0.69,0.19,0.44
443,250,XY,0.12,0.592,0.356
443,500,XY,0.114,0.598,0.356
444,10,XZ,0.3,0.3,0.3
444,25,XZ,0.28,0.56,0.42
444,50,XZ,0.14,0.6,0.37
444,100,XZ,0.17,0.64,0.405
444,250,XZ,0.008,0.084,0.046
444,500,XZ,0.114,0.164,0.139
445,10,XZ,0.3,0.3,0.3
445,25,XZ,0.28,0.6,0.44
445,50,XZ,0.14,0.58,0.36
445,100,XZ,0.16,0.66,0.41
445,250,XZ,0.008,0.084,0.046
445,500,XZ,0.112,0.16,0.136
446,10,YZ,0.4,0.4,0.4
446,25,YZ,0.2,0.2,0.2
446,50,YZ,0.7,0.24,0.47
446,100,YZ,0.17,0.17,0.17
446,250,YZ,0.692,0.112,0.402
446,500,YZ,0.62,0.112,0.366
447,10,YZ,0.3,0.4,0.35
447,25,YZ,0.2,0.2,0.2
447,50,YZ,0.64,0.22,0.43
447,100,YZ,0.19,0.18,0.185
447,250,YZ,0.72,0.136,0.428
447,500,YZ,0.666,0.064,0.365
448,10,YZ,0.4,0.4,0.4
448,25,YZ,0.28,0.24,0.26
448,50,YZ,0.66,0.2,0.43
448,100,YZ,0.15,0.18,0.165
448,250,YZ,0.7,0.132,0.416
448,500,YZ,0.632,0.096,0.364
449,10,XZ,0.3,0.4,0.35
449,25,XZ,0.24,0.56,0.4
449,50,XZ,0.16,0.56,0.36
449,100,XZ,0.15,0.64,0.395
449,250,XZ,0.1,0.112,0.106
449,500,XZ,0.004,0.102,0.053
450,10,YZ,0.3,0.4,0.35
450,25,YZ,0.24,0.2,0.22
450,50,YZ,0.74,0.18,0.46
450,100,YZ,0.13,0.17,0.15
450,250,YZ,0.7,0.112,0.406
450,500,YZ,0.628,0.082,0.355
451,10,XY,0.3,0.4,0.35
451,25,XY,0.52,0.2,0.36
451,50,XY,0.16,0.16,0.16
451,100,XY,0.69,0.19,0.44
451,250,XY,0.124,0.628,0.376
451,500,XY,0.104,0.662,0.383
452,10,XY,0.3,0.4,0.35
452,25,XY,0.52,0.28,0.4
452,50,XY,0.16,0.14,0.15
452,100,XY,0.66,0.2,0.43
452,250,XY,0.1,0.624,0.362
452,500,XY,0.122,0.614,0.368
453,10,XZ,0.4,0.4,0.4
453,25,XZ,0.24,0.56,0.4
453,50,XZ,0.16,0.56,0.36
453,100,XZ,0.18,0.61,0.395
453,250,XZ,0.008,0.084,0.046
453,500,XZ,0.086,0.142,0.114
454,10,YZ,0.4,0.4,0.4
454,25,YZ,0.2,0.2,0.2
454,50,YZ,0.64,0.24,0.44
454,100,YZ,0.14,0.15,0.145
454,250,YZ,0.7,0.152,0.426
454,500,YZ,0.654,0.078,0.366
455,10,YZ,0.4,0.3,0.35
455,25,YZ,0.24,0.24,0.24
455,50,YZ,0.66,0.24,0.45
455,100,YZ,0.14,0.18,0.16
455,250,YZ,0.684,0.14,0.412
455,500,YZ,0.682,0.088,0.385
456,10,YZ,0.3,0.3,0.3
456,25,YZ,0.24,0.2,0.22
456,50,YZ,0.66,0.18,0.42
456,100,YZ,0.18,0.15,0.165
456,250,YZ,0.636,0.14,0.388
456,500,YZ,0.684,0.08,0.382
457,10,XY,0.3,0.3,0.3
457,25,XY,0.52,0.2,0.36
457,50,XY,0.2,0.2,0.2
457,100,XY,0.7,0.18,0.44
457,250,XY,0.1,0.616,0.358
457,500,XY,0.116,0.642,0.379
458,10,YZ,0.4,0.3,0.35
458,25,YZ,0.2,0.16,0.18
458,50,YZ,0.66,0.2,0.43
458,100,YZ,0.16,0.16,0.16
458,250,YZ,0.66,0.168,0.414
458,500,YZ,0.658,0.07,0.364
459,10,YZ,0.3,0.3,0.3
459,25,YZ,0.2,0.24,0.22
459,50,YZ,0.66,0.2,0.43
459,100,YZ,0.14,0.16,0.15
459,250,YZ,0.684,0.148,0.416
459,500,YZ,0.662,0.068,0.365
460,10,YZ,0.4,0.4,0.4
460,25,YZ,0.2,0.24,0.22
460,50,YZ,0.7,0.2,0.45
460,100,YZ,0.21,0.17,0.19
460,250,YZ,0.68,0.092,0.386
460,500,YZ,0.646,0.096,0.371
461,10,XZ,0.4,0.3,0.35
461,25,XZ,0.24,0.52,0.38
461,50,XZ,0.14,0.62,0.38
461,100,XZ,0.17,0.66,0.415
461,250,XZ,0.132,0.116,0.124
461,500,XZ,0.088,0.162,0.125
462,10,XZ,0.4,0.3,0.35
462,25,XZ,0.2,0.56,0.38
462,50,XZ,0.18,0.62,0.4
462,100,XZ,0.16,0.66,0.41
462,250,XZ,0.008,0.092,0.05
462,500,XZ,0.004,0.102,0.053
463,10,XZ,0.4,0.3,0.35
463,25,XZ,0.24,0.56,0.4
463,50,XZ,0.14,0.6,0.37
463,100,XZ,0.17,0.62,0.395
463,250,XZ,0.112,0.116,0.114
463,500,XZ,0.004,0.09,0.047
464,10,YZ,0.3,0.4,0.35
464,25,YZ,0.24,0.24,0.24
464,50,YZ,0.68,0.2,0.44
464,100,YZ,0.16,0.15,0.155
464,250,YZ,0.656,0.144,0.4
464,500,YZ,0.688,0.08,0.384
465,10,XY,0.4,0.3,0.35
465,25,XY,0.52,0.2,0.36
465,50,XY,0.16,0.14,0.15
465,100,XY,0.72,0.17,0.445
465,250,XY,0.14,0.596,0.368
465,500,XY,0.09,0.626,0.358
466,10,YZ,0.4,0.4,0.4
466,25,YZ,0.24,0.24,0.24
466,50,YZ,0.7,0.2,0.45
466,100,YZ,0.12,0.18,0.15
466,250,YZ,0.708,0.12,0.414
466,500,YZ,0.696,0.004,0.35
467,10,YZ,0.3,0.3,0.3
467,25,YZ,0.24,0.2,0.22
467,50,YZ,0.7,0.2,0.45
467,100,YZ,0.16,0.14,0.15
467,250,YZ,0.664,0.112,0.388
467,500,YZ,0.62,0.092,0.356
468,10,XZ,0.4,0.3,0.35
468,25,XZ,0.2,0.56,0.38
468,50,XZ,0.16,0.58,0.37
468,100,XZ,0.15,0.67,0.41
468,250,XZ,0.008,0.04,0.024
468,500,XZ,0.094,0.126,0.11
469,10,XZ,0.4,0.3,0.35
469,25,XZ,0.28,0.6,0.44
469,50,XZ,0.16,0.58,0.37
469,100,XZ,0.17,0.64,0.405
469,250,XZ,0.008,0.056,0.032
469,500,XZ,0.098,0.138,0.118
470,10,XY,0.3,0.4,0.35
470,25,XY,0.52,0.24,0.38
470,50,XY,0.18,0.18,0.18
470,100,XY,0.68,0.19,0.435
470,250,XY,0.124,0.596,0.36
470,500,XY,0.11,0.594,0.352
471,10,XZ,0.3,0.3,0.3
471,25,XZ,0.24,0.56,0.4
471,50,XZ,0.14,0.6,0.37
471,100,XZ,0.16,0.64,0.4
471,250,XZ,0.116,0.128,0.122
471,500,XZ,0.104,0.128,0.116
472,10,YZ,0.3,0.4,0.35
472,25,YZ,0.2,0.2,0.2
472,50,YZ,0.68,0.2,0.44
472,100,YZ,0.15,0.17,0.16
472,250,YZ,0.716,0.16,0.438
472,500,YZ,0.676,0.086,0.381
473,10,YZ,0.4,0.3,0.35
473,25,YZ,0.24,0.16,0.2
473,50,YZ,0.7,0.2,0.45
473,100,YZ,0.12,0.18,0.15
473,250,YZ,0.676,0.144,0.41
473,500,YZ,0.678,0.078,0.378
474,10,XY,0.3,0.4,0.35
474,25,XY,0.52,0.2,0.36
474,50,XY,0.18,0.18,0.18
474,100,XY,0.69,0.19,0.44
474,250,XY,0.136,0.588,0.362
474,500,XY,0.096,0.676,0.386
475,10,XY,0.4,0.3,0.35
475,25,XY,0.48,0.16,0.32
475,50,XY,0.18,0.18,0.18
475,100,XY,0.67,0.19,0.43
475,250,XY,0.16,0.616,0.388
475,500,XY,0.088,0.624,0.356
476,10,XZ,0.2,0.2,0.2
476,25,XZ,0.24,0.56,0.4
476,50,XZ,0.14,0.56,0.35
476,100,XZ,0.18,0.63,0.405
476,250,XZ,0.104,0.108,0.106
476,500,XZ,0.082,0.126,0.104
477,10,YZ,0.3,0.3,0.3
477,25,YZ,0.16,0.12,0.14
477,50,YZ,0.64,0.22,0.43
477,100,YZ,0.18,0.17,0.175
477,250,YZ,0.608,0.144,0.376
477,500,YZ,0.682,0.088,0.385
478,10,XZ,0.4,0.3,0.35
