N,F_RL,F_XYZ,F_ORACLE,oracle_gap,rl_gain_over_xyz,oracle_gap_recovered_fraction
10,0.808797096520827,0.8059840605859977,0.9283770416897177,0.12239298110371999,0.002813035934829289,0.022983637700967723
25,0.8978669099105304,0.9111403075162571,0.9723360950491067,0.0611957875328496,-0.013273397605726656,-0.21690051130727847
50,0.9363599651495583,0.9531407500055956,0.9871907464351957,0.03404999642960005,-0.01678078485603729,-0.49282780075270616
100,0.9647669805911516,0.9764536616321675,0.9939365279651695,0.017482866333002,-0.01168668104101589,-0.6684648168335654
250,0.9832917879430655,0.9906731497845578,0.9974842826342966,0.006811132849738777,-0.0073813618414922955,-1.0837201394148974
500,0.9911390396099716,0.9950470638851259,0.9987747326193958,0.0037276687342698844,-0.003908024275154243,-1.0483829314623052
