plane,N,q1_X,q1_Y,q1_Z,q2_X,q2_Y,q2_Z
XY,10,3.645645645645646,3.1516516516516515,3.2027027027027026,3.4279279279279278,3.370870870870871,3.201201201201201
XY,25,5.7792792792792795,6.668168168168168,12.552552552552553,5.525525525525525,14.364864864864865,5.10960960960961
XY,50,33.150150150150154,8.367867867867869,8.481981981981981,12.225225225225225,29.34084084084084,8.433933933933934
XY,100,15.355855855855856,16.23873873873874,68.4054054054054,15.956456456456456,65.37537537537537,18.66816816816817
XY,250,172.506006006006,45.406906906906904,32.087087087087085,53.32282282282282,42.77777777777778,153.89939939939939
XY,500,364.14564564564563,84.92792792792793,50.926426426426424,80.32732732732732,98.78228228228228,320.8903903903904
XZ,10,3.599388379204893,3.175840978593272,3.2247706422018347,3.59480122324159,3.253822629969419,3.1513761467889907
XZ,25,4.990825688073395,6.434250764525994,13.574923547400612,5.287461773700306,14.03211009174312,5.680428134556575
XZ,50,33.37308868501529,7.584097859327217,9.042813455657493,12.232415902140673,29.007645259938837,8.759938837920489
XZ,100,15.004587155963304,15.099388379204893,69.89602446483181,14.827217125382264,65.67278287461774,19.5
XZ,250,193.16666666666666,20.39908256880734,36.43425076452599,49.09327217125382,27.62079510703364,173.28593272171253
XZ,500,359.7599388379205,44.06269113149847,96.17737003058105,81.36850152905198,63.657492354740064,354.97400611620793
YZ,10,3.5588235294117645,3.264705882352941,3.176470588235294,3.4970588235294118,3.302941176470588,3.2
YZ,25,5.351470588235294,6.5058823529411764,13.14264705882353,5.295588235294118,13.954411764705883,5.75
YZ,50,33.64558823529412,8.132352941176471,8.222058823529412,10.364705882352942,31.325,8.310294117647059
YZ,100,16.227941176470587,17.73235294117647,66.03970588235295,16.611764705882354,61.77058823529412,21.61764705882353
YZ,250,169.39705882352942,44.476470588235294,36.12647058823529,32.55,45.92794117647059,171.52205882352942
YZ,500,331.5323529411765,74.63088235294117,93.83676470588236,40.67058823529412,91.47941176470589,367.85
