plane,N,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
XY,10,2.9474474474474475,0.10810810810810811,0.14714714714714713,0.14714714714714713,3.204204204204204,0.29429429429429427,0.1066066066066066,0.11561561561561562,2.9294294294294296
XY,25,4.512012012012012,0.057057057057057055,7.983483483483483,0.23423423423423423,5.414414414414415,0.13063063063063063,0.3633633633633634,0.05405405405405406,6.2507507507507505
XY,50,7.286786786786787,0.2972972972972973,0.8978978978978979,0.6546546546546547,11.232732732732734,21.262762762762762,0.4924924924924925,0.6951951951951952,7.18018018018018
XY,100,13.243243243243244,2.279279279279279,52.88288288288288,2.8273273273273274,10.803303303303304,1.7252252252252251,2.5975975975975976,2.873873873873874,10.767267267267266
XY,250,24.91741741741742,3.524024024024024,3.645645645645646,121.81831831831832,31.924924924924923,18.762762762762762,7.163663663663663,17.873873873873872,20.36936936936937
XY,500,18.693693693693692,22.85735735735736,9.375375375375375,271.17267267267266,50.231231231231234,42.74174174174174,31.024024024024023,7.238738738738738,46.66516516516516
XZ,10,2.970948012232416,0.08409785932721713,0.16972477064220184,0.05963302752293578,3.3577981651376145,0.1819571865443425,0.12079510703363915,0.1529051987767584,2.9021406727828745
XZ,25,4.744648318042813,0.045871559633027525,8.784403669724771,0.14678899082568808,4.678899082568807,0.1651376146788991,0.7889908256880734,0.5626911314984709,5.08256880733945
XZ,50,7.629969418960244,0.4923547400611621,0.9204892966360856,0.7752293577981652,11.128440366972477,21.46941896024465,0.3547400611620795,0.6116207951070336,6.617737003058104
XZ,100,16.123853211009173,2.110091743119266,51.662079510703364,1.8256880733944953,10.674311926605505,2.5045871559633026,1.5504587155963303,2.0428134556574924,11.50611620795107
XZ,250,24.281345565749234,5.545871559633028,6.607033639143731,142.53975535168195,34.415902140672785,16.211009174311926,6.464831804281346,9.131498470948012,4.802752293577981
XZ,500,62.73394495412844,17.63914373088685,15.80428134556575,270.6880733944954,52.29204892966361,36.77981651376147,21.551987767584098,11.437308868501528,11.073394495412844
YZ,10,2.9941176470588236,0.09411764705882353,0.08823529411764706,0.17647058823529413,3.197058823529412,0.18529411764705883,0.029411764705882353,0.20588235294117646,3.0294117647058822
YZ,25,5.216176470588235,0.08823529411764706,7.838235294117647,0.18676470588235294,5.057352941176471,0.10735294117647058,0.34705882352941175,0.15,6.008823529411765
YZ,50,6.677941176470588,0.3573529411764706,1.186764705882353,0.9205882352941176,8.805882352941177,23.919117647058822,0.711764705882353,1.201470588235294,6.219117647058823
YZ,100,17.048529411764704,1.8838235294117647,47.10735294117647,3.098529411764706,12.236764705882353,0.8926470588235295,1.4705882352941178,2.4911764705882353,13.770588235294118
YZ,250,22.44264705882353,6.839705882352941,6.844117647058823,140.2764705882353,13.725,15.395588235294118,8.802941176470588,11.985294117647058,23.688235294117646
YZ,500,62.89558823529412,20.266176470588235,10.675,281.4441176470588,13.277941176470588,36.81029411764706,23.51029411764706,7.126470588235295,43.99411764705882
