N,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
10,2.971,0.0955,0.1345,0.1285,3.252,0.2205,0.085,0.1585,2.9545
25,4.8275,0.064,8.196,0.1895,5.0525,0.134,0.497,0.253,5.7865
50,7.192,0.3815,1.0035,0.7845,10.3735,22.2335,0.522,0.84,6.6695
100,15.479,2.0895,50.52,2.592,11.2485,1.697,1.872,2.472,12.03
250,23.868,5.3125,5.7015,134.87,26.5515,16.7835,7.4925,13.013,16.4075
500,48.1235,20.27,11.9195,274.5065,38.341,38.7755,25.372,8.5735,34.1185
