method,N,drift_level,final_fidelity_mean,final_fidelity_std,final_fidelity_count,tracking_fidelity_mean,tracking_fidelity_std,tracking_fidelity_count,final_fidelity_ci95,tracking_fidelity_ci95
Balanced_random,10,0.0,0.7783002789566271,0.13828393172442385,75,0.6857307201220505,0.14187297078204578,75,0.031296599960632804,0.03210887596572444
Balanced_random,10,0.0025,0.7789141560927538,0.1480735343382375,75,0.6581479135297147,0.14488903397382238,75,0.03351219560473596,0.03279147532482518
Balanced_random,10,0.005,0.7652770683349216,0.14625124600949196,75,0.6616459691375944,0.1420125183264747,75,0.033099772931136154,0.03214045854816204
Balanced_random,10,0.01,0.7533465102809808,0.17543438915705434,75,0.6210246689369832,0.1614768110529379,75,0.039704539987537604,0.03654564268908404
Balanced_random,25,0.0,0.8790106831753709,0.08862315973920971,75,0.7637139430745683,0.10040525578640681,75,0.02005730921169223,0.022723848570883397
Balanced_random,25,0.0025,0.8503810043755343,0.09171976624045954,75,0.7603330050788013,0.0915977430712185,75,0.020758137237744032,0.020730520794777427
Balanced_random,25,0.005,0.8409838937713601,0.13610684360955835,75,0.755049154145408,0.09140636848838607,75,0.030803878536239292,0.020687208649347
Balanced_random,25,0.01,0.8712149247918692,0.08854741819944252,75,0.7588309128776316,0.07817012852965692,75,0.020040167287529845,0.017691565541680547
Balanced_random,50,0.0,0.878047060403805,0.09496369491949563,75,0.8226456130364697,0.06149445310755903,75,0.02149230741140482,0.013917504909684663
Balanced_random,50,0.0025,0.868515270634586,0.09816989966684847,75,0.8298617765836189,0.055463064278786264,75,0.022217939855597616,0.012552473115843996
Balanced_random,50,0.005,0.8903611639636252,0.07852653622443068,75,0.8301924794995511,0.049782276382874815,75,0.017772228196459947,0.011266789782845846
Balanced_random,50,0.01,0.8839515025226141,0.08108091038738667,75,0.8255669754487419,0.055307441929065636,75,0.01835033749181266,0.012517252462486769
RL_adaptive,10,0.0,0.7471230236846047,0.21522658009526074,75,0.64445580952273,0.17747819377794855,75,0.04871036059026644,0.040167096517570965
RL_adaptive,10,0.0025,0.7773055189480863,0.1775062155415344,75,0.6739162087242463,0.1592050431145562,75,0.04017343843968875,0.03603149320342571
RL_adaptive,10,0.005,0.7566015072992341,0.16702995125117506,75,0.6654759240403343,0.15342988539301122,75,0.037802436628497624,0.03472445196828827
RL_adaptive,10,0.01,0.7310587658559097,0.18852626836780917,75,0.6274585428966903,0.15682167233715458,75,0.04266751118225633,0.03549208561754041
RL_adaptive,25,0.0,0.866479700900122,0.11513260393544786,75,0.7711303253038208,0.08967418180253448,75,0.026056961230856285,0.020295177897196662
RL_adaptive,25,0.0025,0.8608934444536293,0.08873591249526326,75,0.7684080785254455,0.08849347250217753,75,0.020082827562643506,0.020027958226897517
RL_adaptive,25,0.005,0.8850195186594828,0.08496187581732038,75,0.7906440830807752,0.07978444458107224,75,0.019228682654602307,0.01805691965796252
RL_adaptive,25,0.01,0.8427730369790564,0.12556279367592263,75,0.7592492625169851,0.10026707493559994,75,0.028417535389766182,0.0226925753003306
RL_adaptive,50,0.0,0.9115018665918484,0.06639132378895005,75,0.8295171773191682,0.06771739379860071,75,0.015025771075271116,0.01532588897106927
