N,drift_level,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
10,0.0,1.64,0.4666666666666667,0.49333333333333335,0.2,3.1066666666666665,0.28,1.0666666666666667,0.8266666666666667,1.92
10,0.0025,1.6933333333333334,0.6266666666666667,0.4666666666666667,0.4266666666666667,3.0933333333333333,0.26666666666666666,0.92,0.6133333333333333,1.8933333333333333
10,0.005,1.5333333333333334,0.36,0.6666666666666666,0.24,3.546666666666667,0.17333333333333334,1.0133333333333334,0.64,1.8266666666666667
10,0.01,1.6266666666666667,0.5333333333333333,0.37333333333333335,0.26666666666666666,3.3333333333333335,0.22666666666666666,1.08,0.7466666666666667,1.8133333333333332
25,0.0,1.7466666666666666,5.506666666666667,0.0,0.5333333333333333,2.8,5.786666666666667,7.173333333333333,0.14666666666666667,1.3066666666666666
25,0.0025,1.68,5.08,0.02666666666666667,0.9066666666666666,3.1733333333333333,5.64,6.8933333333333335,0.06666666666666667,1.5333333333333334
25,0.005,1.56,6.466666666666667,0.0,1.0266666666666666,2.1333333333333333,6.373333333333333,5.746666666666667,0.36,1.3333333333333333
25,0.01,1.6533333333333333,5.32,0.0,0.96,2.92,5.72,6.786666666666667,0.21333333333333335,1.4266666666666667
50,0.0,15.0,2.2533333333333334,0.0,4.48,4.16,3.96,0.06666666666666667,2.9466666666666668,17.133333333333333
50,0.0025,15.266666666666667,2.3066666666666666,0.10666666666666667,3.8533333333333335,4.173333333333333,4.933333333333334,0.05333333333333334,3.1333333333333333,16.173333333333332
50,0.005,16.613333333333333,1.72,0.09333333333333334,3.6933333333333334,4.8,4.786666666666667,0.05333333333333334,2.6933333333333334,15.546666666666667
50,0.01,15.786666666666667,2.6533333333333333,0.10666666666666667,3.6666666666666665,4.066666666666666,4.373333333333333,0.013333333333333334,2.8266666666666667,16.506666666666668
