target_id,seed,N,degraded_noise,degraded_basis,theta1,phi1,theta2,phi2,true_noise_X,true_noise_Y,true_noise_Z,estimated_noise_X,estimated_noise_Y,estimated_noise_Z,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
0,0,10,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,Z_only,0.6131549658330973,0.38684503416690275,,,,,,,,,
0,0,10,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,ZX_split,0.9753843724348474,0.024615627565152565,,,,,,,,,
0,0,10,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,XYZ_split,0.8930704813639065,0.10692951863609346,,,,,,,,,
0,0,10,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,RL_adaptive,0.918424856655736,0.08157514334426397,1.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0
0,0,25,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,Z_only,0.6131549658330973,0.38684503416690275,,,,,,,,,
0,0,25,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,ZX_split,0.9615075478070201,0.03849245219297992,,,,,,,,,
0,0,25,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,XYZ_split,0.8151012657806885,0.18489873421931147,,,,,,,,,
0,0,25,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,RL_adaptive,0.7563554820405267,0.24364451795947328,1.0,7.0,0.0,4.0,1.0,7.0,3.0,1.0,1.0
0,0,50,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,Z_only,0.6131549658330973,0.38684503416690275,,,,,,,,,
0,0,50,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,ZX_split,0.9688963271741694,0.031103672825830597,,,,,,,,,
0,0,50,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,XYZ_split,0.8714121465919967,0.12858785340800327,,,,,,,,,
0,0,50,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,RL_adaptive,0.992006065627158,0.007993934372842015,4.0,17.0,0.0,0.0,1.0,12.0,11.0,4.0,1.0
0,0,100,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,Z_only,0.6131549658330973,0.38684503416690275,,,,,,,,,
0,0,100,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,ZX_split,0.9695313584868007,0.03046864151319928,,,,,,,,,
0,0,100,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,XYZ_split,0.9622872812472756,0.03771271875272442,,,,,,,,,
0,0,100,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,RL_adaptive,0.9935510243102931,0.006448975689706926,4.0,0.0,6.0,0.0,29.0,0.0,21.0,0.0,40.0
0,0,250,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,Z_only,0.6131549658330973,0.38684503416690275,,,,,,,,,
0,0,250,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,ZX_split,0.9838312732968968,0.01616872670310321,,,,,,,,,
0,0,250,0.05,X,0.6430324420658593,3.114207190276046,1.2000042135548832,0.2424741497399505,0.05,0.012986347972574929,0.011238433197060214,0.07,0.02,0.01,XYZ_split,0.998688456207516,0.0013115437924839934,,,,,,,,,
