method,N,degraded_noise,fidelity_mean,fidelity_std,fidelity_count,infidelity_mean,infidelity_std,infidelity_count,fidelity_ci95,infidelity_ci95
RL_adaptive,10,0.05,0.7449932001576144,0.17149156011684014,300,0.2550067998423856,0.1714915601168402,300,0.01940609688585248,0.019406096885852486
RL_adaptive,10,0.1,0.7343944054062906,0.18553809325228057,300,0.26560559459370936,0.1855380932522806,300,0.020995611744490276,0.02099561174449028
RL_adaptive,10,0.15,0.7261144927611384,0.18860814911932033,300,0.27388550723886157,0.18860814911932033,300,0.021343021270417744,0.021343021270417744
RL_adaptive,10,0.2,0.7101155401116367,0.202575507984007,300,0.28988445988836337,0.20257550798400698,300,0.022923576716895155,0.022923576716895152
RL_adaptive,10,0.25,0.667519136729405,0.21818880781569733,300,0.33248086327059506,0.2181888078156973,300,0.024690387917605045,0.024690387917605045
RL_adaptive,25,0.05,0.8920594749026665,0.0853710373361428,300,0.1079405250973335,0.08537103733614283,300,0.009660642311855849,0.009660642311855852
RL_adaptive,25,0.1,0.8766671484941052,0.09507449105686522,300,0.12333285150589489,0.09507449105686522,300,0.010758691468930569,0.010758691468930569
RL_adaptive,25,0.15,0.8724808858903597,0.10000584646305345,300,0.12751911410964042,0.10000584646305344,300,0.011316726865692137,0.011316726865692135
RL_adaptive,25,0.2,0.8499774977258537,0.12129912701019391,300,0.1500225022741463,0.12129912701019394,300,0.013726288391833203,0.013726288391833206
RL_adaptive,25,0.25,0.81630187361662,0.1491566015428466,300,0.18369812638337998,0.1491566015428466,300,0.016878658394225757,0.016878658394225757
RL_adaptive,50,0.05,0.9331579634015018,0.06275291535428046,300,0.06684203659849819,0.06275291535428049,300,0.007101160864156613,0.0071011608641566165
RL_adaptive,50,0.1,0.9331787153360593,0.05993258567555953,300,0.06682128466394072,0.05993258567555951,300,0.006782010516710861,0.00678201051671086
RL_adaptive,50,0.15,0.921706260451777,0.06413248330631992,300,0.07829373954822294,0.06413248330631993,300,0.0072572736741377845,0.007257273674137785
RL_adaptive,50,0.2,0.9080828791440365,0.07685142585467089,300,0.09191712085596355,0.07685142585467085,300,0.008696557515340956,0.008696557515340951
RL_adaptive,50,0.25,0.8895632544135517,0.10099563950950557,300,0.11043674558644835,0.10099563950950557,300,0.011428732492927123,0.011428732492927123
RL_adaptive,100,0.05,0.9606278948651922,0.03548387201504062,300,0.039372105134807864,0.03548387201504063,300,0.00401537811971569,0.0040153781197156905
RL_adaptive,100,0.1,0.9586218285213587,0.04497199125897659,300,0.04137817147864136,0.04497199125897661,300,0.005089059886835272,0.0050890598868352736
RL_adaptive,100,0.15,0.9529423454382161,0.03661810865309743,300,0.047057654561783936,0.03661810865309747,300,0.004143729078063829,0.0041437290780638346
RL_adaptive,100,0.2,0.9419702183057638,0.057745592718762874,300,0.05802978169423625,0.057745592718762846,300,0.006534528966135678,0.0065345289661356745
RL_adaptive,100,0.25,0.9323580040137697,0.060057132169617174,300,0.06764199598623027,0.06005713216961716,300,0.006796104279277539,0.006796104279277538
RL_adaptive,250,0.05,0.9839517472083829,0.01319747868542822,300,0.016048252791617118,0.013197478685428218,300,0.0014934353028446406,0.0014934353028446406
RL_adaptive,250,0.1,0.9814458059345662,0.016334599955774215,300,0.018554194065433734,0.016334599955774215,300,0.0018484339935879337,0.0018484339935879337
RL_adaptive,250,0.15,0.9805636668976615,0.01556661659013543,300,0.019436333102338447,0.015566616590135422,300,0.0017615284946225311,0.0017615284946225303
RL_adaptive,250,0.2,0.9728189858822206,0.026190139130114774,300,0.027181014117779387,0.02619013913011477,300,0.0029636932398695607,0.0029636932398695603
RL_adaptive,250,0.25,0.970027884212602,0.03118694725729374,300,0.029972115787397956,0.031186947257293714,300,0.0035291353092634353,0.0035291353092634322
XYZ_split,10,0.05,0.7877898613533281,0.1616616702931979,300,0.21221013864667196,0.1616616702931979,300,0.018293740136838776,0.018293740136838776
XYZ_split,10,0.1,0.7701587751116125,0.17062775827589124,300,0.2298412248883875,0.17062775827589127,300,0.019308348505674405,0.019308348505674408
XYZ_split,10,0.15,0.7456387456172934,0.17925417303322852,300,0.2543612543827066,0.17925417303322852,300,0.020284519230603253,0.020284519230603253
XYZ_split,10,0.2,0.7036782377306446,0.21472784596865518,300,0.29632176226935536,0.21472784596865513,300,0.024298743215812265,0.024298743215812258
XYZ_split,10,0.25,0.6913052555652429,0.20620265113642391,300,0.30869474443475703,0.20620265113642391,300,0.02333402660368085,0.02333402660368085
XYZ_split,25,0.05,0.8962944351599611,0.07338012816070492,300,0.10370556484003884,0.07338012816070486,300,0.008303743202363436,0.008303743202363427
XYZ_split,25,0.1,0.8808661308926833,0.08559515253929391,300,0.11913386910731677,0.08559515253929391,300,0.009686003334538128,0.009686003334538128
XYZ_split,25,0.15,0.8661753819700361,0.10338775358014927,300,0.13382461802996387,0.10338775358014923,300,0.011699425682640334,0.011699425682640329
XYZ_split,25,0.2,0.861522186061265,0.1146009395399134,300,0.13847781393873512,0.1146009395399134,300,0.012968317125379592,0.012968317125379592
XYZ_split,25,0.25,0.8247251996769851,0.15008763145879517,300,0.17527480032301487,0.15008763145879517,300,0.01698401434725467,0.01698401434725467
XYZ_split,50,0.05,0.9425030070193907,0.04165693022987379,300,0.057496992980609264,0.04165693022987376,300,0.004713925416838894,0.0047139254168388905
XYZ_split,50,0.1,0.9418756845306202,0.044306017427414995,300,0.058124315469379864,0.04430601742741499,300,0.005013697853333906,0.005013697853333905
XYZ_split,50,0.15,0.9343875645948615,0.045268668059060393,300,0.06561243540513839,0.04526866805906041,300,0.005122632027191848,0.00512263202719185
XYZ_split,50,0.2,0.9222373624094277,0.06424340465824714,300,0.07776263759057245,0.06424340465824711,300,0.00726982560672702,0.007269825606727017
XYZ_split,50,0.25,0.8930723955533378,0.10473261377379846,300,0.1069276044466621,0.10473261377379846,300,0.011851610940026184,0.011851610940026184
XYZ_split,100,0.05,0.9724790734287221,0.019238639568852207,300,0.02752092657127788,0.019238639568852203,300,0.002177057011848125,0.0021770570118481245
XYZ_split,100,0.1,0.9690351078155093,0.021729240007828998,300,0.03096489218449064,0.021729240007829005,300,0.002458894983289987,0.0024588949832899877
XYZ_split,100,0.15,0.966022913543109,0.0271147807900765,300,0.033977086456890945,0.027114780790076502,300,0.0030683262936809985,0.003068326293680999
XYZ_split,100,0.2,0.9569195778453046,0.0335175199939815,300,0.04308042215469546,0.033517519993981504,300,0.0037928644414544003,0.003792864441454401
XYZ_split,100,0.25,0.9462232241719346,0.04595798450587298,300,0.053776775828065386,0.04595798450587297,300,0.005200635526272169,0.005200635526272168
XYZ_split,250,0.05,0.9893738520723366,0.007918597409305624,300,0.010626147927663481,0.007918597409305624,300,0.0008960736517899074,0.0008960736517899074
XYZ_split,250,0.1,0.9871104624896156,0.009379573312263325,300,0.012889537510384429,0.009379573312263361,300,0.0010613986386369357,0.0010613986386369398
XYZ_split,250,0.15,0.9851689871017237,0.010526528909621777,300,0.01483101289827628,0.010526528909621797,300,0.001191188882722092,0.0011911888827220943
XYZ_split,250,0.2,0.9825099109524276,0.01473438740990456,300,0.017490089047572387,0.014734387409904565,300,0.0016673528973407154,0.0016673528973407158
XYZ_split,250,0.25,0.9751175704431321,0.021798159915749675,300,0.024882429556867924,0.021798159915749703,300,0.00246669400505853,0.0024666940050585336
ZX_split,10,0.05,0.7164622056783692,0.17284596788227427,300,0.2835377943216309,0.17284596788227427,300,0.019559362552693797,0.019559362552693797
ZX_split,10,0.1,0.6968247998148055,0.18796664488955764,300,0.3031752001851945,0.1879666448895576,300,0.02127042823302875,0.021270428233028747
ZX_split,10,0.15,0.6811707798072607,0.19494648649772034,300,0.31882922019273924,0.19494648649772037,300,0.02206027166557799,0.022060271665577995
ZX_split,10,0.2,0.6731957094150932,0.19889778164406935,300,0.32680429058490673,0.19889778164406938,300,0.022507402803590874,0.022507402803590877
ZX_split,10,0.25,0.6464497558478048,0.23487004949152707,300,0.3535502441521951,0.23487004949152704,300,0.02657804811450872,0.026578048114508715
ZX_split,25,0.05,0.7613392387333927,0.16185048355389875,300,0.2386607612666072,0.16185048355389878,300,0.018315106368669648,0.01831510636866965
ZX_split,25,0.1,0.7605253389508841,0.16015525905624325,300,0.23947466104911588,0.16015525905624323,300,0.01812327365793823,0.018123273657938227
ZX_split,25,0.15,0.7559454192940954,0.1557204438105389,300,0.24405458070590466,0.15572044381053884,300,0.01762142706985915,0.017621427069859145
ZX_split,25,0.2,0.7370750161724091,0.17284602776527536,300,0.26292498382759083,0.17284602776527538,300,0.019559369329093294,0.019559369329093298
ZX_split,25,0.25,0.7271976522406195,0.16375962226263982,300,0.27280234775938056,0.1637596222626398,300,0.0185311457511624,0.018531145751162395
ZX_split,50,0.05,0.7916487473568602,0.1371750099855477,300,0.20835125264313986,0.1371750099855477,300,0.01552281367248413,0.01552281367248413
ZX_split,50,0.1,0.7885503423298608,0.14125974569143382,300,0.21144965767013923,0.14125974569143374,300,0.015985045031319048,0.015985045031319037
ZX_split,50,0.15,0.7848490337849483,0.1389710205235993,300,0.2151509662150518,0.1389710205235993,300,0.01572605139733598,0.01572605139733598
