method,N,drift_level,final_fidelity_mean,final_fidelity_std,final_fidelity_count,tracking_fidelity_mean,tracking_fidelity_std,tracking_fidelity_count,final_fidelity_ci95,tracking_fidelity_ci95
Balanced_random,10,0.0,0.7760407445975975,0.1418508618828776,240,0.6736030648908323,0.1412641374832996,240,0.017946610173440077,0.017872379295046356
Balanced_random,10,0.0025,0.7794995276455563,0.14792730569837498,240,0.6667303461398343,0.13851380617505918,240,0.018715386386358564,0.017524414374836334
Balanced_random,10,0.005,0.7776171109726201,0.15566875355144028,240,0.6679013656621618,0.1409447232192005,240,0.0196948146743001,0.01783196781495006
Balanced_random,10,0.01,0.7736594947590097,0.15808623733663626,240,0.6603871384677114,0.15073262592139647,240,0.020000668572666587,0.019070308364173578
Balanced_random,25,0.0,0.8649380818070475,0.10385775384191907,240,0.7656531156974471,0.09207263229953028,240,0.013139818799472557,0.011648795203560288
Balanced_random,25,0.0025,0.8569256000279768,0.10376129164114424,240,0.765059719524168,0.09212318260055384,240,0.013127614647232668,0.011655190699044617
Balanced_random,25,0.005,0.8500228616663641,0.12142028385284699,240,0.7636586633839282,0.09336260356550893,240,0.01536178541695922,0.011811999086414188
Balanced_random,25,0.01,0.8601543366067939,0.10294716641292839,240,0.7670248317508394,0.08370220491050387,240,0.01302461359451283,0.010589790024867924
Balanced_random,50,0.0,0.8869093936715448,0.09116290651971715,240,0.8226609129641904,0.05503870478353453,240,0.01153369901226245,0.006963356909432886
Balanced_random,50,0.0025,0.873068210446888,0.10138616143846282,240,0.8249790752798851,0.05402278549745782,240,0.012827119216377395,0.006834825385881397
Balanced_random,50,0.005,0.8802458927461536,0.10092589343649443,240,0.8176483815573611,0.055882785725102246,240,0.012768887279701146,0.007070147882797953
Balanced_random,50,0.01,0.8814581852196689,0.08759187568574929,240,0.8278731847290944,0.05157184512794195,240,0.011081901275936593,0.006524738645581105
Balanced_random,100,0.0,0.8845065173781995,0.09241935674341656,240,0.8517905392130043,0.036076588715096926,240,0.011692661898125511,0.004564318224530464
Balanced_random,100,0.0025,0.8772519613493077,0.10098350564952818,240,0.8492174663836722,0.03345969989654398,240,0.01277617623032733,0.0042332361086348195
Balanced_random,100,0.005,0.8810794160035126,0.07915052920070209,240,0.8520811983529902,0.036207489952349944,240,0.010013923593635553,0.0045808795160518405
Balanced_random,100,0.01,0.8748908113650814,0.07619951541635911,240,0.8483501266986515,0.03672693517041488,240,0.009640568837090049,0.004646598403560372
Balanced_random,250,0.0,0.8884721976721243,0.08309395612839256,240,0.8683414285589476,0.02175596645312178,240,0.010512835936354634,0.002752509527950538
Balanced_random,250,0.0025,0.8866230902494385,0.07974014219634121,240,0.8697345354640524,0.02039372002221311,240,0.010088519929854265,0.0025801615750994386
Balanced_random,250,0.005,0.8912935328450062,0.06751156010480293,240,0.868814494533521,0.020985573213007227,240,0.008541390833437837,0.002655041335110053
Balanced_random,250,0.01,0.8804156005435093,0.07369899394603606,240,0.8691289867343241,0.020247082828123743,240,0.009324209222051136,0.0025616094103517767
RL_adaptive,10,0.0,0.6656428701846607,0.22870728785698252,240,0.6105416000447648,0.20875609563840414,240,0.02893546422286106,0.026411290139676184
