target_id,seed,N,drift_level,method,final_fidelity,final_infidelity,tracking_fidelity,tracking_infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
0,0,10,0.0,RL_adaptive,0.34653280554032617,0.6534671944596738,0.27052410472065597,0.7294758952793441,1,0,0,0,1,0,0,7,1
0,0,10,0.0,XYZ_interleaved,0.9484129579220085,0.051587042077991474,0.9223088045263508,0.07769119547364922,3,0,0,0,4,0,0,0,3
0,0,10,0.0,ZX_interleaved,0.5022842482667511,0.4977157517332489,0.5568725036440704,0.44312749635592963,4,0,0,0,5,0,0,0,1
0,0,10,0.0,Z_only,0.8189167931872057,0.18108320681279433,0.8703345393033499,0.12966546069665008,8,0,0,0,1,0,0,0,1
0,0,10,0.0,Balanced_random,0.9549528695209011,0.04504713047909892,0.9124318736569983,0.0875681263430017,1,0,2,0,1,1,2,2,1
0,0,10,0.0025,RL_adaptive,0.49811140860456665,0.5018885913954334,0.4515673306605583,0.5484326693394417,1,0,0,0,1,0,0,7,1
0,0,10,0.0025,XYZ_interleaved,0.9666204124376737,0.033379587562326285,0.8430870053781311,0.15691299462186892,3,0,0,0,4,0,0,0,3
0,0,10,0.0025,ZX_interleaved,0.7551407055889273,0.24485929441107268,0.7698303061706082,0.23016969382939179,4,0,0,0,5,0,0,0,1
0,0,10,0.0025,Z_only,0.44061429739579105,0.559385702604209,0.3466583603951461,0.6533416396048539,8,0,0,0,1,0,0,0,1
0,0,10,0.0025,Balanced_random,0.9156646242131341,0.0843353757868659,0.7742194635160065,0.22578053648399354,4,2,0,0,1,0,1,0,2
0,0,10,0.005,RL_adaptive,0.8012986145691551,0.19870138543084492,0.7832042295223558,0.2167957704776442,1,0,0,0,1,0,0,7,1
0,0,10,0.005,XYZ_interleaved,0.8056750869457606,0.19432491305423938,0.7954979490411668,0.20450205095883323,3,0,0,0,4,0,0,0,3
