method,N,noise,fidelity_mean,fidelity_std,infidelity_mean,infidelity_std
RL_adaptive,5,0.0,0.524839684279443,0.19700367547122086,0.47516031572055695,0.19700367547122088
RL_adaptive,5,0.05,0.5206730176127763,0.1974904677851944,0.47932698238722365,0.19749046778519447
RL_adaptive,5,0.1,0.5206730176127763,0.1974904677851944,0.47932698238722365,0.19749046778519447
RL_adaptive,10,0.0,0.47097217081996173,0.18712381741365586,0.5290278291800383,0.1871238174136558
RL_adaptive,10,0.05,0.4802723825181654,0.17489917680245418,0.5197276174818346,0.17489917680245418
RL_adaptive,10,0.1,0.4409882023920174,0.18922953035730047,0.5590117976079826,0.18922953035730047
RL_adaptive,25,0.0,0.3882371439009991,0.23668363741764836,0.6117628560990009,0.23668363741764836
RL_adaptive,25,0.05,0.41100423396407304,0.23616844944388743,0.588995766035927,0.2361684494438874
RL_adaptive,25,0.1,0.43793799069381373,0.23457074922326485,0.5620620093061863,0.23457074922326485
RL_adaptive,50,0.0,0.43092543776926284,0.23247598995341082,0.5690745622307372,0.23247598995341087
RL_adaptive,50,0.05,0.45979295122874414,0.21793439082622593,0.5402070487712558,0.21793439082622595
RL_adaptive,50,0.1,0.45125529245509133,0.21885446428796185,0.5487447075449087,0.21885446428796182
RL_adaptive,100,0.0,0.39407849302036035,0.2339089678184284,0.6059215069796398,0.23390896781842843
RL_adaptive,100,0.05,0.3992120380518973,0.2202804672737186,0.6007879619481027,0.2202804672737186
RL_adaptive,100,0.1,0.3077350269189626,0.2357863917746268,0.6922649730810375,0.23578639177462682
XYZ_split,5,0.0,0.4246206889325361,0.2840706848050466,0.5753793110674639,0.2840706848050466
XYZ_split,5,0.05,0.4246206889325361,0.2840706848050466,0.5753793110674639,0.2840706848050466
XYZ_split,5,0.1,0.4246206889325361,0.2840706848050466,0.5753793110674639,0.2840706848050466
XYZ_split,10,0.0,0.3898370380518973,0.23870778048576122,0.6101629619481027,0.23870778048576125
XYZ_split,10,0.05,0.3898370380518973,0.23870778048576122,0.6101629619481027,0.23870778048576125
XYZ_split,10,0.1,0.3898370380518973,0.23870778048576122,0.6101629619481027,0.23870778048576125
XYZ_split,25,0.0,0.44708862578842473,0.22868488467269102,0.5529113742115752,0.22868488467269102
XYZ_split,25,0.05,0.44708862578842473,0.22868488467269102,0.5529113742115752,0.22868488467269102
XYZ_split,25,0.1,0.44708862578842473,0.22868488467269102,0.5529113742115752,0.22868488467269102
XYZ_split,50,0.0,0.44917195912175806,0.2252943603425145,0.550828040878242,0.22529436034251443
XYZ_split,50,0.05,0.44917195912175806,0.2252943603425145,0.550828040878242,0.22529436034251443
XYZ_split,50,0.1,0.44917195912175806,0.2252943603425145,0.550828040878242,0.22529436034251443
XYZ_split,100,0.0,0.44708862578842473,0.22868488467269102,0.5529113742115752,0.22868488467269102
XYZ_split,100,0.05,0.44708862578842473,0.22868488467269102,0.5529113742115752,0.22868488467269102
XYZ_split,100,0.1,0.44708862578842473,0.22868488467269102,0.5529113742115752,0.22868488467269102
ZX_split,5,0.0,0.3861538105676658,0.2501510035463808,0.6138461894323342,0.25015100354638087
ZX_split,5,0.05,0.3861538105676658,0.2501510035463808,0.6138461894323342,0.25015100354638087
ZX_split,5,0.1,0.3861538105676658,0.2501510035463808,0.6138461894323342,0.25015100354638087
ZX_split,10,0.0,0.400029339813175,0.25620892592673444,0.599970660186825,0.25620892592673444
ZX_split,10,0.05,0.400029339813175,0.25620892592673444,0.599970660186825,0.25620892592673444
ZX_split,10,0.1,0.400029339813175,0.25620892592673444,0.599970660186825,0.25620892592673444
ZX_split,25,0.0,0.43362174742355436,0.24162020062376838,0.5663782525764456,0.24162020062376835
ZX_split,25,0.05,0.43362174742355436,0.24162020062376838,0.5663782525764456,0.24162020062376835
ZX_split,25,0.1,0.43362174742355436,0.24162020062376838,0.5663782525764456,0.24162020062376835
ZX_split,50,0.0,0.4347382023920174,0.2322345370533038,0.5652617976079826,0.2322345370533038
ZX_split,50,0.05,0.4347382023920174,0.2322345370533038,0.5652617976079826,0.2322345370533038
ZX_split,50,0.1,0.4347382023920174,0.2322345370533038,0.5652617976079826,0.2322345370533038
ZX_split,100,0.0,0.4347382023920174,0.23223453705330382,0.5652617976079826,0.23223453705330382
ZX_split,100,0.05,0.4347382023920174,0.23223453705330382,0.5652617976079826,0.23223453705330382
ZX_split,100,0.1,0.4347382023920174,0.23223453705330382,0.5652617976079826,0.23223453705330382
Z_only,5,0.0,0.32521899534690685,0.26439590517762945,0.6747810046530931,0.26439590517762945
Z_only,5,0.05,0.32521899534690685,0.26439590517762945,0.6747810046530931,0.26439590517762945
Z_only,5,0.1,0.32521899534690685,0.26439590517762945,0.6747810046530931,0.26439590517762945
Z_only,10,0.0,0.32521899534690685,0.2643959051776294,0.6747810046530931,0.2643959051776294
Z_only,10,0.05,0.32521899534690685,0.2643959051776294,0.6747810046530931,0.2643959051776294
Z_only,10,0.1,0.32521899534690685,0.2643959051776294,0.6747810046530931,0.2643959051776294
Z_only,25,0.0,0.3932211123289434,0.24994426053002203,0.6067788876710566,0.24994426053002197
Z_only,25,0.05,0.3932211123289434,0.24994426053002203,0.6067788876710566,0.24994426053002197
Z_only,25,0.1,0.3932211123289434,0.24994426053002203,0.6067788876710566,0.24994426053002197
Z_only,50,0.0,0.3726869322027955,0.2688333179371596,0.6273130677972045,0.2688333179371596
Z_only,50,0.05,0.3726869322027955,0.2688333179371596,0.6273130677972045,0.2688333179371596
Z_only,50,0.1,0.3726869322027955,0.2688333179371596,0.6273130677972045,0.2688333179371596
Z_only,100,0.0,0.3726869322027955,0.26883331793715953,0.6273130677972045,0.26883331793715953
Z_only,100,0.05,0.3726869322027955,0.26883331793715953,0.6273130677972045,0.26883331793715953
Z_only,100,0.1,0.3726869322027955,0.26883331793715953,0.6273130677972045,0.26883331793715953
