target_id,seed,N,method,true_theta,true_phi,fidelity,infidelity,z_shots,x_shots,y_shots,z_counts_0,z_counts_1,x_counts_0,x_counts_1,y_counts_0,y_counts_1,reward
0,0,10,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,10,0,0,10,0,0,0,0,0,
0,0,10,ZX_split,0.8869776881783328,2.519357309502857,0.8986691541926465,0.10133084580735352,5,5,0,3,2,1,4,0,0,
0,0,10,XYZ_split,0.8869776881783328,2.519357309502857,0.6988898275869986,0.3011101724130014,3,3,4,1,2,0,3,2,2,
0,0,10,RL_adaptive,0.8869776881783328,2.519357309502857,0.8986691541926465,0.10133084580735352,3,3,4,2,1,0,3,2,2,0.8986691541926465
0,0,25,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,25,0,0,22,3,0,0,0,0,
0,0,25,ZX_split,0.8869776881783328,2.519357309502857,0.9442246237576705,0.05577537624232953,12,13,0,11,1,2,11,0,0,
0,0,25,XYZ_split,0.8869776881783328,2.519357309502857,0.959934717614976,0.04006528238502405,8,8,9,8,0,1,7,5,4,
0,0,25,RL_adaptive,0.8869776881783328,2.519357309502857,0.9714174095163456,0.028582590483654413,7,11,7,7,0,3,8,5,2,0.9714174095163456
0,0,50,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,50,0,0,44,6,0,0,0,0,
0,0,50,ZX_split,0.8869776881783328,2.519357309502857,0.9437774942067972,0.05622250579320276,25,25,0,17,8,7,18,0,0,
0,0,50,XYZ_split,0.8869776881783328,2.519357309502857,0.98577573720706,0.014224262792939979,16,16,18,12,4,1,15,14,4,
0,0,50,RL_adaptive,0.8869776881783328,2.519357309502857,0.996636979550525,0.003363020449475007,18,17,15,16,2,0,17,12,3,0.996636979550525
0,0,100,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,100,0,0,88,12,0,0,0,0,
0,0,100,ZX_split,0.8869776881783328,2.519357309502857,0.9460571613654882,0.05394283863451177,50,50,0,42,8,8,42,0,0,
0,0,100,XYZ_split,0.8869776881783328,2.519357309502857,0.9952112393087151,0.004788760691284866,33,33,34,27,6,7,26,27,7,
0,0,100,RL_adaptive,0.8869776881783328,2.519357309502857,0.9968409891830597,0.0031590108169402553,34,37,29,29,5,5,32,20,9,0.9968409891830597
0,0,250,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,250,0,0,208,42,0,0,0,0,
0,0,250,ZX_split,0.8869776881783328,2.519357309502857,0.9460120084515473,0.053987991548452685,125,125,0,101,24,23,102,0,0,
0,0,250,XYZ_split,0.8869776881783328,2.519357309502857,0.9974309482666511,0.0025690517333488705,83,83,84,61,22,18,65,60,24,
0,0,250,RL_adaptive,0.8869776881783328,2.519357309502857,0.9981103471676015,0.001889652832398503,68,100,82,58,10,11,89,59,23,0.9981103471676015
0,0,500,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,500,0,0,412,88,0,0,0,0,
0,0,500,ZX_split,0.8869776881783328,2.519357309502857,0.9457900231775839,0.05420997682241613,250,250,0,211,39,45,205,0,0,
0,0,500,XYZ_split,0.8869776881783328,2.519357309502857,0.9995373493271076,0.00046265067289241735,166,166,168,140,26,26,140,121,47,
0,0,500,RL_adaptive,0.8869776881783328,2.519357309502857,0.9995512428941632,0.0004487571058368056,140,165,195,109,31,35,130,141,54,0.9995512428941632
0,1,10,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,10,0,0,8,2,0,0,0,0,
0,1,10,ZX_split,0.8869776881783328,2.519357309502857,0.932899809259298,0.06710019074070195,5,5,0,5,0,1,4,0,0,
0,1,10,XYZ_split,0.8869776881783328,2.519357309502857,0.9958480227313521,0.004151977268647911,3,3,4,3,0,0,3,3,1,
0,1,10,RL_adaptive,0.8869776881783328,2.519357309502857,0.882334252153093,0.11766574784690698,4,3,3,4,0,0,3,1,2,0.882334252153093
0,1,25,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,25,0,0,17,8,0,0,0,0,
0,1,25,ZX_split,0.8869776881783328,2.519357309502857,0.9187838674537849,0.08121613254621507,12,13,0,11,1,4,9,0,0,
0,1,25,XYZ_split,0.8869776881783328,2.519357309502857,0.9943464346684372,0.005653565331562804,8,8,9,8,0,1,7,8,1,
0,1,25,RL_adaptive,0.8869776881783328,2.519357309502857,0.9714174095163456,0.028582590483654413,7,11,7,7,0,3,8,5,2,0.9714174095163456
0,1,50,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,50,0,0,44,6,0,0,0,0,
0,1,50,ZX_split,0.8869776881783328,2.519357309502857,0.9366257229401835,0.06337427705981646,25,25,0,24,1,5,20,0,0,
0,1,50,XYZ_split,0.8869776881783328,2.519357309502857,0.996287519481569,0.003712480518430983,16,16,18,15,1,2,14,13,5,
0,1,50,RL_adaptive,0.8869776881783328,2.519357309502857,0.9937100963528542,0.006289903647145767,18,17,15,14,4,3,14,12,3,0.9937100963528542
0,1,100,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,100,0,0,82,18,0,0,0,0,
0,1,100,ZX_split,0.8869776881783328,2.519357309502857,0.9448763599001959,0.05512364009980408,50,50,0,38,12,10,40,0,0,
0,1,100,XYZ_split,0.8869776881783328,2.519357309502857,0.9979123986560463,0.0020876013439536933,33,33,34,26,7,8,25,25,9,
0,1,100,RL_adaptive,0.8869776881783328,2.519357309502857,0.9927988245729596,0.007201175427040352,34,37,29,29,5,8,29,19,10,0.9927988245729596
0,1,250,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,250,0,0,200,50,0,0,0,0,
0,1,250,ZX_split,0.8869776881783328,2.519357309502857,0.9451011082044999,0.054898891795500115,125,125,0,99,26,21,104,0,0,
0,1,250,XYZ_split,0.8869776881783328,2.519357309502857,0.9988115318623055,0.001188468137694465,83,83,84,70,13,15,68,59,25,
0,1,250,RL_adaptive,0.8869776881783328,2.519357309502857,0.9986090049635038,0.001390995036496201,69,99,82,58,11,10,89,64,18,0.9986090049635038
0,1,500,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,500,0,0,404,96,0,0,0,0,
0,1,500,ZX_split,0.8869776881783328,2.519357309502857,0.9460441699555763,0.053955830044423725,250,250,0,204,46,45,205,0,0,
0,1,500,XYZ_split,0.8869776881783328,2.519357309502857,0.9995466070756693,0.00045339292433066447,166,166,168,139,27,31,135,126,42,
0,1,500,RL_adaptive,0.8869776881783328,2.519357309502857,0.999727998608933,0.0002720013910669783,141,164,195,116,25,33,131,141,54,0.999727998608933
0,2,10,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,10,0,0,5,5,0,0,0,0,
0,2,10,ZX_split,0.8869776881783328,2.519357309502857,0.9460571613654882,0.05394283863451177,5,5,0,4,1,1,4,0,0,
0,2,10,XYZ_split,0.8869776881783328,2.519357309502857,0.9575524655389063,0.04244753446109373,3,3,4,3,0,1,2,3,1,
0,2,10,RL_adaptive,0.8869776881783328,2.519357309502857,0.9570166859435891,0.04298331405641087,3,3,4,2,1,0,3,3,1,0.9570166859435891
0,2,25,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,25,0,0,19,6,0,0,0,0,
0,2,25,ZX_split,0.8869776881783328,2.519357309502857,0.9309929148373389,0.06900708516266107,12,13,0,10,2,4,9,0,0,
0,2,25,XYZ_split,0.8869776881783328,2.519357309502857,0.9907706125561231,0.009229387443876913,8,8,9,6,2,1,7,7,2,
0,2,25,RL_adaptive,0.8869776881783328,2.519357309502857,0.9922681208461279,0.007731879153872079,7,11,7,5,2,2,9,5,2,0.9922681208461279
0,2,50,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,50,0,0,41,9,0,0,0,0,
0,2,50,ZX_split,0.8869776881783328,2.519357309502857,0.9139074475541898,0.08609255244581016,25,25,0,17,8,2,23,0,0,
0,2,50,XYZ_split,0.8869776881783328,2.519357309502857,0.9999526306815829,4.73693184170898e-05,16,16,18,14,2,2,14,14,4,
0,2,50,RL_adaptive,0.8869776881783328,2.519357309502857,0.9886168105293613,0.011383189470638655,18,17,15,16,2,4,13,10,5,0.9886168105293613
0,2,100,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,100,0,0,85,15,0,0,0,0,
0,2,100,ZX_split,0.8869776881783328,2.519357309502857,0.9420566799674732,0.05794332003252678,50,50,0,38,12,8,42,0,0,
0,2,100,XYZ_split,0.8869776881783328,2.519357309502857,0.9705937968090934,0.029406203190906588,33,33,34,33,0,9,24,24,10,
0,2,100,RL_adaptive,0.8869776881783328,2.519357309502857,0.9961343146494503,0.0038656853505496525,33,37,30,26,7,5,32,21,9,0.9961343146494503
0,2,250,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,250,0,0,210,40,0,0,0,0,
0,2,250,ZX_split,0.8869776881783328,2.519357309502857,0.9459436904633683,0.05405630953663165,125,125,0,105,20,22,103,0,0,
0,2,250,XYZ_split,0.8869776881783328,2.519357309502857,0.9994520960217919,0.0005479039782081419,83,83,84,64,19,17,66,58,26,
0,2,250,RL_adaptive,0.8869776881783328,2.519357309502857,0.9994811918494667,0.0005188081505332898,70,97,83,60,10,16,81,64,19,0.9994811918494667
0,2,500,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,500,0,0,422,78,0,0,0,0,
0,2,500,ZX_split,0.8869776881783328,2.519357309502857,0.9459012641505655,0.054098735849434476,250,250,0,203,47,43,207,0,0,
0,2,500,XYZ_split,0.8869776881783328,2.519357309502857,0.998783029766875,0.0012169702331249477,166,166,168,131,35,30,136,116,52,
0,2,500,RL_adaptive,0.8869776881783328,2.519357309502857,0.9974846342081118,0.002515365791888158,141,165,194,118,23,35,130,133,61,0.9974846342081118
0,3,10,Z_only,0.8869776881783328,2.519357309502857,0.8158788507442615,0.18412114925573853,10,0,0,7,3,0,0,0,0,
