target_id,seed,N,theta1,phi1,theta2,phi2,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
0,0,1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
0,0,1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.3991741418103094,0.6008258581896906,,,,,,,,,
0,0,1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.3476672743216854,0.6523327256783146,,,,,,,,,
0,0,1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.7278764814236143,0.2721235185763857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
0,0,2,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.5446021514650555,0.45539784853494447,,,,,,,,,
0,0,2,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.3564177342739776,0.6435822657260224,,,,,,,,,
0,0,2,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.8333502353615626,0.1666497646384374,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,5,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
0,0,5,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.8965628705803841,0.10343712941961591,,,,,,,,,
0,0,5,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.8074168171443118,0.1925831828556882,,,,,,,,,
0,0,5,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9776315740476131,0.02236842595238686,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
0,0,10,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.2693214047577643,0.7306785952422357,,,,,,,,,
