N,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,1.228,0.022,0.568,0.0,1.004,0.32,0.742,0.02,1.096
10,1.014,0.76,1.63,2.15,1.0,0.014,0.044,1.196,2.192
25,2.936,0.534,2.63,5.33,2.142,1.412,0.62,6.912,2.484
50,1.586,1.902,6.422,8.388,10.298,0.248,5.916,0.104,15.136
100,5.252,9.262,4.128,9.914,13.044,37.158,7.044,0.158,14.04
250,57.568,6.128,2.192,11.516,24.532,22.774,74.008,17.29,33.992
500,36.904,24.034,49.592,58.97,74.276,24.198,153.866,44.186,33.974
