method,N,fidelity_mean,fidelity_std,fidelity_count,infidelity_mean,infidelity_std,infidelity_count,fidelity_ci95,infidelity_ci95
RL_adaptive,1,0.4200836324963727,0.22905112764746052,500,0.5799163675036273,0.22905112764746052,500,0.020077216556313966,0.020077216556313966
RL_adaptive,2,0.5196713896094411,0.22566152368228334,500,0.4803286103905588,0.2256615236822834,500,0.019780104668902756,0.01978010466890276
RL_adaptive,5,0.6844158215926829,0.20568384225431038,500,0.3155841784073172,0.20568384225431036,500,0.018028983683636077,0.018028983683636077
RL_adaptive,10,0.8051599625848628,0.14509590989402676,500,0.19484003741513725,0.1450959098940268,500,0.012718217256984942,0.012718217256984944
RL_adaptive,25,0.9056121158802238,0.06920717469895578,500,0.09438788411977618,0.06920717469895578,500,0.006066276328576692,0.006066276328576692
RL_adaptive,50,0.9490746832513679,0.03697813453064603,500,0.05092531674863214,0.03697813453064604,500,0.0032412764016729466,0.003241276401672947
RL_adaptive,100,0.9693052539749261,0.0267272809497719,500,0.03069474602507396,0.026727280949771934,500,0.002342749468651064,0.002342749468651067
RL_adaptive,250,0.9888774196020023,0.009080563740977482,500,0.011122580397997659,0.009080563740977475,500,0.0007959465057147414,0.0007959465057147408
RL_adaptive,500,0.9945679573348319,0.004646889636662881,500,0.005432042665168084,0.004646889636662881,500,0.00040731783557148595,0.00040731783557148595
XYZ_split,1,0.4604758000524983,0.2402117200569794,500,0.5395241999475018,0.24021172005697933,500,0.02105548561355058,0.021055485613550574
XYZ_split,2,0.45825425170180145,0.2725373452355733,500,0.5417457482981985,0.2725373452355734,500,0.023888951589879557,0.02388895158987956
XYZ_split,5,0.6739070282910873,0.195858386547758,500,0.3260929717089127,0.195858386547758,500,0.017167744518341316,0.017167744518341316
XYZ_split,10,0.8113834307119858,0.12933203443199812,500,0.1886165692880142,0.12933203443199812,500,0.011336452649805016,0.011336452649805016
XYZ_split,25,0.9163516102565328,0.05904658326078804,500,0.08364838974346725,0.05904658326078802,500,0.005175661221200751,0.005175661221200749
XYZ_split,50,0.9548586707105149,0.035561874135345777,500,0.0451413292894851,0.03556187413534578,500,0.0031171357045778484,0.003117135704577849
XYZ_split,100,0.9771236810850432,0.017197129054436405,500,0.022876318914956714,0.017197129054436395,500,0.001507394823675414,0.001507394823675413
XYZ_split,250,0.9904599739143448,0.006917522615542277,500,0.00954002608565515,0.006917522615542278,500,0.0006063475915263912,0.0006063475915263914
XYZ_split,500,0.9954150690463357,0.0033335429533163565,500,0.004584930953664277,0.0033335429533163613,500,0.0002921979230616066,0.00029219792306160703
ZX_split,1,0.4590005712523581,0.23441668890312334,500,0.540999428747642,0.23441668890312337,500,0.02054752873675393,0.020547528736753935
ZX_split,2,0.5183695499242561,0.22361734246321596,500,0.4816304500757438,0.22361734246321596,500,0.019600924284867566,0.019600924284867566
ZX_split,5,0.6059196352328615,0.21164312982679878,500,0.39408036476713854,0.21164312982679878,500,0.018551338270330585,0.018551338270330585
ZX_split,10,0.6755292558228296,0.18945908448211232,500,0.32447074417717037,0.1894590844821122,500,0.016606820960789644,0.016606820960789637
ZX_split,25,0.7277634543851486,0.16348114887079945,500,0.2722365456148515,0.16348114887079945,500,0.014329754507062926,0.014329754507062926
ZX_split,50,0.7540151216713433,0.15038157559230106,500,0.24598487832865668,0.1503815755923011,500,0.013181526283046007,0.01318152628304601
ZX_split,100,0.7650803680278029,0.14554733295813174,500,0.23491963197219703,0.14554733295813183,500,0.012757786233176582,0.01275778623317659
ZX_split,250,0.7724768786846351,0.14261689682787287,500,0.22752312131536484,0.14261689682787282,500,0.012500922181050157,0.012500922181050152
ZX_split,500,0.775524566926398,0.14105870895741854,500,0.2244754330736019,0.14105870895741854,500,0.012364340992248136,0.012364340992248136
Z_only,1,0.4240296487370753,0.22017786981778195,500,0.5759703512629246,0.2201778698177819,500,0.019299441214903457,0.019299441214903453
Z_only,2,0.4215143899964815,0.22316202305896396,500,0.5784856100035184,0.22316202305896393,500,0.01956101377940378,0.01956101377940378
Z_only,5,0.4780666647336483,0.19828461043833895,500,0.5219333352663518,0.19828461043833903,500,0.017380412419021857,0.017380412419021864
Z_only,10,0.4981518462953341,0.18899877107858312,500,0.5018481537046658,0.1889987710785832,500,0.016566472711988817,0.016566472711988824
Z_only,25,0.5255573710668928,0.1662806927444465,500,0.4744426289331071,0.16628069274444648,500,0.014575145347035667,0.014575145347035664
Z_only,50,0.5294165528842109,0.16330986509413337,500,0.4705834471157891,0.1633098650941334,500,0.014314740822074647,0.01431474082207465
Z_only,100,0.5316516904159834,0.16010618881025782,500,0.4683483095840166,0.16010618881025782,500,0.014033926214487583,0.014033926214487583
Z_only,250,0.5347961070620793,0.15682332933467447,500,0.4652038929379207,0.1568233293346745,500,0.013746170894126622,0.013746170894126624
Z_only,500,0.535425185296902,0.1563798319560224,500,0.4645748147030981,0.15637983195602248,500,0.01370729663489547,0.013707296634895477
