target_id,seed,N,RL_adaptive,XYZ_split,delta_fidelity
0,0,1,0.34787869656069725,0.29931933478308553,0.04855936177761172
0,0,2,0.6452713592443172,0.6594010911584718,-0.014129731914154564
0,0,5,0.8186233387618617,0.30424829744100007,0.5143750413208616
0,0,10,0.6393081972731754,0.9665996174505204,-0.3272914201773449
0,0,25,0.8414012839828807,0.9471528614202814,-0.10575157743740071
0,0,50,0.640452302284785,0.9949640163727735,-0.35451171408798854
0,0,100,0.8740978785254983,0.9851423809822887,-0.11104450245679043
0,0,250,0.8579411192484019,0.9947459717159126,-0.13680485246751073
0,0,500,0.9549656127380779,0.9968604533569062,-0.04189484061882831
0,0,1000,0.8074728081579872,0.9983091877615586,-0.19083637960357147
0,1,1,0.12267228054225174,0.6594010911584718,-0.53672881061622
0,1,2,0.6452713592443172,0.29931933478308553,0.3459520244612317
0,1,5,0.40511272743706045,0.549777862968141,-0.14466513553108057
0,1,10,0.47505915863676906,0.9143455373007305,-0.4392863786639615
0,1,25,0.8049604381705695,0.8800487471273977,-0.07508830895682816
0,1,50,0.640452302284785,0.9960232226885573,-0.35557092040377225
0,1,100,0.6094247591028814,0.9947811215695394,-0.38535636246665794
0,1,250,0.8550530869689428,0.9784807628362538,-0.12342767586731107
0,1,500,0.688417713723859,0.9963955882115262,-0.3079778744876672
0,1,1000,0.6038621073271481,0.9964569738873068,-0.39259486656015874
0,2,1,0.34787869656069725,0.29931933478308553,0.04855936177761172
0,2,2,0.3805309174267481,0.7460232423551103,-0.3654923249283622
0,2,5,0.6601671492206513,0.8362071768361801,-0.17604002761552873
0,2,10,0.8582669042510106,0.6599979540587453,0.19826895019226531
0,2,25,0.873710489219941,0.8702037332810519,0.00350675593888905
0,2,50,0.6546019531630208,0.9549636937433205,-0.30036174058029963
0,2,100,0.4201117368982037,0.9339374186042494,-0.5138256817060457
0,2,250,0.8531440897296986,0.9913387502522941,-0.13819466052259555
0,2,500,0.9554950749034256,0.9973066784484456,-0.041811603545020004
0,2,1000,0.21238703320204338,0.9986246811614233,-0.78623764795938
0,3,1,0.34787869656069725,0.6594010911584718,-0.31152239459777453
0,3,2,0.17463809808709393,0.6594010911584718,-0.4847629930713778
0,3,5,0.619165547747442,0.6775727744604596,-0.05840722671301757
0,3,10,0.8310887814358705,0.9309799463605286,-0.0998911649246581
0,3,25,0.8632414916797846,0.8540588561862896,0.009182635493494962
0,3,50,0.6336775589536179,0.9550222854331738,-0.3213447264795559
0,3,100,0.8222571435206443,0.9696580768329569,-0.14740093331231263
0,3,250,0.8678396355799883,0.9917987988584164,-0.12395916327842804
0,3,500,0.4266760436695208,0.99879076788157,-0.5721147242120492
0,3,1000,0.8657639351782119,0.9982757839377795,-0.13251184875956756
0,4,1,0.09918299429197103,0.6594010911584718,-0.5602180968665007
0,4,2,0.3805309174267481,0.43026602860508023,-0.049735111178332125
0,4,5,0.9498585419677885,0.890711937273828,0.05914660469396049
0,4,10,0.8313920295732535,0.8277990262489111,0.0035930033243424253
0,4,25,0.806752087278159,0.9260675064089873,-0.11931541913082833
0,4,50,0.4104545551927357,0.9092354204435791,-0.49878086525084336
0,4,100,0.6616509663087132,0.9589017104094814,-0.2972507441007681
0,4,250,0.395680153420548,0.9729690333867189,-0.5772888799661708
0,4,500,0.5876416629067401,0.9869679129221118,-0.3993262500153717
0,4,1000,0.6000647959968427,0.9976969412402458,-0.39763214524340307
1,0,1,0.4017865344592272,0.2953998236569023,0.10638671080232487
1,0,2,0.8294516675248994,0.2953998236569023,0.5340518438679971
1,0,5,0.1301747626390547,0.7533377172277723,-0.6231629545887176
1,0,10,0.7241656273169856,0.7675225859834406,-0.04335695866645495
1,0,25,0.5480940249784312,0.9401608958802319,-0.3920668709018007
1,0,50,0.6229491117812717,0.941504652674772,-0.31855554089350036
1,0,100,0.8428161657058716,0.9086592874731086,-0.06584312176723706
1,0,250,0.5332553653540629,0.9967012421426183,-0.4634458767885554
1,0,500,0.8037531600931359,0.9975468588523432,-0.19379369875920727
1,0,1000,0.6884557531898503,0.9996126101215792,-0.3111568569317289
1,1,1,0.4017865344592272,0.3907668534875319,0.011019680971695311
1,1,2,0.801351113512114,0.13510756397410936,0.6662435495380046
1,1,5,0.7836373477570895,0.8761568654742684,-0.09251951771717892
1,1,10,0.5550659331896288,0.8238999616708127,-0.2688340284811839
1,1,25,0.583631208008396,0.8970313092045599,-0.3134001011961639
1,1,50,0.6344503865315203,0.9191265442580031,-0.2846761577264828
1,1,100,0.8484647173921631,0.9278939500047407,-0.07942923261257762
1,1,250,0.8414393154875555,0.9943340449954755,-0.15289472950792005
1,1,500,0.8011923107812657,0.998752631112878,-0.1975603203316123
1,1,1000,0.9492008207855684,0.9974036433933722,-0.04820282260780373
1,2,1,0.4017865344592272,0.2953998236569023,0.10638671080232487
1,2,2,0.5050414784848298,0.3907668534875319,0.11427462499729796
1,2,5,0.677680757770766,0.8651666236961314,-0.18748586592536542
1,2,10,0.3510679121548482,0.7524612106341236,-0.4013932984792754
1,2,25,0.7990371928344892,0.9270909488321601,-0.128053755997671
1,2,50,0.6438625102577198,0.9689969766579085,-0.3251344664001887
1,2,100,0.36139163783486195,0.9724265411779831,-0.6110349033431212
1,2,250,0.34642967675344755,0.992773594254483,-0.6463439175010355
1,2,500,0.24921100105819544,0.9960203099994086,-0.7468093089412131
1,2,1000,0.9490310185158204,0.9992150540034113,-0.05018403548759087
1,3,1,0.11838623850454304,0.2953998236569023,-0.17701358515235927
1,3,2,0.5050414784848298,0.10920398662396176,0.3958374918608681
1,3,5,0.6901472452756722,0.739770856622786,-0.049623611347113794
1,3,10,0.62783428569473,0.6790254578110925,-0.05119117211636248
1,3,25,0.8903080483820821,0.8695416148323166,0.020766433549765484
1,3,50,0.656142740744348,0.9184430045313895,-0.2623002637870415
1,3,100,0.531300130533143,0.9916092165060656,-0.46030908597292264
1,3,250,0.8618556674486484,0.9857699072465357,-0.1239142397978873
1,3,500,0.6993644803213106,0.9923608147798757,-0.2929963344585651
1,3,1000,0.014924142648029201,0.9955873880134765,-0.9806632453654472
1,4,1,0.3706232404122684,0.17872575888145595,0.19189748153081246
1,4,2,0.33704520751773875,0.07142539660152485,0.2656198109162139
1,4,5,0.682346676957681,0.739770856622786,-0.057424179665104935
1,4,10,0.4895728254453588,0.8676436700210264,-0.3780708445756676
1,4,25,0.5723471600268988,0.9464071801509496,-0.3740600201240508
1,4,50,0.844379138806447,0.9856939724680049,-0.14131483366155795
