target_id,seed,N,method,true_theta1,true_phi1,true_theta2,true_phi2,fidelity,infidelity,z1_counts_0,z1_counts_1,x1_counts_0,x1_counts_1,y1_counts_0,y1_counts_1,z2_counts_0,z2_counts_1,x2_counts_0,x2_counts_1,y2_counts_0,y2_counts_1
0,0,10,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,2,8,0,0,0,0,7,3,0,0,0,0
0,0,10,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8447751358172366,0.15522486418276338,1,4,5,0,0,0,4,1,4,1,0,0
0,0,10,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8801658445739612,0.11983415542603881,0,3,3,0,2,2,3,0,2,1,2,2
0,0,25,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,9,16,0,0,0,0,23,2,0,0,0,0
0,0,25,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.79889888289464,0.20110111710536005,5,7,12,1,0,0,8,4,9,4,0,0
0,0,25,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.860343929228336,0.13965607077166398,2,6,5,3,7,2,6,2,6,2,8,1
0,0,50,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,12,38,0,0,0,0,43,7,0,0,0,0
0,0,50,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8817459227119471,0.11825407728805293,9,16,20,5,0,0,25,0,17,8,0,0
0,0,50,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.979508132477338,0.020491867522661966,4,12,15,1,10,8,14,2,12,4,15,3
0,0,100,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,15,85,0,0,0,0,85,15,0,0,0,0
0,0,100,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8810564151695635,0.11894358483043654,11,39,47,3,0,0,46,4,28,22,0,0
0,0,100,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.984114168614311,0.015885831385688998,6,27,32,1,25,9,29,4,17,16,27,7
0,0,250,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,51,199,0,0,0,0,218,32,0,0,0,0
0,0,250,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8858545155295794,0.11414548447042061,32,93,116,9,0,0,113,12,77,48,0,0
0,0,250,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.9968825854874866,0.00311741451251335,15,68,72,11,54,30,72,11,52,31,66,18
0,0,500,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,104,396,0,0,0,0,441,59,0,0,0,0
0,0,500,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8875356620766637,0.11246433792333632,58,192,227,23,0,0,219,31,155,95,0,0
0,0,500,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.9958426118071513,0.004157388192848721,42,124,145,21,115,53,139,27,97,69,129,39
0,1,10,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,3,7,0,0,0,0,10,0,0,0,0,0
0,1,10,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8383858041408592,0.16161419585914083,0,5,5,0,0,0,4,1,4,1,0,0
0,1,10,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.4908482123154689,0.5091517876845311,0,3,3,0,0,4,1,2,1,2,4,0
0,1,25,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,4,21,0,0,0,0,24,1,0,0,0,0
0,1,25,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.864631958646484,0.135368041353516,3,9,12,1,0,0,9,3,9,4,0,0
0,1,25,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8632179197114871,0.1367820802885129,0,8,8,0,7,2,8,0,3,5,5,4
0,1,50,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,11,39,0,0,0,0,45,5,0,0,0,0
0,1,50,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8829988073347955,0.11700119266520448,6,19,25,0,0,0,23,2,15,10,0,0
0,1,50,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8846009286298824,0.11539907137011762,1,15,15,1,10,8,11,5,14,2,14,4
0,1,100,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,17,83,0,0,0,0,88,12,0,0,0,0
0,1,100,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8859235608431776,0.11407643915682242,9,41,46,4,0,0,45,5,30,20,0,0
0,1,100,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.9993305527148756,0.0006694472851244138,8,25,29,4,22,12,28,5,21,12,26,8
0,1,250,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,53,197,0,0,0,0,230,20,0,0,0,0
0,1,250,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8817230088321796,0.11827699116782042,27,98,100,25,0,0,111,14,76,49,0,0
0,1,250,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.9982278686034529,0.001772131396547083,18,65,76,7,56,28,77,6,54,29,74,10
0,1,500,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,126,374,0,0,0,0,449,51,0,0,0,0
0,1,500,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8857587329559913,0.11424126704400872,49,201,227,23,0,0,226,24,149,101,0,0
0,1,500,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.9928659638677789,0.007134036132221078,33,133,145,21,104,64,151,15,97,69,124,44
0,2,10,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,1,9,0,0,0,0,9,1,0,0,0,0
0,2,10,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8529140283470412,0.14708597165295878,2,3,5,0,0,0,4,1,3,2,0,0
0,2,10,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6567779173840896,0.34322208261591036,2,1,2,1,3,1,3,0,2,1,3,1
0,2,25,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,5,20,0,0,0,0,22,3,0,0,0,0
0,2,25,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8455401270284635,0.15445987297153652,5,7,13,0,0,0,12,0,8,5,0,0
0,2,25,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.9675892638408857,0.03241073615911427,2,6,8,0,6,3,6,2,5,3,8,1
0,2,50,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,12,38,0,0,0,0,45,5,0,0,0,0
0,2,50,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.872164056916602,0.12783594308339796,3,22,21,4,0,0,22,3,17,8,0,0
0,2,50,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.9362286629208241,0.06377133707917593,4,12,15,1,7,11,15,1,11,5,15,3
0,2,100,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,25,75,0,0,0,0,91,9,0,0,0,0
0,2,100,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8862048464467898,0.11379515355321024,11,39,46,4,0,0,46,4,34,16,0,0
0,2,100,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.9736930325057758,0.02630696749422423,8,25,28,5,27,7,31,2,23,10,29,5
0,2,250,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,59,191,0,0,0,0,216,34,0,0,0,0
0,2,250,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8868093846443931,0.11319061535560693,22,103,115,10,0,0,114,11,81,44,0,0
0,2,250,XYZ_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.997017643889706,0.00298235611029396,22,61,77,6,54,30,68,15,49,34,64,20
0,2,500,Z_only,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.6822772012688751,0.31772279873112486,104,396,0,0,0,0,448,52,0,0,0,0
0,2,500,ZX_split,2.1436716007436747,0.33816743455556175,0.6922809574484173,1.1584422520399775,0.8845705529354025,0.11542944706459746,68,182,213,37,0,0,220,30,170,80,0,0
