method,N,fidelity_mean,fidelity_std,infidelity_mean,infidelity_std
XYZ_split,10,0.8149255515030648,0.1249729468926435,0.18507444849693522,0.12497294689264352
XYZ_split,25,0.9110005819038056,0.06861800053844118,0.08899941809619441,0.0686180005384412
XYZ_split,50,0.9509050826335295,0.03733276443992115,0.049094917366470564,0.037332764439921166
XYZ_split,100,0.9762826122166826,0.016502913214390246,0.023717387783317473,0.016502913214390246
XYZ_split,250,0.989602135156662,0.00748664490650091,0.010397864843338035,0.007486644906500906
XYZ_split,500,0.9947075962077837,0.0034691791615865733,0.005292403792216273,0.0034691791615865737
ZX_split,10,0.751652637823447,0.17661643256521517,0.24834736217655287,0.17661643256521514
ZX_split,25,0.7952637058391913,0.16992634301415094,0.20473629416080869,0.16992634301415094
ZX_split,50,0.8149706442752352,0.16628387190285449,0.18502935572476478,0.16628387190285449
ZX_split,100,0.824360758879946,0.16305595240096518,0.17563924112005413,0.16305595240096524
ZX_split,250,0.8320981039699116,0.15699875057050272,0.16790189603008843,0.15699875057050267
ZX_split,500,0.834182831827539,0.15601879554071646,0.16581716817246092,0.15601879554071643
Z_only,10,0.6710741254299953,0.21983194463482814,0.3289258745700046,0.2198319446348282
Z_only,25,0.6825976219009461,0.2076201163355939,0.31740237809905386,0.2076201163355939
Z_only,50,0.687955392900226,0.20132390208449108,0.312044607099774,0.20132390208449105
Z_only,100,0.6881128606304694,0.2008521835680642,0.31188713936953055,0.20085218356806414
Z_only,250,0.6906939394125817,0.19746197501563117,0.3093060605874183,0.19746197501563115
Z_only,500,0.6914317111166224,0.19661781861530164,0.3085682888833776,0.19661781861530164
