method,N,fidelity_mean,fidelity_std,infidelity_mean,infidelity_std,theta_error_mean,theta_error_std
RL_adaptive,10,0.9074713954631346,0.1192615532083034,0.09252860453686533,0.11926155320830341,0.5141784372550934,0.39314149652502006
RL_adaptive,25,0.909220890296682,0.12875787451310988,0.090779109703318,0.12875787451310988,0.49758171269892354,0.4072258002386264
RL_adaptive,50,0.9718998666452773,0.05908633531952106,0.0281001333547228,0.059086335319521066,0.24105451066255557,0.24760292132274092
RL_adaptive,100,0.9703009357960025,0.07512268367457935,0.0296990642039975,0.07512268367457933,0.22614751433081226,0.2818419136528476
RL_adaptive,250,0.9351648592600349,0.10938650380614472,0.06483514073996514,0.10938650380614469,0.38663977211745165,0.3785447912823385
RL_adaptive,500,0.9225387353917974,0.11350533589691969,0.07746126460820256,0.11350533589691973,0.4342746780387345,0.39417885115224066
ZX_split,10,0.9634020873412931,0.056126668447641914,0.03659791265870693,0.056126668447641914,0.30774381108084503,0.24274726520608936
ZX_split,25,0.9842404024150684,0.025448097788776342,0.01575959758493158,0.025448097788776353,0.19357096417282404,0.16411003429163087
ZX_split,50,0.9922475677109125,0.010314101778241411,0.007752432289087535,0.010314101778241411,0.14413835234771175,0.10247650254065523
ZX_split,100,0.9965567396398763,0.004674232158127623,0.003443260360123697,0.004674232158127616,0.09506605920470619,0.06928114334507712
ZX_split,250,0.9982058070537354,0.0027116380159484,0.0017941929462645999,0.0027116380159483925,0.06823788827874108,0.05044483375143646
ZX_split,500,0.9991132635913488,0.0013510788204478903,0.0008867364086511902,0.0013510788204478868,0.046131412358360074,0.03778930299299436
Z_only,10,0.7064736082455751,0.38773765870682647,0.2935263917544248,0.38773765870682647,0.975992402077964,1.0600208128091728
Z_only,25,0.6933684327169582,0.3980430075649968,0.30663156728304175,0.3980430075649969,1.0033861711543572,1.10801789803521
Z_only,50,0.6947129260614484,0.4053143278084888,0.30528707393855153,0.4053143278084887,0.9895528364310324,1.1306377756442114
Z_only,100,0.6987904045192772,0.40467367222793627,0.3012095954807228,0.4046736722279364,0.9702664372094562,1.1474016887027219
Z_only,250,0.6938227836137253,0.40643424766995656,0.3061772163862747,0.4064342476699566,0.9707064709813593,1.1532807743259987
Z_only,500,0.6940682409671456,0.40624806311773687,0.3059317590328544,0.4062480631177369,0.9621332815131425,1.1605789805148214
