target_id,seed,N,theta1,phi1,theta2,phi2,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
0,0,10,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.2693214047577643,0.7306785952422357,,,,,,,,,
0,0,10,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9172561907669295,0.08274380923307045,,,,,,,,,
0,0,10,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.8918126243471507,0.1081873756528493,,,,,,,,,
0,0,10,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9219493038294665,0.0780506961705335,2.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0
0,0,25,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
0,0,25,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9037877908609995,0.09621220913900053,,,,,,,,,
0,0,25,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9626491971085167,0.03735080289148329,,,,,,,,,
0,0,25,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9366033409077466,0.06339665909225345,4.0,4.0,0.0,0.0,1.0,8.0,4.0,2.0,2.0
0,0,50,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
0,0,50,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9426148620141289,0.05738513798587108,,,,,,,,,
0,0,50,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9932217322937942,0.0067782677062058205,,,,,,,,,
0,0,50,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9048527021308491,0.09514729786915088,3.0,9.0,3.0,5.0,1.0,11.0,6.0,11.0,1.0
0,0,100,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
0,0,100,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9288755887566574,0.07112441124334257,,,,,,,,,
0,0,100,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9616947825458178,0.03830521745418225,,,,,,,,,
0,0,100,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9916516306258147,0.00834836937418526,2.0,6.0,4.0,14.0,1.0,32.0,16.0,17.0,8.0
0,0,250,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
0,0,250,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9379560772545289,0.0620439227454711,,,,,,,,,
0,0,250,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.993524954852029,0.006475045147971037,,,,,,,,,
0,0,250,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9748039814676008,0.025196018532399167,22.0,64.0,12.0,76.0,13.0,16.0,8.0,20.0,19.0
0,0,500,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
0,0,500,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9517212399489362,0.048278760051063796,,,,,,,,,
0,0,500,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9884148267600609,0.011585173239939128,,,,,,,,,
0,0,500,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9947995900185654,0.005200409981434562,23.0,57.0,0.0,0.0,1.0,191.0,210.0,17.0,1.0
0,1,10,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
0,1,10,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.3434203126144527,0.6565796873855473,,,,,,,,,
0,1,10,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.6477799285291427,0.3522200714708573,,,,,,,,,
0,1,10,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.8639195414607336,0.13608045853926642,2.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0
