N,delta_mean,delta_std,count,rl_win_rate,delta_ci95
10,0.007336158944793031,0.1926844826317342,60,0.55,0.04875590109727952
25,-0.00483786593051654,0.0916228725666828,60,0.45,0.023183785492719863
50,0.0017213385015803402,0.044490329655816424,60,0.55,0.011257606647184658
100,-0.008101244780944311,0.02956957367313377,60,0.4166666666666667,0.007482134470846023
250,-0.0017187535749172516,0.012443523991365502,60,0.5,0.003148645997530481
500,-0.004016944595319425,0.009810684729164547,60,0.31666666666666665,0.00248244574663512
