N,F_RL,F_XYZ,F_ORACLE,oracle_gap,rl_gain_over_xyz,oracle_gap_recovered_fraction
10,0.8072615798311219,0.804736880856362,0.932736297222387,0.12799941636602508,0.0025246989747599313,0.019724300676030763
25,0.8943234693924567,0.9147702216782169,0.9747951201941144,0.06002489851589754,-0.020446752285760206,-0.3406378484812415
50,0.9349833038523501,0.9505050170672057,0.9869130086756507,0.03640799160844499,-0.015521713214855626,-0.42632709273793884
100,0.9623320737501893,0.9744617112585854,0.993495213930033,0.019033502671447655,-0.01212963750839613,-0.6372782623238296
250,0.9837833866643337,0.9896595059921427,0.9976521856778987,0.00799267968575601,-0.00587611932780896,-0.7351876415466724
500,0.9911283304380336,0.9948711142943605,0.9987169158975395,0.0038458016031790443,-0.00374278385632687,-0.9732129325737924
