N,delta_mean,delta_std,count,rl_win_rate,delta_ci95
10,0.0025246989747599374,0.1884935165738708,250,0.484,0.02336589839268669
25,-0.020446752285760227,0.09150616163959924,250,0.392,0.011343221316249926
50,-0.015521713214855579,0.06127014642271471,250,0.42,0.007595126038497614
100,-0.012129637508396164,0.03283069398252452,250,0.372,0.00406973498983146
250,-0.005876119327809036,0.01584942278436608,250,0.396,0.001964714803424531
500,-0.003742783856326881,0.009148578709999508,250,0.4,0.001134069566215401
