N,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
10,2.976,0.068,0.14,0.124,3.268,0.22,0.076,0.156,2.972
25,4.812,0.048,8.088,0.192,5.236,0.12,0.464,0.252,5.788
50,7.092,0.44,0.956,0.824,10.464,22.28,0.564,0.676,6.704
100,15.448,2.26,50.644,2.508,11.144,1.536,1.868,2.384,12.208
250,23.884,5.856,5.772,132.944,24.812,17.388,7.432,13.82,18.092
500,47.088,20.412,11.92,272.236,38.508,38.292,25.9,8.432,37.212
