target_id,seed,N,method,plane,alpha1,alpha2,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
0,0,10,Z_only,XY,0.8311653333498784,3.9366481318026545,0.24999999999999994,0.75,,,,,,,,,
0,0,10,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.5071792375591739,0.49282076244082607,,,,,,,,,
0,0,10,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.9729811821455939,0.027018817854406074,,,,,,,,,
0,0,10,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.9900883774443324,0.009911622555667576,,,,,,,,,
0,0,10,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.9729811821455939,0.027018817854406074,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0
0,0,25,Z_only,XY,0.8311653333498784,3.9366481318026545,0.24999999999999994,0.75,,,,,,,,,
0,0,25,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.7069928591868945,0.2930071408131055,,,,,,,,,
0,0,25,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.7878250303709478,0.21217496962905225,,,,,,,,,
0,0,25,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.9777884536623351,0.022211546337664867,,,,,,,,,
0,0,25,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.5432549947299948,0.45674500527000517,5.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,6.0
0,0,50,Z_only,XY,0.8311653333498784,3.9366481318026545,0.25,0.75,,,,,,,,,
0,0,50,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.693344975350624,0.306655024649376,,,,,,,,,
0,0,50,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.8845812039815669,0.11541879601843308,,,,,,,,,
0,0,50,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.996553075000067,0.003446924999933043,,,,,,,,,
0,0,50,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.9455682667044972,0.05443173329550277,6.0,0.0,2.0,0.0,11.0,23.0,2.0,0.0,6.0
0,0,100,Z_only,XY,0.8311653333498784,3.9366481318026545,0.25,0.75,,,,,,,,,
0,0,100,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.6977341283040213,0.30226587169597874,,,,,,,,,
0,0,100,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.9901256949619089,0.009874305038091058,,,,,,,,,
0,0,100,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.989382702405479,0.010617297594521014,,,,,,,,,
0,0,100,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.9551434710682635,0.04485652893173653,14.0,3.0,54.0,2.0,11.0,2.0,1.0,2.0,11.0
0,0,250,Z_only,XY,0.8311653333498784,3.9366481318026545,0.24999999999999983,0.7500000000000002,,,,,,,,,
0,0,250,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.7075790738307641,0.2924209261692359,,,,,,,,,
0,0,250,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.9938249568392726,0.006175043160727367,,,,,,,,,
0,0,250,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.9961284689618911,0.0038715310381088885,,,,,,,,,
0,0,250,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.9949998018592057,0.005000198140794332,22.0,1.0,9.0,126.0,34.0,18.0,7.0,20.0,13.0
0,0,500,Z_only,XY,0.8311653333498784,3.9366481318026545,0.25,0.75,,,,,,,,,
0,0,500,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.7114573197985696,0.28854268020143037,,,,,,,,,
0,0,500,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.9923952649086297,0.007604735091370274,,,,,,,,,
0,0,500,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.9985770160123267,0.0014229839876732653,,,,,,,,,
0,0,500,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.9984558656543185,0.0015441343456814582,15.0,21.0,12.0,259.0,71.0,37.0,40.0,10.0,35.0
0,1,10,Z_only,XY,0.8311653333498784,3.9366481318026545,0.24999999999999983,0.7500000000000002,,,,,,,,,
0,1,10,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.7003490979311219,0.2996509020688781,,,,,,,,,
0,1,10,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.8391193133125976,0.1608806866874024,,,,,,,,,
0,1,10,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.9789923417180594,0.021007658281940622,,,,,,,,,
0,1,10,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.9398883926781147,0.06011160732188525,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0
0,1,25,Z_only,XY,0.8311653333498784,3.9366481318026545,0.24999999999999994,0.75,,,,,,,,,
0,1,25,ZX_split,XY,0.8311653333498784,3.9366481318026545,0.6713941127582306,0.3286058872417694,,,,,,,,,
0,1,25,XYZ_split,XY,0.8311653333498784,3.9366481318026545,0.9666333965206464,0.03336660347935361,,,,,,,,,
0,1,25,ORACLE_plane,XY,0.8311653333498784,3.9366481318026545,0.9940110319334968,0.005988968066503175,,,,,,,,,
0,1,25,RL_adaptive,XY,0.8311653333498784,3.9366481318026545,0.9242912878082837,0.07570871219171627,5.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,7.0
