plane,N,q1_X,q1_Y,q1_Z,q2_X,q2_Y,q2_Z
XY,10,3.6222222222222222,3.088888888888889,3.2888888888888888,3.488888888888889,3.3777777777777778,3.1333333333333333
XY,25,5.644444444444445,6.622222222222222,12.733333333333333,5.4222222222222225,14.366666666666667,5.211111111111111
XY,50,32.98888888888889,8.333333333333334,8.677777777777777,12.377777777777778,28.977777777777778,8.644444444444444
XY,100,14.61111111111111,16.344444444444445,69.04444444444445,15.988888888888889,65.57777777777778,18.433333333333334
XY,250,172.7111111111111,46.24444444444445,31.044444444444444,55.17777777777778,43.34444444444444,151.4777777777778
XY,500,362.5888888888889,85.37777777777778,52.03333333333333,77.58888888888889,99.85555555555555,322.55555555555554
XZ,10,3.5142857142857142,3.357142857142857,3.1285714285714286,3.585714285714286,3.242857142857143,3.1714285714285713
XZ,25,5.3,6.428571428571429,13.271428571428572,5.714285714285714,13.685714285714285,5.6
XZ,50,33.91428571428571,7.5,8.585714285714285,12.314285714285715,29.2,8.485714285714286
XZ,100,14.442857142857143,14.885714285714286,70.67142857142858,14.82857142857143,65.88571428571429,19.285714285714285
XZ,250,189.57142857142858,21.814285714285713,38.614285714285714,47.2,29.714285714285715,173.0857142857143
XZ,500,354.3,49.68571428571428,96.01428571428572,88.62857142857143,61.48571428571429,349.8857142857143
YZ,10,3.6777777777777776,3.2,3.1222222222222222,3.422222222222222,3.3555555555555556,3.2222222222222223
YZ,25,5.644444444444445,6.444444444444445,12.911111111111111,5.511111111111111,13.866666666666667,5.622222222222222
YZ,50,33.87777777777778,7.9,8.222222222222221,10.21111111111111,31.477777777777778,8.311111111111112
YZ,100,16.344444444444445,17.8,65.85555555555555,16.333333333333332,62.03333333333333,21.633333333333333
YZ,250,166.35555555555555,46.077777777777776,37.56666666666667,31.68888888888889,48.13333333333333,170.17777777777778
YZ,500,331.3888888888889,74.71111111111111,93.9,40.56666666666667,95.16666666666667,364.26666666666665
