trial_id,N,method,true_theta,theta_hat,theta_error,fidelity,infidelity,z_counts_0,z_counts_1,x_counts_0,x_counts_1,z_shots,x_shots,reward,z_fraction,x_fraction
0,10,Z_only,2.133674909166719,3.141592653589793,1.0079177444230742,0.7668114437069864,0.2331885562930136,0,10,0,0,10,0,,1.0,0.0
0,10,ZX_split,2.133674909166719,2.819842099193151,0.6861671900264321,0.8868400350612462,0.1131599649387538,1,4,3,2,5,5,,0.5,0.5
0,10,RL_adaptive,2.133674909166719,2.214297435588181,0.08062252642146195,0.9983758820737698,0.0016241179262301841,1,3,5,1,4,6,0.9983758820737698,0.4,0.6
0,25,Z_only,2.133674909166719,2.117647277490841,0.016027631675878062,0.9999357801304931,6.42198695068874e-05,6,19,0,0,25,0,,1.0,0.0
0,25,ZX_split,2.133674909166719,1.807041587513334,0.32663332165338477,0.9735639643251153,0.026436035674884728,5,7,11,2,12,13,,0.48,0.52
0,25,RL_adaptive,2.133674909166719,2.111215827065481,0.022459082101237815,0.9998739027083247,0.00012609729167534223,3,12,10,0,15,10,0.9998739027083247,0.6,0.4
0,50,Z_only,2.133674909166719,2.165182126795959,0.031507217629239914,0.9997518443391106,0.0002481556608894264,11,39,0,0,50,0,,1.0,0.0
0,50,ZX_split,2.133674909166719,2.0852476398539244,0.04842726931279451,0.9994138144703734,0.0005861855296266372,6,19,24,1,25,25,,0.5,0.5
0,50,RL_adaptive,2.133674909166719,2.2640194526358832,0.13034454346916435,0.9957585851320977,0.0042414148679023045,4,22,22,2,26,24,0.9957585851320977,0.52,0.48
0,100,Z_only,2.133674909166719,2.117647277490841,0.016027631675878062,0.9999357801304931,6.42198695068874e-05,24,76,0,0,100,0,,1.0,0.0
0,100,ZX_split,2.133674909166719,1.9936502529278373,0.1400246562388816,0.9951062776516387,0.0048937223483612735,16,34,45,5,50,50,,0.5,0.5
0,100,RL_adaptive,2.133674909166719,2.1245151260471866,0.00915978311953225,0.9999790247399563,2.097526004374295e-05,17,48,31,4,65,35,0.9999790247399563,0.65,0.35
0,250,Z_only,2.133674909166719,2.0990200959485676,0.034654813218151226,0.9996997910268239,0.00030020897317606376,62,188,0,0,250,0,,1.0,0.0
0,250,ZX_split,2.133674909166719,2.045595889821317,0.08807901934540174,0.9980617751224259,0.0019382248775741129,35,90,116,9,125,125,,0.5,0.5
0,250,RL_adaptive,2.133674909166719,2.1179577714066253,0.015717137760093536,0.9999382441664605,6.175583353951186e-05,33,96,109,12,129,121,0.9999382441664605,0.516,0.484
0,500,Z_only,2.133674909166719,2.15076771037372,0.017092801207001074,0.9999269608150347,7.30391849652623e-05,113,387,0,0,500,0,,1.0,0.0
0,500,ZX_split,2.133674909166719,2.0815471158972465,0.05212779326947237,0.9993208271065399,0.0006791728934600894,60,190,241,9,250,250,,0.5,0.5
0,500,RL_adaptive,2.133674909166719,2.067845940824834,0.06582896834188467,0.9989170279005769,0.0010829720994230962,71,192,219,18,263,237,0.9989170279005769,0.526,0.474
1,10,Z_only,4.666653993610709,1.5707963267948966,3.095857666815813,0.0005228311109311569,0.9994771688890688,5,5,0,0,10,0,,1.0,0.0
1,10,ZX_split,4.666653993610709,5.252808480655274,0.5861544870445643,0.9165370116966252,0.08346298830337484,4,1,0,5,5,5,,0.5,0.5
1,10,RL_adaptive,4.666653993610709,4.71238898038469,0.045734986773980246,0.9994771688890689,0.000522831110931099,3,3,0,4,6,4,0.9994771688890689,0.6,0.4
1,25,Z_only,4.666653993610709,1.4505064444001083,3.0670377579689854,0.0013889645642674788,0.9986110354357325,14,11,0,0,25,0,,1.0,0.0
1,25,ZX_split,4.666653993610709,4.547240302970063,0.11941369064064666,0.9964393267970634,0.003560673202936626,5,7,0,13,12,13,,0.48,0.52
1,25,RL_adaptive,4.666653993610709,4.789160871654468,0.12250687804375815,0.9962527063219424,0.003747293678057595,7,6,0,12,13,12,0.9962527063219424,0.52,0.48
1,50,Z_only,4.666653993610709,1.5707963267948966,3.095857666815813,0.0005228311109311569,0.9994771688890688,25,25,0,0,50,0,,1.0,0.0
1,50,ZX_split,4.666653993610709,4.439380277297979,0.2272737163127303,0.987142153596832,0.012857846403168005,9,16,0,25,25,25,,0.5,0.5
1,50,RL_adaptive,4.666653993610709,5.013309214745115,0.34665522113440517,0.9702571867078124,0.029742813292187642,19,10,0,21,29,21,0.9702571867078124,0.58,0.42
1,100,Z_only,4.666653993610709,1.4303349120850408,3.0468662256539174,0.0022415971128802157,0.9977584028871198,57,43,0,0,100,0,,1.0,0.0
1,100,ZX_split,4.666653993610709,4.553733718198288,0.11292027541242167,0.9968156386547969,0.0031843613452030572,21,29,0,50,50,50,,0.5,0.5
1,100,RL_adaptive,4.666653993610709,4.6553081979784245,0.011345795632284883,0.9999678185755881,3.2181424411859005e-05,33,37,0,30,70,30,0.9999678185755881,0.7,0.3
1,250,Z_only,4.666653993610709,1.6028017906463472,3.0638522029643624,0.00151013363515822,0.9984898663648418,121,129,0,0,250,0,,1.0,0.0
1,250,ZX_split,4.666653993610709,4.592960054366351,0.0736939392443583,0.998642915167454,0.0013570848325460405,55,70,0,125,125,125,,0.5,0.5
1,250,RL_adaptive,4.666653993610709,4.5570247265331565,0.10962926707755294,0.9969983640399761,0.003001635960023896,70,96,0,84,166,84,0.9969983640399761,0.664,0.336
1,500,Z_only,4.666653993610709,1.6669443977002805,2.9997095959104287,0.0050242634858588195,0.9949757365141412,226,274,0,0,500,0,,1.0,0.0
1,500,ZX_split,4.666653993610709,4.68839358679282,0.021739593182110717,0.9998818521753319,0.00011814782466812446,122,128,0,250,250,250,,0.5,0.5
1,500,RL_adaptive,4.666653993610709,4.673539279516133,0.006885285905423366,0.9999881482563218,1.185174367823727e-05,136,147,0,217,283,217,0.9999881482563218,0.566,0.434
2,10,Z_only,4.577941125195747,1.7721542475852272,2.8057868776105197,0.027927455614725812,0.9720725443852742,4,6,0,0,10,0,,1.0,0.0
2,10,ZX_split,4.577941125195747,4.514993420534809,0.06294770466093791,0.9990097236746321,0.000990276325367856,2,3,0,5,5,5,,0.5,0.5
2,10,RL_adaptive,4.577941125195747,4.3906384259880475,0.1873026992076996,0.9912550357482449,0.008744964251755083,2,4,0,4,6,4,0.9912550357482449,0.6,0.4
2,25,Z_only,4.577941125195747,1.7721542475852272,2.8057868776105197,0.027927455614725812,0.9720725443852742,10,15,0,0,25,0,,1.0,0.0
2,25,ZX_split,4.577941125195747,4.877537657799317,0.29959653260356944,0.9777278220665362,0.02227217793346381,7,5,0,13,12,13,,0.48,0.52
2,25,RL_adaptive,4.577941125195747,4.635617089114912,0.05767596391916463,0.9991686013066484,0.0008313986933515816,6,7,0,12,13,12,0.9991686013066484,0.52,0.48
2,50,Z_only,4.577941125195747,1.6508819068285556,2.9270592183671917,0.011462085868389468,0.9885379141316105,23,27,0,0,50,0,,1.0,0.0
2,50,ZX_split,4.577941125195747,4.592960054366351,0.01501892917060399,0.9999436090016559,5.6390998344091336e-05,11,14,0,25,25,25,,0.5,0.5
2,50,RL_adaptive,4.577941125195747,4.349844743120181,0.2280963820755657,0.9870493063383582,0.01295069366164181,9,20,0,21,29,21,0.9870493063383582,0.58,0.42
2,100,Z_only,4.577941125195747,1.792610797291691,2.785330327904056,0.031396515182069686,0.9686034848179303,39,61,0,0,100,0,,1.0,0.0
2,100,ZX_split,4.577941125195747,4.632558994672452,0.054617869476705216,0.9992544074599226,0.0007455925400774444,23,27,0,50,50,50,,0.5,0.5
2,100,RL_adaptive,4.577941125195747,4.626883686706485,0.048942561510737725,0.9994012759465263,0.0005987240534737204,32,38,0,30,70,30,0.9994012759465263,0.7,0.3
2,250,Z_only,4.577941125195747,1.6910862091896848,2.8868549160060626,0.016135291550262047,0.983864708449738,110,140,0,0,250,0,,1.0,0.0
2,250,ZX_split,4.577941125195747,4.499657199693079,0.07828392550266816,0.9984686890287287,0.001531310971271349,49,76,0,125,125,125,,0.5,0.5
2,250,RL_adaptive,4.577941125195747,4.66999016245875,0.09204903726300273,0.9978832389323132,0.0021167610676867676,79,86,0,85,165,85,0.9978832389323132,0.66,0.34
2,500,Z_only,4.577941125195747,1.6709637479564563,2.906977377239291,0.013698075219227659,0.9863019247807724,225,275,0,0,500,0,,1.0,0.0
2,500,ZX_split,4.577941125195747,4.615135782133124,0.03719465693737689,0.9996541792451797,0.00034582075482025854,113,137,2,248,250,250,,0.5,0.5
2,500,RL_adaptive,4.577941125195747,4.68376533184456,0.10582420664881287,0.997202921102626,0.002797078897374017,137,145,1,217,282,218,0.997202921102626,0.564,0.436
3,10,Z_only,1.7412196463006238,1.9823131728623844,0.24109352656176064,0.9855387300024766,0.014461269997523396,3,7,0,0,10,0,,1.0,0.0
3,10,ZX_split,1.7412196463006238,0.7853981633974483,0.9558214829031755,0.7884689876307858,0.21153101236921423,5,0,5,0,5,5,,0.5,0.5
3,10,RL_adaptive,1.7412196463006238,1.7681918866447774,0.026972240344153686,0.999818135588662,0.00018186441133805076,2,3,5,0,5,5,0.999818135588662,0.5,0.5
3,25,Z_only,1.7412196463006238,1.8545904360032244,0.11337078970260062,0.9967902061606151,0.0032097938393849113,9,16,0,0,25,0,,1.0,0.0
3,25,ZX_split,1.7412196463006238,2.0344439357957027,0.29322428949507895,0.9786584516934389,0.021341548306561098,3,9,13,0,12,13,,0.48,0.52
3,25,RL_adaptive,1.7412196463006238,1.5707963267948966,0.1704233195057272,0.9927565302076073,0.007243469792392654,7,7,10,1,14,11,0.9927565302076073,0.56,0.44
3,50,Z_only,1.7412196463006238,1.2870022175865687,0.454217428714055,0.9493023318379913,0.05069766816200871,32,18,0,0,50,0,,1.0,0.0
3,50,ZX_split,1.7412196463006238,1.7681918866447774,0.026972240344153686,0.999818135588662,0.00018186441133805076,10,15,25,0,25,25,,0.5,0.5
3,50,RL_adaptive,1.7412196463006238,1.9756881130799802,0.2344684667793564,0.986318983863879,0.01368101613612105,8,20,22,0,28,22,0.986318983863879,0.56,0.44
3,100,Z_only,1.7412196463006238,1.9177132243220583,0.1764935780214345,0.9922326982811676,0.007767301718832442,33,67,0,0,100,0,,1.0,0.0
3,100,ZX_split,1.7412196463006238,1.892546881191539,0.15132723489091515,0.9942859338024445,0.005714066197555545,17,33,49,1,50,50,,0.5,0.5
3,100,RL_adaptive,1.7412196463006238,1.9184031865507987,0.1771835402501749,0.9921720097842033,0.00782799021579672,22,47,31,0,69,31,0.9921720097842033,0.69,0.31
3,250,Z_only,1.7412196463006238,1.731486979746807,0.00973266655381666,0.9999763189873706,2.368101262939515e-05,105,145,0,0,250,0,,1.0,0.0
3,250,ZX_split,1.7412196463006238,1.6614562139956417,0.07976343230498206,0.9984102918223755,0.0015897081776244937,57,68,123,2,125,125,,0.5,0.5
3,250,RL_adaptive,1.7412196463006238,1.6865555445157072,0.05466410178491654,0.9992531449989055,0.0007468550010945041,57,72,121,0,129,121,0.9992531449989055,0.516,0.484
3,500,Z_only,1.7412196463006238,1.7355405269934638,0.005679119307159919,0.999991936922645,8.063077355013881e-06,209,291,0,0,500,0,,1.0,0.0
3,500,ZX_split,1.7412196463006238,1.8804992713373527,0.13927962503672897,0.9951581313193263,0.004841868680673711,85,165,250,0,250,250,,0.5,0.5
