N,n_pairs,mean_fidelity_difference_RL_minus_ZX,ci95_low,ci95_high,rl_win_rate,tie_rate,rl_loss_rate
10,2000,0.002985471099216272,-0.00024553228464782914,0.0062522674334025,0.4435,0.112,0.4445
25,2000,0.0011971511612521792,-9.068243609428577e-05,0.002486791372406029,0.4905,0.022,0.4875
50,2000,0.0006259996309495165,-3.335166021340892e-05,0.0013075692854389812,0.502,0.009,0.489
100,2000,0.0002848526066637422,-5.9145752739519415e-05,0.000622017332414659,0.51,0.0075,0.4825
250,2000,0.00011103596235077106,-2.054512741217915e-05,0.0002404849340665227,0.5075,0.0,0.4925
500,2000,5.968500868522381e-05,-9.852552279596052e-06,0.00012914497340965102,0.491,0.0,0.509
