method,N,noise,n_trials,fidelity_mean,fidelity_ci95_low,fidelity_ci95_high,infidelity_mean,infidelity_ci95_low,infidelity_ci95_high
RL_adaptive,5,0.0,2000,0.6706870715079258,0.6617969908662363,0.6795948380962658,0.3293129284920742,0.32059680935227025,0.3382114642458468
RL_adaptive,5,0.05,2000,0.6268777922453839,0.6171922614090948,0.636655466016734,0.37312220775461613,0.3633916299572113,0.38283285548420926
RL_adaptive,5,0.1,2000,0.5718307660552776,0.5610783720319837,0.5820152437962238,0.42816923394472234,0.41767119072579045,0.43878881420188476
RL_adaptive,5,0.15,2000,0.5335275741159177,0.5228701858124809,0.5438885249167853,0.46647242588408233,0.4558867350001344,0.47727462567537104
RL_adaptive,10,0.0,2000,0.79682360305824,0.7904156104670569,0.8028687477827934,0.20317639694175996,0.19705309751419142,0.20932399800388574
RL_adaptive,10,0.05,2000,0.7542904387468043,0.7466960491493501,0.7615644468883414,0.24570956125319565,0.23828613558201692,0.25328676026912267
RL_adaptive,10,0.1,2000,0.6971208739402307,0.6882058614263271,0.7060315477044755,0.3028791260597693,0.29382010188810515,0.3120541081947995
RL_adaptive,10,0.15,2000,0.6546196982611948,0.6453249171316072,0.6641760432812333,0.3453803017388053,0.3359373065904794,0.35494043133186803
RL_adaptive,25,0.0,2000,0.9100918995564566,0.9071138062731253,0.91294873481498,0.0899081004435433,0.08709739262370651,0.09282406761815092
RL_adaptive,25,0.05,2000,0.885024569558385,0.8812507239982001,0.8887307464186617,0.11497543044161491,0.11126449204178271,0.11876928503303366
RL_adaptive,25,0.1,2000,0.8511874016675416,0.8461464220385929,0.8561590023888079,0.14881259833245833,0.14386734360156017,0.15380519993463845
RL_adaptive,25,0.15,2000,0.8092901545706099,0.8028882546267172,0.815587385850465,0.19070984542938993,0.18456847780096838,0.19709708106373897
RL_adaptive,50,0.0,2000,0.9524423231705975,0.95087011355574,0.9539729936282946,0.047557676829402526,0.04600123222156079,0.049105244105583576
RL_adaptive,50,0.05,2000,0.9394048058584642,0.9373598414881441,0.9413606788987122,0.06059519414153575,0.05864937653994737,0.0625743223488183
RL_adaptive,50,0.1,2000,0.9202101320019058,0.9176853667716195,0.9227154386760411,0.07978986799809425,0.07725320687919547,0.08230731417385158
RL_adaptive,50,0.15,2000,0.8930005186676332,0.8892744037556581,0.8967567604971394,0.10699948133236682,0.10330146229279487,0.1108112517950606
RL_adaptive,100,0.0,2000,0.9703799266803819,0.9693274225053621,0.9713867658331312,0.02962007331961813,0.028596296293722012,0.03065223672091538
RL_adaptive,100,0.05,2000,0.9624473527973193,0.96110271764223,0.9637435797171829,0.03755264720268059,0.036280191143646646,0.03888753154308315
RL_adaptive,100,0.1,2000,0.9501701728292017,0.9483276786188429,0.9519835270899202,0.04982982717079827,0.048043022547881765,0.05164260809213553
RL_adaptive,100,0.15,2000,0.9325754656698181,0.9298538809309195,0.935159639527634,0.06742453433018189,0.0648431862509203,0.07011165479493368
XYZ_split,5,0.0,2000,0.6593018076920464,0.6504458440856037,0.6681586019403744,0.34069819230795356,0.33196670797807903,0.3495796712491163
XYZ_split,5,0.05,2000,0.6172949352208298,0.6076094638343219,0.6266928561867129,0.38270506477917027,0.3732262783613136,0.3925798306050288
XYZ_split,5,0.1,2000,0.5628042065189216,0.5524146150491224,0.5732883848935809,0.4371957934810785,0.42677829235897813,0.4477219061479953
XYZ_split,5,0.15,2000,0.5203064357647889,0.50922183885236,0.5309738365334334,0.47969356423521103,0.468801424139382,0.4905868950806912
XYZ_split,10,0.0,2000,0.8088609823102687,0.8027704116111752,0.8149290053071534,0.19113901768973124,0.18515730195217028,0.19714558106404195
XYZ_split,10,0.05,2000,0.7620204530156494,0.7543829661560574,0.7694895781840776,0.2379795469843507,0.230522803183761,0.24562690263912645
XYZ_split,10,0.1,2000,0.7146901587502419,0.7060428045141005,0.723100773840001,0.28530984124975817,0.2769389459960954,0.29404035524497607
XYZ_split,10,0.15,2000,0.6557827159017627,0.6459638773991719,0.6652441024103652,0.3442172840982373,0.3345981855247253,0.35371432205824915
XYZ_split,25,0.0,2000,0.9108997729652939,0.9080722070866025,0.9136940473006998,0.08910022703470608,0.08621499483727611,0.09200071186028612
XYZ_split,25,0.05,2000,0.8864867929364169,0.8827913550791165,0.890192604030734,0.1135132070635832,0.10983345912291868,0.11720459042302554
XYZ_split,25,0.1,2000,0.8556922058521991,0.8507652906291612,0.8604668425911913,0.14430779414780084,0.13962911019320878,0.1491036038032793
XYZ_split,25,0.15,2000,0.8113318748078173,0.8049996735897905,0.8176479570989008,0.18866812519218268,0.18232066395975732,0.19496545263621673
XYZ_split,50,0.0,2000,0.9535793368663738,0.9520988488926947,0.9550085305178431,0.046420663133626305,0.044986754739721094,0.04790084825992151
XYZ_split,50,0.05,2000,0.941234260568178,0.9392917602685484,0.9431603524766379,0.05876573943182194,0.05685668825001728,0.06071662483201603
XYZ_split,50,0.1,2000,0.9229816482461551,0.9202582037187542,0.9256028193042476,0.07701835175384476,0.07445877100992379,0.07980750600941332
XYZ_split,50,0.15,2000,0.8969516187101465,0.89349605813225,0.9002348082541027,0.10304838128985361,0.09974086092508516,0.10643616180419514
XYZ_split,100,0.0,2000,0.9764138935075364,0.9756451032863803,0.9771771023543969,0.023586106492463635,0.022836887420640353,0.024348408616496293
XYZ_split,100,0.05,2000,0.9700749742674758,0.9691109540790636,0.9710238102306883,0.02992502573252425,0.02897922986759087,0.030908340729416343
XYZ_split,100,0.1,2000,0.9600654885783533,0.9587969088409964,0.9612813750683176,0.03993451142164666,0.03869924431698259,0.04118731730689627
XYZ_split,100,0.15,2000,0.946407483050438,0.9446516980632973,0.9481369881200176,0.05359251694956189,0.0518534519515197,0.05532880364308001
ZX_split,5,0.0,2000,0.6255397159516274,0.6163231365117472,0.6344407965604342,0.3744602840483727,0.3653409383745831,0.38359320466338653
ZX_split,5,0.05,2000,0.594827819536461,0.5848206299435189,0.6046454269117943,0.405172180463539,0.3952596217081453,0.41500016060291833
ZX_split,5,0.1,2000,0.5574383675491442,0.5476650360277432,0.5675047491727203,0.44256163245085584,0.4323188130093535,0.45240316584390294
ZX_split,5,0.15,2000,0.5213253309046525,0.5109995483182757,0.5316281343029029,0.47867466909534756,0.4681658170094591,0.4892005318587971
ZX_split,10,0.0,2000,0.6973525386474216,0.689545075178442,0.7050960496541067,0.30264746135257853,0.29459181742024537,0.31089838871873604
ZX_split,10,0.05,2000,0.6674469830125808,0.6589215947051505,0.6757852923200623,0.3325530169874192,0.3242491871117215,0.341200988971042
ZX_split,10,0.1,2000,0.6388307266910271,0.6295048413152093,0.6479758512958766,0.3611692733089729,0.3518600321936253,0.3703606796006226
ZX_split,10,0.15,2000,0.6085235977438418,0.5990318417119065,0.6178781183463237,0.39147640225615815,0.3819586269010366,0.40100907868899804
ZX_split,25,0.0,2000,0.7481395285501566,0.7408998349443499,0.7552567741262787,0.2518604714498434,0.24481880428766567,0.2591866918590584
ZX_split,25,0.05,2000,0.7366736369086732,0.729157739173166,0.7438354550023529,0.26332636309132684,0.25608844807132447,0.27052690796279083
ZX_split,25,0.1,2000,0.7195977906621176,0.7118731442671847,0.7270423783085762,0.28040220933788224,0.2726410611005014,0.2879660037402998
