target_id,seed,N,method,fidelity,infidelity
0,0,10,Z_only,0.12654871031781248,0.8734512896821875
0,0,10,ZX_split,0.5799994027740675,0.4200005972259325
0,0,10,XYZ_split,0.21140892721074442,0.7885910727892556
0,0,10,RL_adaptive,0.6188084209432877,0.3811915790567123
0,0,25,Z_only,0.12654871031781248,0.8734512896821875
0,0,25,ZX_split,0.12654871031781248,0.8734512896821875
0,0,25,XYZ_split,0.21140892721074442,0.7885910727892556
0,0,25,RL_adaptive,0.12654871031781248,0.8734512896821875
0,0,50,Z_only,0.12654871031781248,0.8734512896821875
0,0,50,ZX_split,0.12654871031781248,0.8734512896821875
0,0,50,XYZ_split,0.21140892721074442,0.7885910727892556
0,0,50,RL_adaptive,0.04323394152815496,0.956766058471845
0,0,100,Z_only,0.12654871031781248,0.8734512896821875
0,0,100,ZX_split,0.12654871031781248,0.8734512896821875
0,0,100,XYZ_split,0.5799994027740675,0.4200005972259325
0,0,100,RL_adaptive,0.6188084209432877,0.3811915790567123
0,0,250,Z_only,0.12654871031781248,0.8734512896821875
0,0,250,ZX_split,0.12654871031781248,0.8734512896821875
0,0,250,XYZ_split,0.21140892721074442,0.7885910727892556
0,0,250,RL_adaptive,0.6188084209432877,0.3811915790567123
0,0,500,Z_only,0.12654871031781248,0.8734512896821875
0,0,500,ZX_split,0.12654871031781248,0.8734512896821875
0,0,500,XYZ_split,0.21140892721074442,0.7885910727892556
0,0,500,RL_adaptive,0.12654871031781248,0.8734512896821875
0,1,10,Z_only,0.12654871031781248,0.8734512896821875
0,1,10,ZX_split,0.21140892721074442,0.7885910727892556
0,1,10,XYZ_split,0.21140892721074442,0.7885910727892556
0,1,10,RL_adaptive,0.6188084209432877,0.3811915790567123
0,1,25,Z_only,0.12654871031781248,0.8734512896821875
0,1,25,ZX_split,0.12654871031781248,0.8734512896821875
0,1,25,XYZ_split,0.5799994027740675,0.4200005972259325
0,1,25,RL_adaptive,0.12654871031781248,0.8734512896821875
0,1,50,Z_only,0.12654871031781248,0.8734512896821875
0,1,50,ZX_split,0.12654871031781248,0.8734512896821875
0,1,50,XYZ_split,0.21140892721074442,0.7885910727892556
0,1,50,RL_adaptive,0.04323394152815496,0.956766058471845
0,1,100,Z_only,0.12654871031781248,0.8734512896821875
0,1,100,ZX_split,0.12654871031781248,0.8734512896821875
0,1,100,XYZ_split,0.21140892721074442,0.7885910727892556
0,1,100,RL_adaptive,0.12654871031781248,0.8734512896821875
0,1,250,Z_only,0.12654871031781248,0.8734512896821875
0,1,250,ZX_split,0.12654871031781248,0.8734512896821875
0,1,250,XYZ_split,0.12654871031781248,0.8734512896821875
0,1,250,RL_adaptive,0.6188084209432877,0.3811915790567123
0,1,500,Z_only,0.12654871031781248,0.8734512896821875
0,1,500,ZX_split,0.12654871031781248,0.8734512896821875
0,1,500,XYZ_split,0.21140892721074442,0.7885910727892556
0,1,500,RL_adaptive,0.12654871031781248,0.8734512896821875
0,2,10,Z_only,0.12654871031781248,0.8734512896821875
0,2,10,ZX_split,0.12654871031781248,0.8734512896821875
0,2,10,XYZ_split,0.5799994027740675,0.4200005972259325
0,2,10,RL_adaptive,0.6188084209432877,0.3811915790567123
0,2,25,Z_only,0.12654871031781248,0.8734512896821875
0,2,25,ZX_split,0.12654871031781248,0.8734512896821875
0,2,25,XYZ_split,0.21140892721074442,0.7885910727892556
0,2,25,RL_adaptive,0.12654871031781248,0.8734512896821875
0,2,50,Z_only,0.12654871031781248,0.8734512896821875
0,2,50,ZX_split,0.12654871031781248,0.8734512896821875
0,2,50,XYZ_split,0.21140892721074442,0.7885910727892556
0,2,50,RL_adaptive,0.04323394152815496,0.956766058471845
0,2,100,Z_only,0.12654871031781248,0.8734512896821875
0,2,100,ZX_split,0.12654871031781248,0.8734512896821875
0,2,100,XYZ_split,0.12654871031781248,0.8734512896821875
0,2,100,RL_adaptive,0.12654871031781248,0.8734512896821875
0,2,250,Z_only,0.12654871031781248,0.8734512896821875
0,2,250,ZX_split,0.12654871031781248,0.8734512896821875
0,2,250,XYZ_split,0.21140892721074442,0.7885910727892556
0,2,250,RL_adaptive,0.12654871031781248,0.8734512896821875
0,2,500,Z_only,0.12654871031781248,0.8734512896821875
0,2,500,ZX_split,0.12654871031781248,0.8734512896821875
0,2,500,XYZ_split,0.21140892721074442,0.7885910727892556
0,2,500,RL_adaptive,0.6188084209432877,0.3811915790567123
0,3,10,Z_only,0.12654871031781248,0.8734512896821875
0,3,10,ZX_split,0.12654871031781248,0.8734512896821875
0,3,10,XYZ_split,0.21140892721074442,0.7885910727892556
0,3,10,RL_adaptive,0.6188084209432877,0.3811915790567123
0,3,25,Z_only,0.12654871031781248,0.8734512896821875
0,3,25,ZX_split,0.12654871031781248,0.8734512896821875
0,3,25,XYZ_split,0.21140892721074442,0.7885910727892556
0,3,25,RL_adaptive,0.12654871031781248,0.8734512896821875
0,3,50,Z_only,0.12654871031781248,0.8734512896821875
0,3,50,ZX_split,0.12654871031781248,0.8734512896821875
0,3,50,XYZ_split,0.21140892721074442,0.7885910727892556
0,3,50,RL_adaptive,0.16689937942660357,0.8331006205733964
0,3,100,Z_only,0.12654871031781248,0.8734512896821875
0,3,100,ZX_split,0.12654871031781248,0.8734512896821875
0,3,100,XYZ_split,0.21140892721074442,0.7885910727892556
0,3,100,RL_adaptive,0.12654871031781248,0.8734512896821875
0,3,250,Z_only,0.12654871031781248,0.8734512896821875
0,3,250,ZX_split,0.12654871031781248,0.8734512896821875
0,3,250,XYZ_split,0.21140892721074442,0.7885910727892556
0,3,250,RL_adaptive,0.6188084209432877,0.3811915790567123
0,3,500,Z_only,0.12654871031781248,0.8734512896821875
0,3,500,ZX_split,0.12654871031781248,0.8734512896821875
0,3,500,XYZ_split,0.21140892721074442,0.7885910727892556
0,3,500,RL_adaptive,0.12654871031781248,0.8734512896821875
0,4,10,Z_only,0.12654871031781248,0.8734512896821875
0,4,10,ZX_split,0.21140892721074442,0.7885910727892556
0,4,10,XYZ_split,0.5799994027740675,0.4200005972259325
0,4,10,RL_adaptive,0.6188084209432877,0.3811915790567123
0,4,25,Z_only,0.12654871031781248,0.8734512896821875
0,4,25,ZX_split,0.12654871031781248,0.8734512896821875
0,4,25,XYZ_split,0.21140892721074442,0.7885910727892556
0,4,25,RL_adaptive,0.12654871031781248,0.8734512896821875
0,4,50,Z_only,0.12654871031781248,0.8734512896821875
