target_id,seed,N,method,theta1,phi1,theta2,phi2,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
0,0,3,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.2767185697730169,0.7232814302269831,,,,,,,,,
0,0,3,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,0,3,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.916744087928849,0.08325591207115102,,,,,,,,,
0,0,3,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.4201504805951049,0.5798495194048952,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0,6,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,0,6,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6522646796783231,0.34773532032167687,,,,,,,,,
0,0,6,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.8473446347025643,0.15265536529743573,,,,,,,,,
0,0,6,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.3766806232856952,0.6233193767143048,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0,0,9,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,0,9,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.4179817380439946,0.5820182619560055,,,,,,,,,
0,0,9,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.86513196361728,0.13486803638272005,,,,,,,,,
0,0,9,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.9322656165580203,0.06773438344197968,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0
0,0,12,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,0,12,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6542752758853972,0.34572472411460275,,,,,,,,,
0,0,12,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.7623797024715513,0.2376202975284487,,,,,,,,,
0,0,12,RL_adaptive,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.8273252731302428,0.17267472686975716,3.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,1.0
0,0,15,Z_only,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6023311380513263,0.3976688619486737,,,,,,,,,
0,0,15,ZX_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.6641338187752083,0.3358661812247917,,,,,,,,,
0,0,15,XYZ_split,2.431190098653054,1.760787156790011,1.9502513182361134,5.26629580425935,0.8573135701174626,0.14268642988253744,,,,,,,,,
