target_id,seed,theta1,theta2,N,method,l1,kl
0,0,4.287343201487349,0.33816743455556175,10,MLE,0.05663578091671243,0.6365480179186457
0,0,4.287343201487349,0.33816743455556175,10,Dirichlet(alpha=0.5),0.12236736144694052,0.029898604471738803
0,0,4.287343201487349,0.33816743455556175,25,MLE,0.10763751234001244,0.19274133914994415
0,0,4.287343201487349,0.33816743455556175,25,Dirichlet(alpha=0.5),0.09151236723143563,0.02259144122672629
0,0,4.287343201487349,0.33816743455556175,50,MLE,0.14763751234001243,0.19878222161334153
0,0,4.287343201487349,0.33816743455556175,50,Dirichlet(alpha=0.5),0.1286891653286547,0.02005642435569093
0,0,4.287343201487349,0.33816743455556175,100,MLE,0.09099198384939403,0.01145940408703492
0,0,4.287343201487349,0.33816743455556175,100,Dirichlet(alpha=0.5),0.08158021914351173,0.01089477598008625
0,0,4.287343201487349,0.33816743455556175,250,MLE,0.10763263855305948,0.19219593120127523
0,0,4.287343201487349,0.33816743455556175,250,Dirichlet(alpha=0.5),0.09985486077528177,0.013401241419137538
0,0,4.287343201487349,0.33816743455556175,500,MLE,0.038991983849393994,0.001478424594336926
0,0,4.287343201487349,0.33816743455556175,500,Dirichlet(alpha=0.5),0.03728680456652558,0.0016831674881135923
0,0,4.287343201487349,0.33816743455556175,1000,MLE,0.0390080161506059,0.0008890996589499371
0,0,4.287343201487349,0.33816743455556175,1000,Dirichlet(alpha=0.5),0.04003203210562316,0.000948364165081126
0,1,4.287343201487349,0.33816743455556175,10,MLE,0.1876375123400124,0.2458006714659413
0,1,4.287343201487349,0.33816743455556175,10,Dirichlet(alpha=0.5),0.27669755241662086,0.10399133079578904
0,1,4.287343201487349,0.33816743455556175,25,MLE,0.040004873786952874,0.1879527330510198
0,1,4.287343201487349,0.33816743455556175,25,Dirichlet(alpha=0.5),0.09151236723143566,0.01986750020742231
0,1,4.287343201487349,0.33816743455556175,50,MLE,0.05663578091671243,0.6365480179186457
0,1,4.287343201487349,0.33816743455556175,50,Dirichlet(alpha=0.5),0.027747103044602907,0.004630498781743233
0,1,4.287343201487349,0.33816743455556175,100,MLE,0.047637512340012386,0.18831818040067283
0,1,4.287343201487349,0.33816743455556175,100,Dirichlet(alpha=0.5),0.0482401679046,0.009756961571967987
0,1,4.287343201487349,0.33816743455556175,250,MLE,0.09236248765998754,0.005328342147644771
0,1,4.287343201487349,0.33816743455556175,250,Dirichlet(alpha=0.5),0.09490217019967004,0.005795292846848835
0,1,4.287343201487349,0.33816743455556175,500,MLE,0.03099685763634696,0.001169856630759445
0,1,4.287343201487349,0.33816743455556175,500,Dirichlet(alpha=0.5),0.031156220186147884,0.0014823960827135135
0,1,4.287343201487349,0.33816743455556175,1000,MLE,0.033637512340012395,0.0014502894131938199
0,1,4.287343201487349,0.33816743455556175,1000,Dirichlet(alpha=0.5),0.03274729277913423,0.0011718352125394491
0,2,4.287343201487349,0.33816743455556175,10,MLE,0.5890080161506059,0.36820032833170896
0,2,4.287343201487349,0.33816743455556175,10,Dirichlet(alpha=0.5),0.6223673614469405,0.22940819994527556
0,2,4.287343201487349,0.33816743455556175,25,MLE,0.2276326385530595,0.6606806067408917
0,2,4.287343201487349,0.33816743455556175,25,Dirichlet(alpha=0.5),0.16654753940494965,0.02181508322345893
0,2,4.287343201487349,0.33816743455556175,50,MLE,0.10763751234001245,0.1878018646788528
0,2,4.287343201487349,0.33816743455556175,50,Dirichlet(alpha=0.5),0.09022762686711625,0.006466373658950086
0,2,4.287343201487349,0.33816743455556175,100,MLE,0.09236736144694051,0.005599679506149223
0,2,4.287343201487349,0.33816743455556175,100,Dirichlet(alpha=0.5),0.10766147909399934,0.009179667756805586
0,2,4.287343201487349,0.33816743455556175,250,MLE,0.10900801615060596,0.009185309231956047
0,2,4.287343201487349,0.33816743455556175,250,Dirichlet(alpha=0.5),0.1112302383728282,0.008677549018579152
0,2,4.287343201487349,0.33816743455556175,500,MLE,0.01563751234001238,0.0004977580319819519
0,2,4.287343201487349,0.33816743455556175,500,Dirichlet(alpha=0.5),0.013932333057144006,0.00022566437938796504
0,2,4.287343201487349,0.33816743455556175,1000,MLE,0.0390080161506059,0.0009998192557454065
0,2,4.287343201487349,0.33816743455556175,1000,Dirichlet(alpha=0.5),0.0397066189450171,0.0009489211497376165
0,3,4.287343201487349,0.33816743455556175,10,MLE,0.429003142363653,0.7215898627193942
0,3,4.287343201487349,0.33816743455556175,10,Dirichlet(alpha=0.5),0.45570069478027386,0.1136808120919609
0,3,4.287343201487349,0.33816743455556175,25,MLE,0.17099685763634698,0.0416768169721779
0,3,4.287343201487349,0.33816743455556175,25,Dirichlet(alpha=0.5),0.1655864413055097,0.061144306051253566
0,3,4.287343201487349,0.33816743455556175,50,MLE,0.06336421908328746,0.011760613926943355
0,3,4.287343201487349,0.33816743455556175,50,Dirichlet(alpha=0.5),0.09721037292944137,0.02235313513866327
0,3,4.287343201487349,0.33816743455556175,100,MLE,0.08763263855305946,0.18814702829133909
0,3,4.287343201487349,0.33816743455556175,100,Dirichlet(alpha=0.5),0.06880910914129475,0.0039038400818323937
