theta,N,l1_error
0.3141592653589793,10,0.19098300562505266
0.3141592653589793,50,0.08901699437494737
0.3141592653589793,100,0.010983005625052694
0.3141592653589793,500,0.010983005625052694
0.3141592653589793,1000,0.028983005625052696
0.7853981633974483,10,0.19999999999999996
0.7853981633974483,50,0.08000000000000002
0.7853981633974483,100,0.020000000000000018
0.7853981633974483,500,0.0040000000000000036
0.7853981633974483,1000,0.008000000000000007
1.2566370614359172,10,0.4090169943749473
1.2566370614359172,50,0.11098300562505264
1.2566370614359172,100,0.049016994374947304
1.2566370614359172,500,0.01898300562505273
1.2566370614359172,1000,0.02498300562505272
