method,N,fidelity_mean,fidelity_std,infidelity_mean,infidelity_std
RL_adaptive,1,0.40657983304081446,0.23170488960676802,0.5934201669591855,0.23170488960676808
RL_adaptive,2,0.3603092007556232,0.2754507847541983,0.6396907992443768,0.2754507847541983
RL_adaptive,5,0.41561569887664285,0.23746794246796943,0.584384301123357,0.23746794246796943
RL_adaptive,10,0.4385059912254433,0.2443933961626617,0.5614940087745567,0.24439339616266165
RL_adaptive,25,0.46585038816524027,0.2051860497277607,0.5341496118347597,0.2051860497277607
RL_adaptive,50,0.47405123489373174,0.21674829108641702,0.5259487651062683,0.21674829108641708
RL_adaptive,100,0.48452418820199245,0.203539065879183,0.5154758117980075,0.20353906587918302
RL_adaptive,250,0.48426412120114615,0.19999295380101745,0.5157358787988539,0.19999295380101748
RL_adaptive,500,0.4690896001801588,0.2007616541116824,0.5309103998198412,0.20076165411168234
RL_adaptive,1000,0.472538186235929,0.20007078877823609,0.5274618137640711,0.20007078877823609
XYZ_split,1,0.2615970633745383,0.2364133229640549,0.7384029366254617,0.23641332296405496
XYZ_split,2,0.27439245270494256,0.22296094219129206,0.7256075472950574,0.222960942191292
XYZ_split,5,0.3181622456937852,0.21404074056156763,0.6818377543062147,0.2140407405615676
XYZ_split,10,0.33108101764590975,0.203437538405465,0.6689189823540903,0.20343753840546497
XYZ_split,25,0.3521949390702604,0.18181707832567676,0.6478050609297397,0.18181707832567678
XYZ_split,50,0.3544790688865886,0.1791710895098792,0.6455209311134114,0.1791710895098792
XYZ_split,100,0.36746634512374476,0.1681476489197487,0.6325336548762552,0.1681476489197487
XYZ_split,250,0.36622937540474404,0.16237549992047318,0.633770624595256,0.16237549992047312
XYZ_split,500,0.367642534323918,0.16050089180800117,0.632357465676082,0.16050089180800117
XYZ_split,1000,0.369054550943169,0.15849259648734976,0.6309454490568309,0.15849259648734973
ZX_split,1,0.23840502880147627,0.22858129551428194,0.7615949711985237,0.2285812955142819
ZX_split,2,0.2953217232883885,0.23950443448023875,0.7046782767116115,0.23950443448023878
ZX_split,5,0.3089824225826481,0.21379404108873648,0.6910175774173519,0.21379404108873637
ZX_split,10,0.3332718932581106,0.19746511175124484,0.6667281067418894,0.19746511175124487
ZX_split,25,0.33274274255643965,0.2001343359039412,0.6672572574435603,0.20013433590394122
ZX_split,50,0.32810387843639466,0.19228277391290285,0.6718961215636053,0.1922827739129029
ZX_split,100,0.3426233160739418,0.18514183562275477,0.6573766839260582,0.1851418356227548
ZX_split,250,0.34230554275907304,0.1872584164649512,0.6576944572409269,0.18725841646495123
ZX_split,500,0.333419799814451,0.19243467473475162,0.666580200185549,0.19243467473475162
ZX_split,1000,0.3335543880805379,0.19180474953173138,0.666445611919462,0.1918047495317314
Z_only,1,0.26804328898983665,0.222989286139558,0.7319567110101635,0.22298928613955799
Z_only,2,0.29562375209389946,0.21455849625735657,0.7043762479061005,0.21455849625735646
Z_only,5,0.2942000876877117,0.21490576045411786,0.7057999123122882,0.21490576045411788
Z_only,10,0.31208278815568047,0.2063805029190292,0.6879172118443195,0.20638050291902918
Z_only,25,0.30677703987430244,0.20734959834158478,0.6932229601256976,0.20734959834158478
Z_only,50,0.31300427144941023,0.2042592247179283,0.6869957285505898,0.2042592247179283
Z_only,100,0.3163526671956992,0.20311642579503253,0.6836473328043009,0.20311642579503256
Z_only,250,0.32144885602867385,0.19898382498486802,0.6785511439713262,0.19898382498486802
Z_only,500,0.31825754477121104,0.20080522912547127,0.681742455228789,0.20080522912547122
Z_only,1000,0.3183713231008294,0.2021606070716449,0.6816286768991706,0.20216060707164493
