method,N,drift_level,final_fidelity_mean,final_fidelity_std,final_fidelity_count,tracking_fidelity_mean,tracking_fidelity_std,tracking_fidelity_count,final_fidelity_ci95,tracking_fidelity_ci95
Balanced_random,10,0.0,0.7746546080098478,0.14526903577792072,160,0.6760079500097878,0.13978797387685768,160,0.022509670301181266,0.02166037096059841
Balanced_random,10,0.0025,0.7821956630575695,0.1467636938410831,160,0.6776699058896232,0.13473973134881578,160,0.022741269967514983,0.02087813767669101
Balanced_random,10,0.005,0.7802048291060861,0.1516296387164472,160,0.6712973411850398,0.13061859678085805,160,0.023495255937488742,0.02023956125952979
Balanced_random,10,0.01,0.762107712849239,0.1654092951083898,160,0.6547000235323839,0.1551095534385282,160,0.025630435816567532,0.024034474310150204
Balanced_random,25,0.0,0.8595647140213722,0.11351617440150802,160,0.7639311199055339,0.09743017126670155,160,0.017589513456505654,0.0150969614471304
Balanced_random,25,0.0025,0.8533147601783881,0.10780449218254687,160,0.7641436625470935,0.09595541796130873,160,0.016704479127438568,0.014868446054967144
Balanced_random,25,0.005,0.8373082759133197,0.13478551572762776,160,0.7600677347756524,0.09288404385858956,160,0.020885232039687795,0.014392531707125768
Balanced_random,25,0.01,0.8644368765217882,0.09865505828374611,160,0.7641856117002362,0.08660036735262912,160,0.015286759656791687,0.01341886594503811
Balanced_random,50,0.0,0.8837924533369315,0.09147268676803101,160,0.8216339712890193,0.05779581090954412,160,0.014173839660224083,0.008955553682837795
Balanced_random,50,0.0025,0.8743155394486832,0.09166720083094847,160,0.8249909534335103,0.05475967996192555,160,0.014203979926535954,0.008485100318456793
Balanced_random,50,0.005,0.8953413276239655,0.07258452311175784,160,0.8237715191664009,0.054172835519844906,160,0.011247088379604073,0.008394167830066699
Balanced_random,50,0.01,0.8832400583348881,0.08475857836119133,160,0.8325028205129559,0.0520686621383196,160,0.013133477784102088,0.008068122786668295
RL_adaptive,10,0.0,0.781807721572271,0.17293934375967435,160,0.6576600257413763,0.15132870320192873,160,0.0267972289434345,0.023448625496407804
RL_adaptive,10,0.0025,0.7980487285048959,0.13642417746227348,160,0.6816746718705392,0.1357796842843415,160,0.021139145306093902,0.021039280053537345
RL_adaptive,10,0.005,0.7931382900195387,0.1541584044037742,160,0.677393031881312,0.14813324355677834,160,0.023887092240289634,0.022953483894566203
RL_adaptive,10,0.01,0.7835799873973579,0.15770718642440723,160,0.6728603552193426,0.14013155558944598,160,0.024436981711417727,0.021713609498532273
RL_adaptive,25,0.0,0.8902367178425659,0.07830937489398608,160,0.7868199527529305,0.08442093052857733,160,0.012134163353641134,0.013081158710396192
RL_adaptive,25,0.0025,0.881370891624918,0.09302763810056551,160,0.7779635858067588,0.09142644329600337,160,0.014414781865438705,0.014166674159996524
RL_adaptive,25,0.005,0.8969355175806009,0.07273905255851194,160,0.7751436779430885,0.07916679720973469,160,0.0112710329654522,0.012267022317927792
RL_adaptive,25,0.01,0.8762414920895157,0.09413199233810811,160,0.7712700298233542,0.08937006342050789,160,0.014585903327419074,0.013848034797082662
RL_adaptive,50,0.0,0.9058256254861806,0.07340445036221316,160,0.8329442107326708,0.05945111869843778,160,0.011374137423330903,0.00921204628207233
RL_adaptive,50,0.0025,0.909915691034317,0.07262215627886831,160,0.8320904071118143,0.06633492102744523,160,0.01125291969926218,0.010278702503852063
RL_adaptive,50,0.005,0.9100308935171029,0.06706515025239607,160,0.8300509761365642,0.06699646646320577,160,0.010391852694530402,0.010381210031133965
RL_adaptive,50,0.01,0.904903428363095,0.06612707548792943,160,0.8314203987996358,0.06456008239635601,160,0.010246496503839615,0.010003688408730695
XYZ_interleaved,10,0.0,0.782669469338137,0.1587104443346884,160,0.6711610831977388,0.14854038391300112,160,0.024592438135194128,0.02301657094636498
XYZ_interleaved,10,0.0025,0.7566787665722285,0.1752822336966938,160,0.6525559788896826,0.13373862681619847,160,0.027160263500329924,0.020723014922240546
XYZ_interleaved,10,0.005,0.7985961100453339,0.14298205522124033,160,0.675835436662725,0.122304077091575,160,0.022155298992523404,0.018951213085975742
XYZ_interleaved,10,0.01,0.8027682845874935,0.12914910107869484,160,0.6770802007071628,0.1396267981378973,160,0.020011860541427246,0.02163539652110331
XYZ_interleaved,25,0.0,0.8744632904430458,0.09194498855056933,160,0.7801703032504946,0.07569010184706478,160,0.014247023579637237,0.011728302790175274
XYZ_interleaved,25,0.0025,0.8813624965516764,0.08130421422257585,160,0.7766429570382576,0.07922287019496653,160,0.012598218515366194,0.012275710917006138
XYZ_interleaved,25,0.005,0.878383370879107,0.0941080304656576,160,0.7824261205481758,0.07343772056350799,160,0.01458219039681572,0.011379292694431796
XYZ_interleaved,25,0.01,0.8783572583385446,0.08196111209736588,160,0.7918529191368106,0.07355365525995013,160,0.012700005895614765,0.011397256961761066
