target_id,seed,N,method,plane,alpha1,alpha2,fidelity,infidelity,shots_X,shots_Y,shots_Z
0,0,10,Z_only,XY,1.1584422520399775,1.1052493731436484,0.2500000000000001,0.7499999999999999,0,0,10
0,0,10,ZX_split,XY,1.1584422520399775,1.1052493731436484,0.287616461520645,0.712383538479355,5,0,5
0,0,10,XYZ_split,XY,1.1584422520399775,1.1052493731436484,0.9581313499617861,0.04186865003821394,4,3,3
0,0,10,ORACLE_plane,XY,1.1584422520399775,1.1052493731436484,0.8838036960838472,0.11619630391615277,5,5,0
0,0,25,Z_only,XY,1.1584422520399775,1.1052493731436484,0.2500000000000001,0.7499999999999999,0,0,25
0,0,25,ZX_split,XY,1.1584422520399775,1.1052493731436484,0.3862290403981763,0.6137709596018237,12,0,13
0,0,25,XYZ_split,XY,1.1584422520399775,1.1052493731436484,0.9130773695030672,0.08692263049693283,9,8,8
0,0,25,ORACLE_plane,XY,1.1584422520399775,1.1052493731436484,0.9375430802468112,0.06245691975318879,13,12,0
0,0,50,Z_only,XY,1.1584422520399775,1.1052493731436484,0.24999999999999994,0.75,0,0,50
0,0,50,ZX_split,XY,1.1584422520399775,1.1052493731436484,0.19226909554275018,0.8077309044572498,25,0,25
0,0,50,XYZ_split,XY,1.1584422520399775,1.1052493731436484,0.9957919035501189,0.004208096449881071,17,17,16
0,0,50,ORACLE_plane,XY,1.1584422520399775,1.1052493731436484,0.9895328807912692,0.01046711920873078,25,25,0
0,0,100,Z_only,XY,1.1584422520399775,1.1052493731436484,0.2500000000000001,0.7499999999999999,0,0,100
0,0,100,ZX_split,XY,1.1584422520399775,1.1052493731436484,0.4846037353522875,0.5153962646477125,50,0,50
0,0,100,XYZ_split,XY,1.1584422520399775,1.1052493731436484,0.9529772016828886,0.047022798317111425,34,33,33
0,0,100,ORACLE_plane,XY,1.1584422520399775,1.1052493731436484,0.9811335524159251,0.018866447584074852,50,50,0
0,0,250,Z_only,XY,1.1584422520399775,1.1052493731436484,0.2500000000000001,0.7499999999999999,0,0,250
0,0,250,ZX_split,XY,1.1584422520399775,1.1052493731436484,0.4861413332360555,0.5138586667639444,125,0,125
0,0,250,XYZ_split,XY,1.1584422520399775,1.1052493731436484,0.9908829267953142,0.0091170732046858,84,83,83
0,0,250,ORACLE_plane,XY,1.1584422520399775,1.1052493731436484,0.9898872443360832,0.010112755663916784,125,125,0
0,0,500,Z_only,XY,1.1584422520399775,1.1052493731436484,0.2500000000000001,0.7499999999999999,0,0,500
0,0,500,ZX_split,XY,1.1584422520399775,1.1052493731436484,0.5072003525184637,0.49279964748153626,250,0,250
0,0,500,XYZ_split,XY,1.1584422520399775,1.1052493731436484,0.9951100138002833,0.0048899861997167005,167,167,166
0,0,500,ORACLE_plane,XY,1.1584422520399775,1.1052493731436484,0.9995528774282422,0.00044712257175782977,250,250,0
0,1,10,Z_only,XY,1.1584422520399775,1.1052493731436484,0.2500000000000001,0.7499999999999999,0,0,10
0,1,10,ZX_split,XY,1.1584422520399775,1.1052493731436484,0.4226920422212089,0.5773079577787912,5,0,5
0,1,10,XYZ_split,XY,1.1584422520399775,1.1052493731436484,0.7574898107678003,0.2425101892321997,4,3,3
