state_group,target_id,seed,N,noise,theta1,phi1,theta2,phi2,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
uniform,0,1,10,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.8061787056090278,0.19382129439097218,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0
uniform,0,1,10,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,10,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.7955178137634878,0.20448218623651215,,,,,,,,,
uniform,0,1,10,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.8480763122489621,0.15192368775103793,,,,,,,,,
uniform,0,1,10,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.857819800099292,0.14218019990070796,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0
uniform,0,1,25,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,25,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9254365357429526,0.07456346425704741,,,,,,,,,
uniform,0,1,25,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9334579697568178,0.06654203024318217,,,,,,,,,
uniform,0,1,25,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.8331793198976288,0.16682068010237117,1.0,0.0,6.0,5.0,2.0,0.0,4.0,6.0,1.0
uniform,0,1,25,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
