state_group,state1,state2,seed,N,noise,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
extreme,Z_plus,Z_plus,0,25,0.1,RL_adaptive,0.8566695274245537,0.1433304725754463,1.0,0.0,6.0,0.0,7.0,0.0,9.0,1.0,1.0
extreme,Z_plus,Z_plus,0,25,0.15,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,25,0.15,ZX_split,0.9839422631007356,0.016057736899264374,,,,,,,,,
extreme,Z_plus,Z_plus,0,25,0.15,XYZ_split,0.8712291843681143,0.12877081563188575,,,,,,,,,
extreme,Z_plus,Z_plus,0,25,0.15,RL_adaptive,0.7989103611159047,0.20108963888409526,1.0,0.0,5.0,7.0,1.0,0.0,1.0,7.0,3.0
extreme,Z_plus,Z_plus,0,50,0.0,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,50,0.0,ZX_split,0.9928895233444076,0.00711047665559239,,,,,,,,,
extreme,Z_plus,Z_plus,0,50,0.0,XYZ_split,0.9711978701927241,0.028802129807275922,,,,,,,,,
extreme,Z_plus,Z_plus,0,50,0.0,RL_adaptive,0.9918406496420967,0.008159350357903272,13.0,1.0,0.0,0.0,5.0,9.0,2.0,13.0,7.0
extreme,Z_plus,Z_plus,0,50,0.05,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,50,0.05,ZX_split,0.9881216466134847,0.011878353386515328,,,,,,,,,
extreme,Z_plus,Z_plus,0,50,0.05,XYZ_split,0.9565383298925679,0.04346167010743207,,,,,,,,,
extreme,Z_plus,Z_plus,0,50,0.05,RL_adaptive,0.9303487497471573,0.06965125025284269,10.0,1.0,5.0,0.0,6.0,10.0,2.0,13.0,3.0
extreme,Z_plus,Z_plus,0,50,0.1,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,50,0.1,ZX_split,0.965034597855646,0.03496540214435395,,,,,,,,,
extreme,Z_plus,Z_plus,0,50,0.1,XYZ_split,0.7660740459586721,0.23392595404132788,,,,,,,,,
extreme,Z_plus,Z_plus,0,50,0.1,RL_adaptive,0.9473637369343466,0.05263626306565339,11.0,1.0,3.0,0.0,6.0,9.0,2.0,13.0,5.0
extreme,Z_plus,Z_plus,0,50,0.15,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,50,0.15,ZX_split,0.9855520255115344,0.014447974488465576,,,,,,,,,
extreme,Z_plus,Z_plus,0,50,0.15,XYZ_split,0.9605573516677873,0.03944264833221267,,,,,,,,,
extreme,Z_plus,Z_plus,0,50,0.15,RL_adaptive,0.8843816417380851,0.11561835826191491,15.0,2.0,0.0,0.0,5.0,10.0,1.0,12.0,5.0
